N	2gram	Vinokur_St	Vladivir
127	всяком случае	8	12
128	в отношении	11	11
129	не очень	2	11
130	еще в	3	11
131	или менее	2	11
132	и о	4	11
133	я не	13	11
134	при этом	4	11
135	все это	13	11
136	в данном	16	11
137	хотя бы	8	11
138	в которой	13	11
139	и здесь	2	11
140	на то	5	11
141	более или	2	11
142	но что	2	11
143	конце концов	2	11
144	тому же	2	11
145	вот что	3	10
146	даже в	5	10
147	такого рода	2	10
148	к нему	2	10
149	в ней	9	10
150	которую он	3	10
151	что все	3	10
152	в качестве	7	10
153	в истории	5	10
154	в россии	7	10
155	можно было	14	10
156	еще не	4	10
157	но не	5	10
158	что для	4	10
159	в самом	14	10
160	года в	3	10
161	с точки	10	10
162	это не	8	9
163	о чем	4	9
164	а с	6	9
165	в целом	5	9
166	в начале	5	9
167	этот раз	2	9
168	и можно	2	9
169	по существу	3	9
170	с этим	6	9
171	и сам	4	9
172	что касается	4	9
173	ни с	3	9
174	с другой	11	9
175	именно в	8	9
176	этом смысле	2	9
177	что мы	5	9
178	же время	5	9
179	отношения к	2	9
180	это время	3	9
181	но он	5	9
182	свое время	3	8
183	отношение к	3	8
184	не столько	6	8
185	xix века	2	8
186	в чем	4	8
187	как бы	8	8
188	тот же	2	8
189	и и	2	8
190	из этих	7	8
191	и он	2	8
192	тем что	6	8
193	и я	5	8
194	с этой	5	8
195	в этих	5	8
196	как в	15	8
197	и для	4	8
198	можно считать	2	8
199	со стороны	7	8
200	в это	3	8
201	значит что	3	8
202	конечно не	2	8
203	в каком	4	7
204	к его	2	7
205	который был	2	7
206	в свое	3	7
207	как он	3	7
208	при помощи	4	7
209	не имеет	5	7
210	по этому	5	7
211	на его	2	7
212	нисколько не	3	7
213	точно так	2	7
214	того чтобы	15	7
215	е в	3	7
216	из его	3	7
217	бы и	4	7
218	за пределы	2	7
219	даже не	5	7
220	к концу	3	7
221	если бы	11	7
222	ничего общего	3	7
223	но если	5	7
224	но все	9	7
225	в одном	7	7
226	что этот	3	7
227	в таком	4	7
228	судить по	3	7
229	в них	2	7
230	данном случае	7	6
231	его в	4	6
232	на себя	3	6
233	в настоящее	2	6
234	что здесь	2	6
235	и всегда	2	6
236	том же	3	6
237	к своему	3	6
238	на основании	2	6
239	в виду	6	6
240	и очень	5	6
241	что на	3	6
242	тому что	8	6
243	так или	3	6
244	в общем	2	6
245	не говоря	2	6
246	настоящее время	2	6
247	письма к	2	6
248	было для	2	6
249	свидетельствует о	2	6
250	по своему	2	6
251	время как	2	6
252	другой стороны	9	6
253	тем более	4	6
254	что она	5	6
255	по мнению	4	6
256	на него	3	6
257	не раз	2	6
258	и вполне	4	6
259	должен был	5	6
260	для того	15	6
261	же и	4	6
262	такой же	6	6
263	но только	2	6
264	мы не	3	6
265	она была	2	6
266	или иначе	3	6
267	которых он	2	6
268	но на	2	6
269	той же	5	6
270	но я	5	6
271	видно что	3	6
272	по своей	2	6
273	и теперь	2	6
274	по его	5	6
275	в период	2	6
276	и речи	3	6
277	чем в	3	6
278	в очень	4	5
279	начиная с	2	5
280	на эту	5	5
281	вопрос о	9	5
282	на все	2	5
283	и тем	3	5
284	в их	3	5
285	в частности	6	5
286	говорит в	3	5
287	быть в	2	5
288	для своего	2	5
289	она не	3	5
290	с самого	4	5
291	а то	3	5
292	и за	3	5
293	и без	4	5
294	мы находим	4	5
295	место в	2	5
296	что с	4	5
297	и до	2	5
298	то ни	2	5
299	говоря уже	2	5
300	что они	9	5
301	во время	5	5
302	однако и	2	5
303	в области	16	5
304	ее в	2	5
305	бы то	2	5
306	во многом	3	5
307	только к	2	5
308	мы имеем	2	5
309	во всех	8	5
310	говорит что	4	5
311	он писал	3	5
312	где он	2	5
313	что я	3	5
314	самого же	2	5
315	свидетельствуют о	2	5
316	и так	3	5
317	что у	8	5
318	им в	2	5
319	еще более	5	5
320	из них	11	5
321	говорит о	5	5
322	это был	3	5
323	и только	3	5
324	как на	10	5
325	не к	2	5
326	без всякого	2	5
327	не о	2	4
328	был для	4	4
329	на самом	8	4
330	в свой	2	4
331	всех этих	2	4
332	тем самым	2	4
333	о которых	3	4
334	очень мало	4	4
335	не могут	2	4
336	крайней мере	2	4
337	в тех	5	4
338	по истории	2	4
339	вплоть до	6	4
340	но для	3	4
341	в духе	2	4
342	котором он	2	4
343	ясно что	10	4
344	как к	3	4
345	была не	2	4
346	это и	5	4
347	совершенно не	7	4
348	одной из	4	4
349	и т	36	4
350	только с	4	4
351	уже о	6	4
352	одной стороны	2	4
353	ведь если	2	4
354	в такой	2	4
355	и во	3	4
356	нужно сказать	6	4
357	в сущности	2	4
358	больше чем	3	4
359	представление о	5	4
360	кажется что	5	4
361	с которыми	3	4
362	как например	2	4
363	же это	3	4
364	это вовсе	2	4
365	не все	3	4
366	не так	2	4
367	которые не	3	4
368	не имели	2	4
369	т д	25	4
370	во второй	10	4
371	себе в	2	4
372	в статье	9	4
373	лишь в	3	4
374	этом отношении	13	4
375	не на	3	4
376	и нужно	3	4
377	при жизни	2	4
378	и другие	3	4
379	по крайней	2	4
380	больше всего	2	4
381	с одной	3	4
382	заключается в	5	4
383	и более	4	4
384	можно найти	3	4
385	эту тему	4	4
386	и сейчас	6	4
387	их в	2	4
388	это можно	3	4
389	только не	2	4
390	о которой	3	4
391	но с	7	4
392	пишет в	2	4
393	в первую	2	3
394	как можно	2	3
395	возможно что	4	3
396	которые в	2	3
397	ли можно	2	3
398	не имеют	2	3
399	ему не	3	3
400	бы мы	2	3
401	без всяких	2	3
402	п а	2	3
403	не как	2	3
404	в другом	5	3
405	вернее сказать	2	3
406	наконец в	2	3
407	не хочет	2	3
408	от своего	2	3
409	нет никаких	2	3
410	и вся	2	3
411	самом деле	14	3
412	более что	2	3
413	и такие	2	3
414	на вопрос	7	3
415	его не	3	3
416	так например	12	3
417	для понимания	2	3
418	только потому	2	3
419	значение для	2	3
420	общего с	3	3
421	гораздо более	5	3
422	с того	2	3
423	а если	2	3
424	что не	3	3
425	не могла	2	3
426	если это	3	3
427	этому поводу	4	3
428	для них	2	3
429	не была	2	3
430	отметить что	4	3
431	же как	5	3
432	о своей	2	3
433	самого начала	3	3
434	иметь в	2	3
435	первую очередь	2	3
436	до того	4	3
437	нет ни	3	3
438	два года	2	3
439	том числе	3	3
440	того как	8	3
441	очень часто	3	3
442	в свет	5	3
443	молодой человек	2	3
444	борьба с	2	3
445	во многих	3	3
446	в чисто	2	3
447	не знаю	2	3
448	это в	4	3
449	дело не	4	3
450	особенно в	2	3
451	с их	2	3
452	бы в	2	3
453	отличается от	2	3
454	является не	4	3
455	за что	4	3
456	как о	2	3
457	как говорит	3	3
458	одним из	2	3
459	отношении к	3	3
460	не могло	4	3
461	как известно	2	3
462	хотел бы	2	3
463	думать что	2	3
464	ни на	3	3
465	на меня	2	3
466	что такое	2	3
467	на почве	2	3
468	в какой	4	3
469	будто бы	4	3
470	оно не	3	3
471	петра i	2	3
472	в которых	5	3
473	у меня	3	3
474	не существует	4	3
475	в сторону	2	3
476	о значении	3	3
477	разумеется что	5	3
478	и который	3	3
479	не были	2	3
480	нас нет	7	3
481	в новом	4	3
482	этой области	5	3
483	как будто	5	3
484	была бы	10	3
485	г в	10	3
486	быть и	2	3
487	не подлежит	2	2
488	том как	4	2
489	не является	5	2
490	это очень	5	2
491	в №	3	2
492	те или	2	2
493	не потому	3	2
494	пять лет	3	2
495	вне всякого	2	2
496	с той	3	2
497	не могу	2	2
498	ни одного	4	2
499	или же	3	2
500	русской истории	3	2
501	здесь дело	2	2
502	но к	2	2
503	не по	5	2
504	по адресу	3	2
505	столько же	3	2
506	разумеется в	2	2
507	не всегда	2	2
508	для изучения	4	2
509	или о	2	2
510	но именно	3	2
511	в изд	3	2
512	в эпоху	3	2
513	не имела	2	2
514	а во	3	2
515	своего времени	4	2
516	что ни	2	2
517	этой статьи	2	2
518	нужно было	2	2
519	со всеми	2	2
520	следующие слова	2	2
521	без всякой	3	2
522	не приходится	5	2
523	могло быть	3	2
524	шесть лет	2	2
525	они не	2	2
526	могло бы	3	2
527	иначе и	2	2
528	имеет ничего	2	2
529	в печати	8	2
530	ответ на	4	2
531	обращает на	2	2
532	и те	4	2
533	мне кажется	7	2
534	из этой	2	2
535	можно ли	5	2
536	меня не	2	2
537	обстоятельство что	4	2
538	в предисловии	3	2
539	поэзии и	3	2
540	в ее	6	2
541	д д	6	2
542	пушкина и	20	2
543	то не	3	2
544	было в	2	2
545	о пушкине	9	2
546	свободен от	4	2
547	должна быть	3	2
548	например в	8	2
549	этого слова	2	2
550	в двух	4	2
551	этом случае	3	2
552	в основе	4	2
553	почти все	2	2
554	литературы и	3	2
555	в которую	2	2
556	и была	2	2
557	если в	2	2
558	истории и	2	2
559	но эти	2	2
560	меньше всего	3	2
561	хотя в	2	2
562	что только	2	2
563	в первой	12	2
564	к первому	2	2
565	на это	2	2
566	о котором	2	2
567	было не	3	2
568	еще до	4	2
569	от этого	2	2
570	чем у	2	2
571	этом и	2	2
572	дело с	2	2
573	бы это	2	2
574	его сочинений	5	2
575	известно что	2	2
576	нигде не	2	2
577	виде в	2	2
578	и их	3	2
579	судя по	2	2
580	это просто	3	2
581	эта книга	2	2
582	никем не	2	2
583	на эти	7	2
584	чем не	2	2
585	сих пор	12	2
586	в рукописи	6	2
587	после того	5	2
588	и пр	4	2
589	в г	10	2
590	ссылается на	2	2
591	ко времени	2	2
592	за то	5	2
593	работы в	3	2
594	не хотел	2	2
595	поэтому в	4	2
596	думал о	2	2
597	кажется в	2	2
598	свою собственную	3	2
599	в русской	4	2
600	его статьи	2	2
601	нет возможности	2	2
602	то обстоятельство	3	2
603	должны быть	4	2
604	до него	3	2
605	обратить внимание	4	2
606	выражение в	2	2
607	не согласен	2	2
608	этих двух	4	2
609	внимание на	5	2
610	которая была	3	2
611	в той	9	2
612	что оба	2	2
613	может не	2	2
614	не для	3	2
615	можно назвать	3	2
616	к числу	3	2
617	и уже	3	2
618	во внимание	2	2
619	что эта	5	2
620	уже после	3	2
621	что во	3	2
622	говорить о	3	2
623	в некоторых	3	2
624	целого ряда	2	2
625	и об	7	2
626	и перед	2	2
627	меня в	2	2
628	все в	2	2
629	до меня	2	2
630	до сих	13	2
