N	2gram	Bakhtin_KF	Istorich
120	к себе	2	12
121	о нем	4	12
122	не знает	5	12
123	что не	3	12
124	от этого	2	11
125	только с	3	11
126	точки зрения	13	11
127	ясно что	3	11
128	я не	6	11
129	в ее	17	10
130	и тот	3	10
131	он может	2	10
132	вступает в	3	10
133	что эта	2	10
134	но как	5	10
135	если не	2	10
136	к ним	4	10
137	он и	2	10
138	на основе	7	10
139	не как	4	10
140	и других	2	10
141	а с	2	10
142	не должен	3	10
143	ни в	12	10
144	его к	2	10
145	в это	2	10
146	не было	8	10
147	себя в	8	10
148	а как	2	9
149	тот же	3	9
150	в основе	5	9
151	в свою	3	9
152	что за	2	9
153	которой он	2	9
154	из него	4	9
155	в себя	8	9
156	а по	2	9
157	это и	3	9
158	здесь нет	3	9
159	тогда когда	3	9
160	но для	3	9
161	жизни и	8	9
162	не будет	2	9
163	он имеет	2	9
164	в чем	4	9
165	но здесь	3	9
166	с его	2	9
167	ему в	2	9
168	тем самым	4	8
169	должен быть	7	8
170	кажется что	2	8
171	для этого	2	8
172	именно в	5	8
173	входит в	4	8
174	именно на	2	8
175	не дает	3	8
176	в современной	3	8
177	на своем	3	8
178	из его	3	8
179	в жизни	2	8
180	и потому	2	8
181	в некотором	3	8
182	та же	3	8
183	меня в	3	8
184	от того	3	8
185	его с	2	8
186	и эта	2	8
187	независимо от	3	8
188	на нем	2	8
189	конечно не	7	8
190	на самом	3	7
191	случае мы	2	7
192	однако что	2	7
193	того чтобы	2	7
194	этот момент	7	7
195	себе и	3	7
196	но эта	6	7
197	тому что	2	7
198	и когда	2	7
199	нет в	4	7
200	где он	3	7
201	что я	5	7
202	между тем	4	7
203	ее и	6	7
204	совершенно не	7	7
205	ко мне	6	7
206	был бы	3	7
207	этого слова	2	7
208	ли это	2	7
209	думать что	2	7
210	не есть	22	7
211	я буду	3	7
212	в области	2	7
213	самом деле	3	7
214	не по	4	7
215	для него	13	7
216	для того	3	6
217	можно ли	2	6
218	были бы	2	6
219	не потому	2	6
220	и за	2	6
221	дело с	2	6
222	от его	5	6
223	от себя	10	6
224	я его	2	6
225	быть и	3	6
226	к которой	2	6
227	его как	5	6
228	или как	2	6
229	нечто вроде	2	6
230	сводится к	2	6
231	меня и	3	6
232	меня не	4	6
233	только по	2	6
234	если я	2	6
235	к чему	3	6
236	в каком	4	5
237	это только	2	5
238	это уже	2	5
239	только как	4	5
240	бы быть	5	5
241	это было	2	5
242	в своих	4	5
243	из себя	11	5
244	соответствии с	2	5
245	это можно	2	5
246	или иное	2	5
247	со мной	7	5
248	по своему	3	5
249	мира и	4	5
250	вступить в	2	5
251	ее как	2	5
252	с ее	2	5
253	чтобы быть	2	5
254	в виду	3	5
255	может иметь	2	5
256	мы получим	2	5
257	ним и	3	5
258	еще более	2	5
259	оно не	2	5
260	ясно и	3	5
261	вокруг него	2	5
262	нем и	3	5
263	и может	3	5
264	и мы	2	5
265	могла бы	4	5
266	но этот	2	5
267	нами в	2	5
268	есть на	2	5
269	этих предметов	2	4
270	людей и	3	4
271	нисколько не	4	4
272	и под	2	4
273	если ты	3	4
274	себя за	2	4
275	все они	2	4
276	быть только	8	4
277	себя и	5	4
278	действительно ли	2	4
279	есть момент	3	4
280	во всей	4	4
281	в мир	2	4
282	для этой	3	4
283	что есть	2	4
284	в ту	2	4
285	слова в	2	4
286	для нее	9	4
287	человека и	3	4
288	герой и	2	4
289	и этот	3	4
290	могло бы	4	4
291	на волю	2	4
292	вытекает из	2	4
293	отнюдь не	7	4
294	с точки	10	4
295	а это	2	4
296	но конечно	3	4
297	войти в	3	4
298	дело в	2	4
299	с этого	2	4
300	ни к	2	4
301	не могу	3	4
302	быть не	2	4
303	и должен	2	3
304	этим не	2	3
305	со всем	5	3
306	бы он	2	3
307	этого мира	3	3
308	и та	3	3
309	и весь	4	3
310	стороны в	3	3
311	чтобы не	2	3
312	я могу	5	3
313	одна и	2	3
314	пройти мимо	2	3
315	чего не	2	3
316	совсем не	2	3
317	всех других	2	3
318	и я	6	3
319	бы то	2	3
320	чтобы дать	2	3
321	как оно	2	3
322	должно быть	6	3
323	из нее	2	3
324	нигде не	3	3
325	ни было	4	3
326	вследствие этого	2	3
327	как его	4	3
328	в соответствии	2	3
329	как к	2	3
330	то ни	2	3
331	знает и	2	3
332	раз и	2	3
333	и делает	3	3
334	один и	3	3
335	и именно	2	3
336	но можно	4	3
337	едва ли	2	3
338	тем как	3	3
339	а все	3	3
340	и смысл	2	3
341	этот факт	2	3
342	бы не	3	3
343	момент в	7	3
344	не о	2	2
345	в каждом	3	2
346	в момент	3	2
347	где его	2	2
348	проникает в	5	2
349	и должна	3	2
350	ее от	2	2
351	лишь в	8	2
352	с другим	4	2
353	вошли в	2	2
354	но нет	2	2
355	с человеком	3	2
356	для выражения	2	2
357	дело здесь	2	2
358	чтобы стать	2	2
359	целом не	2	2
360	но я	2	2
361	под ним	2	2
362	себя не	3	2
363	быть в	4	2
364	себя как	2	2
365	все остальные	2	2
366	же с	2	2
367	и конечно	2	2
368	то или	2	2
369	жизнь и	2	2
370	в мире	8	2
371	не из	2	2
372	разве не	2	2
373	человек не	2	2
374	предмет и	2	2
375	в процессе	2	2
376	можно и	2	2
377	всякий предмет	2	2
378	во главе	2	2
379	отсюда и	3	2
380	себе а	2	2
381	другого и	2	2
382	не живет	2	2
383	отказаться от	2	2
384	всех его	2	2
385	она могла	2	2
386	и жизни	4	2
387	не следует	2	2
388	не остается	2	2
389	того или	3	2
390	его изнутри	2	2
391	место в	6	2
392	человек и	2	2
393	мышления и	2	2
394	в сознании	2	2
395	не нужно	2	2
396	только это	2	2
397	ничего общего	2	2
398	а для	2	2
399	нет и	3	2
400	всей своей	2	2
401	не должно	3	2
402	всем его	3	2
403	ни у	2	2
404	на первом	2	2
405	смысле и	2	2
406	может дать	3	2
407	говорить о	2	2
408	не значит	6	2
409	мне в	4	2
