N	2gram	Propp_Russ	Vladivir
204	главным образом	5	6
205	ко всему	2	6
206	по его	2	6
207	в период	2	6
208	в москву	2	6
209	чем в	4	6
210	начиная с	4	5
211	но она	3	5
212	а и	7	5
213	вопрос о	4	5
214	вера в	2	5
215	друг друга	3	5
216	на все	3	5
217	вся эта	2	5
218	в их	5	5
219	в частности	2	5
220	в последний	5	5
221	она не	4	5
222	заметить что	3	5
223	и за	2	5
224	один из	10	5
225	место в	2	5
226	н ф	2	5
227	что с	2	5
228	и до	3	5
229	что они	8	5
230	во время	23	5
231	в области	3	5
232	по возвращении	2	5
233	ее в	7	5
234	увидим ниже	3	5
235	церкви и	3	5
236	мы имеем	7	5
237	и еще	2	5
238	во всех	6	5
239	н г	2	5
240	и так	2	5
241	далеко не	5	5
242	что у	3	5
243	в свою	3	5
244	из них	12	5
245	которое в	2	5
246	говорит о	3	5
247	как на	2	5
248	не к	3	5
249	на самом	3	4
250	перед нами	2	4
251	всех этих	2	4
252	в тех	5	4
253	вплоть до	4	4
254	не будем	5	4
255	иное как	3	4
256	не что	3	4
257	того в	3	4
258	и других	9	4
259	только одно	2	4
260	как у	2	4
261	у них	2	4
262	после этого	6	4
263	которые можно	2	4
264	и т	13	4
265	только с	2	4
266	в более	2	4
267	так в	5	4
268	и во	2	4
269	себя и	2	4
270	и н	2	4
271	этому времени	2	4
272	что иное	3	4
273	представление о	5	4
274	или не	2	4
275	когда мы	2	4
276	как например	6	4
277	независимо от	3	4
278	с ней	7	4
279	не все	4	4
280	которые не	3	4
281	не имели	2	4
282	мы можем	2	4
283	в глаза	3	4
284	т д	12	4
285	мы увидим	8	4
286	в особенности	3	4
287	не на	2	4
288	и другие	24	4
289	нас в	2	4
290	и более	3	4
291	том чтобы	3	4
292	их в	7	4
293	этом не	2	4
294	на этом	6	4
295	пишет в	5	4
296	с таким	2	3
297	следовательно и	2	3
298	как можно	3	3
299	возможно что	2	3
300	которые в	2	3
301	и ее	3	3
302	и через	2	3
303	свою очередь	2	3
304	в силу	2	3
305	себя внимание	2	3
306	который в	2	3
307	но эта	2	3
308	и при	2	3
309	мы здесь	2	3
310	ниже в	3	3
311	его от	2	3
312	также что	2	3
313	этого времени	2	3
314	так например	7	3
315	в природе	2	3
316	его к	3	3
317	а мы	2	3
318	этому поводу	3	3
319	москве и	2	3
320	для них	5	3
321	и др	4	3
322	в разных	3	3
323	же как	5	3
324	находится в	3	3
325	иметь в	2	3
326	не будут	2	3
327	до того	3	3
328	интерес к	2	3
329	того как	6	3
330	некоторое время	2	3
331	во многих	14	3
332	с ними	6	3
333	ее на	3	3
334	только как	2	3
335	дело не	2	3
336	самом же	2	3
337	очень много	2	3
338	к тем	4	3
339	в заключение	2	3
340	на земле	3	3
341	одним из	2	3
342	что есть	2	3
343	влияние на	3	3
344	как известно	2	3
345	что по	7	3
346	думать что	3	3
347	а за	4	3
348	все что	2	3
349	в какой	3	3
350	будто бы	10	3
351	оно не	2	3
352	петра i	5	3
353	в которых	8	3
354	на что	2	3
355	и м	22	3
356	и действительно	2	3
357	же деле	2	3
358	к жизни	3	3
359	не были	2	3
360	года на	2	3
361	по всем	3	3
362	как будто	6	3
363	г в	5	3
364	быть и	3	3
365	в изучении	2	2
366	но можно	2	2
367	не является	2	2
368	тот кто	2	2
369	только для	3	2
370	собой и	2	2
371	одна из	12	2
372	с той	2	2
373	и а	4	2
374	новым годом	2	2
375	или же	2	2
376	же а	4	2
377	не всегда	4	2
378	в одно	2	2
379	от другого	2	2
380	подойти к	2	2
381	образом в	2	2
382	только тогда	3	2
383	как уже	6	2
384	на этой	3	2
385	что каждый	2	2
386	в церкви	2	2
387	труд о	2	2
388	к вам	5	2
389	ответ на	2	2
390	он так	2	2
391	и те	3	2
392	на руках	2	2
393	же не	2	2
394	этого труда	2	2
395	но вместе	3	2
396	этому вопросу	2	2
397	например в	3	2
398	что эти	2	2
399	этого слова	3	2
400	в двух	2	2
401	этом случае	9	2
402	и другим	3	2
403	сил то	2	2
404	именно с	3	2
405	если в	3	2
406	они были	2	2
407	но эти	3	2
408	с другими	3	2
409	его как	2	2
410	при изучении	6	2
411	еще до	2	2
412	от этого	2	2
413	чем у	2	2
414	за ним	3	2
415	и сл	4	2
416	как не	2	2
417	в первый	5	2
418	с г	2	2
419	та же	4	2
420	она в	4	2
421	и их	4	2
422	судя по	2	2
423	его и	2	2
424	бросается в	3	2
425	н а	5	2
426	во всей	2	2
427	после того	3	2
428	и пр	4	2
429	или на	11	2
430	в г	6	2
431	ко времени	3	2
432	но тем	2	2
433	говорится о	3	2
434	в церковь	2	2
435	он же	4	2
436	из которых	2	2
437	уже знаем	2	2
438	тогда когда	4	2
439	не можем	5	2
440	и поэтому	3	2
441	в русском	4	2
442	к числу	2	2
443	говорить о	2	2
444	на другие	2	2
445	в некоторых	11	2
446	природы и	3	2
447	и после	2	2
448	все в	2	2
449	состояла в	3	2
450	тем и	4	2
