N	2gram	Propp_Morf	Myslijsy
241	состоит в	3	5
242	однако в	2	5
243	нет но	2	5
244	и другим	3	5
245	это можно	2	5
246	если в	7	5
247	одна из	5	5
248	например с	2	5
249	вытекает из	2	5
250	если это	3	5
251	здесь только	2	5
252	входит в	4	5
253	этот вопрос	4	5
254	в нашем	6	5
255	чем в	2	5
256	перед нами	14	5
257	и у	3	5
258	что до	2	5
259	за другим	2	5
260	этого не	2	5
261	ответ на	2	5
262	когда в	2	5
263	что эти	3	5
264	но эти	3	5
265	мы имеем	19	5
266	в начале	3	5
267	к другой	2	5
268	том случае	3	5
269	одним из	2	5
270	не по	2	5
271	в какой	3	5
272	время как	3	5
273	на этот	2	5
274	и здесь	7	5
275	можно назвать	3	5
276	к другому	2	5
277	данном случае	2	4
278	иное как	2	4
279	не что	2	4
280	в другом	2	4
281	относятся к	2	4
282	но так	2	4
283	ту же	2	4
284	то ни	3	4
285	не на	2	4
286	многих других	2	4
287	в животных	3	4
288	та же	3	4
289	что иное	2	4
290	он может	2	4
291	ни в	3	4
292	это так	2	4
293	и затем	5	4
294	но с	2	4
295	он должен	3	4
296	ничего не	5	4
297	бы они	2	4
298	есть и	4	4
299	не знает	2	4
300	по своему	2	4
301	или по	2	4
302	должны будем	2	4
303	в связи	10	4
304	так называемых	2	4
305	бы то	3	4
306	с его	3	4
307	этом отношении	2	4
308	из двух	3	4
309	перейти к	2	4
310	на этом	4	4
311	в некоторых	4	4
312	собственном смысле	3	4
313	первый взгляд	3	3
314	что многие	2	3
315	и ее	5	3
316	а потом	2	3
317	в другую	2	3
318	и др	12	3
319	здесь мы	3	3
320	одной из	2	3
321	что этот	2	3
322	а если	4	3
323	ответить на	2	3
324	кроме того	3	3
325	может считаться	6	3
326	сказать о	2	3
327	другу и	2	3
328	что эта	2	3
329	как будто	2	3
330	мы будем	3	3
331	без всякого	2	3
332	его самого	4	3
333	ясно что	5	3
334	в различных	2	3
335	которое может	2	3
336	в одной	2	3
337	но для	3	3
338	даже не	3	3
339	можно сравнить	2	3
340	первом случае	3	3
341	в свое	2	3
342	ничем не	2	3
343	как это	7	3
344	а то	3	3
345	большинстве случаев	3	3
346	значит что	4	3
347	совсем не	3	3
348	здесь не	3	3
349	и когда	2	3
350	знать что	2	3
351	случае не	4	3
352	или другими	2	3
353	в результате	8	3
354	случае если	2	3
355	образом если	2	3
356	мы увидим	10	3
357	в самых	2	3
358	ее в	3	3
359	или наоборот	2	3
360	в большинстве	3	3
361	вопрос что	3	3
362	на первый	3	3
363	в форме	6	3
364	не значит	3	3
365	вне связи	3	2
366	что действительно	2	2
367	на той	2	2
368	не будем	5	2
369	отсюда видно	2	2
370	роль в	2	2
371	на пути	4	2
372	состоит из	3	2
373	или с	3	2
374	можно будет	3	2
375	потому не	2	2
376	на друга	2	2
377	начинается с	5	2
378	оно как	2	2
379	но такое	2	2
380	к различным	2	2
381	следующим образом	4	2
382	где оно	2	2
383	ни к	2	2
384	ни одна	4	2
385	а а	2	2
386	что пока	2	2
387	то с	3	2
388	же оно	2	2
389	эти формы	2	2
390	мы получим	2	2
391	который в	2	2
392	быть и	2	2
393	если они	2	2
394	тех же	4	2
395	таких случаях	2	2
396	ее из	2	2
397	требует чтобы	3	2
398	приведены в	2	2
399	целый ряд	3	2
400	во второй	2	2
401	могут иметь	2	2
402	д и	2	2
403	нами в	4	2
404	или на	3	2
405	сюда относятся	2	2
406	мы получаем	2	2
407	имеем в	8	2
408	другой не	2	2
409	если он	2	2
410	такую же	2	2
411	он старается	2	2
412	друг к	2	2
413	животных и	3	2
414	можно лишь	2	2
415	и заставляет	2	2
416	иначе чем	2	2
417	вопроса о	3	2
418	в глаза	2	2
419	с двумя	2	2
420	является в	2	2
421	а на	3	2
422	это и	3	2
423	мы постараемся	2	2
424	происходит с	2	2
425	то можно	5	2
426	и за	2	2
427	здесь можно	5	2
428	при определении	2	2
429	с теми	4	2
430	приходим к	3	2
431	о его	4	2
432	если например	2	2
433	получает от	2	2
434	из его	2	2
435	как эти	2	2
436	показать что	4	2
437	себя в	2	2
438	если она	2	2
439	дело не	2	2
440	подобных случаях	4	2
441	может существовать	3	2
442	его и	2	2
443	это положение	2	2
444	друг на	2	2
445	из ряда	3	2
446	во сне	2	2
447	в отдельных	3	2
448	оно может	4	2
449	к другу	2	2
450	предметы и	3	2
451	к чему	3	2
452	из которых	5	2
453	что одна	2	2
454	самых разнообразных	2	2
455	других случаях	2	2
456	вопрос как	3	2
457	этих случаях	15	2
