N	2gram	Tiupa_Lite	Vladivir
346	не является	3	2
347	ничего кроме	2	2
348	одна из	8	2
349	к себе	3	2
350	ни было	2	2
351	личности с	2	2
352	для вас	2	2
353	этот путь	3	2
354	не по	2	2
355	во мне	2	2
356	xviii века	2	2
357	объекта и	2	2
358	а во	2	2
359	но по	2	2
360	своего времени	2	2
361	от других	2	2
362	от всякой	2	2
363	со всеми	2	2
364	для всей	2	2
365	как уже	3	2
366	к своей	2	2
367	могло быть	2	2
368	для всех	5	2
369	на том	3	2
370	и само	3	2
371	одного из	4	2
372	однако в	7	2
373	поэзии и	3	2
374	как я	3	2
375	первый раз	2	2
376	нами не	2	2
377	должна быть	3	2
378	например в	3	2
379	освобождения от	2	2
380	всем и	2	2
381	этом случае	2	2
382	годов в	2	2
383	в основе	5	2
384	жизни с	2	2
385	же году	3	2
386	если в	2	2
387	особого рода	3	2
388	имел в	2	2
389	в нашей	2	2
390	общего дела	4	2
391	его личности	2	2
392	в душе	3	2
393	на это	2	2
394	время не	2	2
395	с ее	3	2
396	до тех	2	2
397	но лишь	4	2
398	в первый	2	2
399	та же	2	2
400	все они	2	2
401	со всей	2	2
402	никем не	2	2
403	одновременно с	2	2
404	в глазах	4	2
405	за то	2	2
406	но тем	4	2
407	и является	2	2
408	то с	2	2
409	этом в	3	2
410	он же	2	2
411	из которых	3	2
412	в русской	13	2
413	личности в	4	2
414	не можем	2	2
415	как носитель	2	2
416	не для	2	2
417	и того	2	2
418	на рубеже	4	2
419	и жизни	4	2
420	в себя	5	2
421	пор пока	2	2
422	относится к	3	2
423	в годы	3	2
