N	2gram	Berdyaev_M	StatiiOP
325	я и	3	3
326	когда он	3	3
327	в свою	5	3
328	но на	2	3
329	он и	2	3
330	может не	3	3
331	от нее	5	3
332	и перед	3	3
333	отношения к	6	3
334	не к	6	3
335	его собственной	2	3
336	в иных	3	2
337	который был	4	2
338	потому ли	2	2
339	его к	2	2
340	как человек	2	2
341	различие между	2	2
342	не имеют	2	2
343	его отношение	2	2
344	в движении	4	2
345	есть только	2	2
346	долгое время	2	2
347	было для	3	2
348	с ума	4	2
349	него есть	2	2
350	не надо	2	2
351	пишет он	2	2
352	и вместе	4	2
353	на пути	4	2
354	ведь это	2	2
355	от своего	2	2
356	света и	2	2
357	у них	4	2
358	потому не	3	2
359	в момент	3	2
360	тем как	2	2
361	он хочет	4	2
362	всякий раз	2	2
363	отношением к	2	2
364	по своему	3	2
365	быть назван	3	2
366	и этот	4	2
367	был очень	2	2
368	под его	2	2
369	о мире	2	2
370	и она	5	2
371	жизнь в	4	2
372	все его	3	2
373	с того	2	2
374	жизнь и	5	2
375	которой он	2	2
376	для них	3	2
377	с такой	2	2
378	в разных	3	2
379	любви в	2	2
380	и этим	2	2
381	и когда	2	2
382	ответить на	2	2
383	было в	3	2
384	это значит	3	2
385	из самых	9	2
386	сам он	2	2
387	в обычном	2	2
388	и можно	3	2
389	это особенно	2	2
390	и от	3	2
391	всего что	2	2
392	когда мы	2	2
393	бы он	2	2
394	истории и	2	2
395	была в	2	2
396	у всех	4	2
397	его с	4	2
398	всю жизнь	7	2
399	ума и	3	2
400	не до	2	2
401	то он	3	2
402	из этой	2	2
403	на человека	2	2
404	и эта	3	2
405	и еще	3	2
406	с ней	3	2
407	по преимуществу	4	2
408	перед собой	2	2
409	них нет	2	2
410	русского человека	3	2
411	мысль о	2	2
412	и той	2	2
413	в середине	4	2
414	соединение с	2	2
415	и вот	7	2
416	он уже	8	2
417	но у	2	2
418	жизни в	3	2
419	говорят о	2	2
420	чем не	3	2
421	не означает	2	2
422	только одно	3	2
423	что есть	7	2
424	в свой	2	2
425	в ином	2	2
426	принадлежат к	3	2
427	бы это	2	2
428	он считает	2	2
429	а за	2	2
430	и русская	2	2
431	я хотел	2	2
432	него не	3	2
433	слова он	2	2
434	о своей	2	2
435	и кто	2	2
436	за собой	2	2
437	но к	2	2
438	входит в	3	2
439	к другу	6	2
440	которых он	5	2
441	те же	5	2
442	не могу	4	2
443	мог бы	5	2
444	роль в	2	2
445	с их	2	2
446	сам по	2	2
447	который так	4	2
448	показывает как	3	2
449	на какой	2	2
450	те которые	12	2
451	но этот	3	2
452	быть и	2	2
453	все в	7	2
454	на все	3	2
