N	2gram	Bakhtin_KF	Vladivir
317	тогда когда	3	2
318	может не	2	2
319	чтобы стать	2	2
320	и того	2	2
321	что эта	2	2
322	говорить о	2	2
323	и жизни	4	2
324	жизни но	3	2
325	в себя	8	2
326	меня в	3	2
327	а следовательно	3	2
328	случае мы	2	2
