N	2gram	Losev_Prob	Mirosoze
144	достоевского все	2	7
145	его в	9	6
146	или к	4	6
147	и человека	3	6
148	не как	3	6
149	нет у	2	6
150	людей и	13	6
151	в ее	6	6
152	его на	3	6
153	его не	3	6
154	людей не	3	6
155	в образе	2	6
156	совсем не	4	6
157	должен был	2	6
158	это есть	2	6
159	того как	5	6
160	и от	7	6
161	что это	4	6
162	и нет	4	6
163	можно было	4	6
164	к ней	2	6
165	если бы	2	6
166	бы не	4	6
167	с этой	4	6
168	же и	2	6
169	по своей	3	6
170	жизнь и	6	6
171	и более	3	6
172	к людям	5	6
173	что у	6	6
174	на то	2	6
175	не к	3	6
176	и если	2	5
177	в то	6	5
178	и бунт	2	5
179	жизни это	2	5
180	в их	4	5
181	он хочет	2	5
182	так и	15	5
183	все время	5	5
184	они и	2	5
185	от этого	4	5
186	тот кто	2	5
187	в атмосфере	2	5
188	на путях	2	5
189	и вместе	3	5
190	не для	2	5
191	верит в	4	5
192	до того	3	5
193	сказать что	13	5
194	тот же	6	5
195	во всяком	7	5
196	да и	5	5
197	в мир	3	5
198	одно из	2	5
199	с этим	3	5
200	него и	2	5
201	по преимуществу	2	5
202	и как	10	5
203	человека но	2	5
204	бы в	2	5
205	для этого	2	5
206	еще не	4	5
207	как будто	9	5
208	сих пор	3	5
209	после того	3	5
210	то он	2	5
211	страдания и	4	5
212	когда он	3	5
213	был в	3	5
214	до сих	3	5
215	любовь и	3	5
216	и тут	4	5
217	в силах	3	4
218	по отношению	2	4
219	как о	6	4
220	в каждом	2	4
221	иное как	3	4
222	не что	3	4
223	конце концов	7	4
224	и никогда	3	4
225	он должен	2	4
226	не всегда	5	4
227	так что	18	4
228	что иное	3	4
229	в такой	3	4
230	есть в	6	4
231	к другому	5	4
232	а с	4	4
233	по своему	3	4
234	в чем	3	4
235	тому что	2	4
236	преступления и	2	4
237	человеческой жизни	5	4
238	могут быть	2	4
239	тогда когда	4	4
240	для них	3	4
241	в начале	6	4
242	на землю	7	4
243	и до	2	4
244	все эти	12	4
245	и тогда	4	4
246	что они	4	4
247	себе в	2	4
248	и можно	6	4
249	не все	3	4
250	его с	2	4
251	и люди	2	4
252	значит что	3	4
253	человека а	2	4
254	более всего	2	4
255	с ней	3	4
256	землю и	2	4
257	любви и	4	4
258	и даже	24	4
259	и по	2	4
260	небо и	2	4
261	ни в	17	4
262	в середине	2	4
263	и их	7	4
264	и только	4	4
265	мы не	7	4
266	отношению к	2	4
267	нас в	5	4
268	время как	4	4
269	ни с	4	4
270	него не	2	4
271	еще более	4	4
272	в эпоху	5	4
273	в той	5	4
274	в своих	3	4
275	страданий и	2	4
276	и что	9	4
277	то время	4	4
278	будто бы	5	4
279	к его	5	3
280	этой трагедии	6	3
281	в идиоте	2	3
282	в европе	2	3
283	и сама	4	3
284	о чем	2	3
285	приходит к	2	3
286	и поэтому	2	3
287	науки и	2	3
288	для себя	6	3
289	с которым	2	3
290	и тем	4	3
291	в трагедии	9	3
292	это все	2	3
293	все же	12	3
294	с трудом	2	3
295	можно ли	2	3
296	это уже	4	3
297	даже и	11	3
298	между тем	2	3
299	в виду	3	3
300	что оно	2	3
301	на его	4	3
302	людей в	6	3
303	ли он	2	3
304	это значит	3	3
305	всю свою	4	3
306	хотя и	10	3
307	прогресса и	2	3
308	и то	6	3
309	бога в	2	3
310	в противоположность	3	3
311	к этому	2	3
312	и страдания	3	3
313	конечно не	2	3
314	об этом	11	3
315	в этот	4	3
316	в значительной	3	3
317	и самого	3	3
318	то чтобы	2	3
319	и самое	2	3
320	для нас	14	3
321	со всеми	5	3
322	чем не	2	3
323	во всех	2	3
324	мир и	2	3
325	только один	2	3
326	не вполне	2	3
327	о себе	3	3
328	но для	2	3
329	его до	2	3
330	в одном	6	3
331	всяком случае	6	3
332	это был	3	3
333	нет ни	4	3
334	земли и	2	3
335	человека то	2	3
336	и после	4	3
337	остается на	2	3
338	и за	2	3
339	учение о	4	3
340	и свободу	2	3
341	и всякий	2	3
342	он все	3	2
343	не о	2	2
344	на самом	2	2
345	или иной	4	2
346	из всех	2	2
347	его к	2	2
348	и об	2	2
349	который и	2	2
350	если в	2	2
351	и слишком	2	2
352	нисколько не	7	2
353	есть только	4	2
354	как люди	2	2
355	оказывается что	5	2
356	и любовь	2	2
357	не раз	4	2
358	и каждый	2	2
359	всего мира	2	2
360	этого не	2	2
361	а как	2	2
362	такого рода	4	2
363	и был	2	2
364	к своему	3	2
365	начала и	2	2
366	нас не	3	2
367	самом деле	3	2
368	тем как	2	2
369	была бы	3	2
370	от них	2	2
371	которые в	3	2
372	не находит	2	2
373	не менее	8	2
374	бросается в	3	2
375	того же	7	2
376	зосимы в	2	2
377	тем самым	2	2
378	могли бы	2	2
379	ему в	3	2
380	разного рода	4	2
381	и без	5	2
382	и сам	5	2
383	этот мотив	4	2
384	же не	4	2
385	у кого	2	2
386	не сам	2	2
387	с такой	2	2
388	власти и	2	2
389	речи о	2	2
390	связи с	11	2
391	и ее	2	2
392	данте и	4	2
393	и они	3	2
394	мы хотели	2	2
395	правда в	3	2
396	в который	2	2
397	в романах	2	2
398	не могли	2	2
399	удивительно что	2	2
400	то в	4	2
401	в свои	2	2
402	себе а	3	2
403	его как	2	2
404	это было	2	2
405	еще до	2	2
406	на какой	2	2
407	этом отношении	4	2
408	в глаза	3	2
409	россии в	2	2
410	то перед	2	2
411	мира в	3	2
412	духа который	3	2
413	в новых	2	2
414	жизни то	2	2
415	только для	5	2
416	ее в	2	2
417	за его	2	2
418	и о	9	2
419	этот мир	3	2
420	ни к	2	2
421	в какой	5	2
422	уже на	2	2
423	можно найти	6	2
424	он считает	2	2
425	думал что	2	2
426	с другой	8	2
427	прежде чем	2	2
428	но к	2	2
429	в смысле	8	2
430	даже до	2	2
431	во втором	2	2
432	если не	6	2
433	но я	2	2
434	том смысле	2	2
435	и хочет	3	2
436	он и	5	2
437	что мы	4	2
438	по себе	5	2
439	тотчас же	2	2
440	и который	4	2
441	сам по	3	2
442	и уже	2	2
443	и другой	2	2
444	что эта	3	2
445	что во	2	2
446	и насилия	2	2
447	она в	2	2
448	человека из	5	2
449	и весь	2	2
450	но эта	2	2
451	все свои	2	2
