N	2gram	Tiupa_Lite	Marksizm
321	сознания в	14	2
322	если оно	2	2
323	и наконец	2	2
324	где в	2	2
325	героя и	2	2
326	с этой	6	2
327	целом ряде	2	2
328	на смену	6	2
329	в чем	2	2
330	не по	2	2
331	что его	3	2
332	всех своих	3	2
333	но только	3	2
334	по крайней	2	2
335	себе и	2	2
336	культуры и	2	2
337	чуть ли	2	2
338	творческий акт	2	2
339	в жизни	7	2
340	быть не	2	2
341	есть лишь	2	2
342	первого лица	2	2
343	по которым	2	2
344	или иную	2	2
345	поскольку он	2	2
346	этого сознания	2	2
347	нового времени	2	2
348	тому же	2	2
349	пор пока	2	2
350	ту же	4	2
351	но с	3	2
352	героя как	2	2
353	реакция на	2	2
