N	2gram	Nazirov_Tv	Dialekti
216	в мире	8	7
217	даже если	2	7
218	он сам	8	7
219	мифа в	2	7
220	но он	3	7
221	это как	4	6
222	в один	3	6
223	одна из	5	6
224	в которой	5	6
225	а я	3	6
226	ни к	2	6
227	в себя	3	6
228	вместе с	4	6
229	его в	2	6
230	а что	2	6
231	и необходимости	2	6
232	это все	2	6
233	у пушкина	5	6
234	о нем	2	6
235	себя как	2	6
236	более не	4	6
237	образ и	2	6
238	показывает что	5	6
239	во всех	2	6
240	о котором	2	6
241	дело не	3	6
242	я и	3	6
243	для него	9	6
244	ее в	3	6
245	во что	2	6
246	уже в	5	6
247	всяком случае	2	6
248	может не	2	6
249	во времени	3	5
250	говорил что	2	5
251	действительности и	3	5
252	надо было	2	5
253	гораздо более	2	5
254	что на	3	5
255	же не	2	5
256	если в	3	5
257	свободы и	2	5
258	ли это	2	5
259	не является	3	5
260	и наконец	3	5
261	в целях	2	5
262	едва ли	2	5
263	например в	3	5
264	что у	5	5
265	и время	2	5
266	в своих	8	5
267	когда он	4	5
268	если он	4	5
269	бытия но	2	5
270	вплоть до	2	5
271	и у	3	5
272	в одно	2	5
273	в него	2	5
274	души и	2	5
275	что с	2	5
276	в качестве	2	5
277	и еще	2	5
278	к этому	4	5
279	к ней	3	5
280	в свете	3	5
281	что его	4	5
282	отношении к	2	5
283	в сферу	2	5
284	тому же	2	5
285	зависит от	4	5
286	известно что	4	5
287	данном случае	2	4
288	человека и	6	4
289	в каждом	4	4
290	а как	2	4
291	сама жизнь	2	4
292	мы знаем	2	4
293	это уже	7	4
294	тоже не	2	4
295	общения с	2	4
296	был бы	3	4
297	время не	2	4
298	только для	2	4
299	с другим	3	4
300	еще более	3	4
301	из себя	2	4
302	если не	4	4
303	однако это	2	4
304	но его	2	4
305	о времени	4	4
306	я бы	3	4
307	но эта	3	4
308	т п	4	4
309	жизнь в	2	4
310	людей и	2	4
311	на себя	2	4
312	воли и	3	4
313	человек и	2	4
314	личности это	2	4
315	но уже	2	4
316	не нужно	2	4
317	что человек	3	4
318	в этот	3	4
319	но ведь	2	4
320	у него	11	4
321	такой же	4	4
322	со всеми	3	4
323	не по	3	4
324	и должно	2	4
325	и здесь	2	4
326	это время	2	4
327	к жизни	4	4
328	друг друга	2	4
329	представление о	9	4
330	видим в	2	3
331	когда я	2	3
332	но без	2	3
333	отличие от	3	3
334	самого начала	3	3
335	в искусстве	3	3
336	а с	4	3
337	одной из	7	3
338	не так	5	3
339	с самого	3	3
340	и человек	3	3
341	просто не	3	3
342	место в	6	3
343	в первом	3	3
344	тот же	3	3
345	этот момент	2	3
346	не могли	2	3
347	времени а	2	3
348	кто же	2	3
349	говорит что	2	3
350	мысли и	5	3
351	по мере	2	3
352	на него	2	3
353	что как	2	3
354	верит в	2	3
355	как у	3	3
356	раз на	2	3
357	как известно	3	3
358	далеко не	3	3
359	д в	3	3
360	в свою	8	3
361	в которых	3	3
362	указывает на	2	3
363	против этого	2	3
364	вслед за	2	3
365	не дают	2	3
366	человека но	3	3
367	не был	4	3
368	в современной	2	3
369	из жизни	3	3
370	стремится к	3	3
371	только через	2	3
372	только с	3	3
373	он с	2	3
374	у достоевского	51	3
375	мы понимаем	2	3
376	познания и	2	3
377	во время	2	3
378	во всей	2	3
379	себя но	2	3
380	на ней	2	3
381	по преимуществу	4	3
382	больше чем	2	3
383	своего собственного	2	3
384	на земле	4	3
385	культуры и	2	3
386	не к	2	3
387	петр александрович	3	3
388	когда же	2	3
389	не мог	3	3
390	и будет	2	3
391	между тем	2	3
392	и отчасти	3	2
393	в область	4	2
394	ее и	2	2
395	не имеют	4	2
396	тут и	3	2
397	и поэтому	2	2
398	наряду с	6	2
399	и далее	4	2
400	как к	2	2
401	и внутреннего	3	2
402	роль в	2	2
403	и других	5	2
404	сердце и	2	2
405	свою очередь	2	2
406	они имеют	2	2
407	воздействие на	2	2
408	и др	2	2
409	всегда было	2	2
410	любви к	2	2
411	на его	4	2
412	так вот	2	2
413	однако в	3	2
414	идеи в	2	2
415	в образе	4	2
416	в процессе	3	2
417	ни во	2	2
418	на землю	2	2
419	но зато	3	2
420	по способу	2	2
421	в духе	6	2
422	в нашей	2	2
423	дело в	4	2
424	у нее	4	2
425	и до	2	2
426	неотделима от	2	2
427	мысль о	3	2
428	на деле	3	2
429	он был	2	2
430	жизнь для	2	2
431	со своими	2	2
432	не во	2	2
433	жизни но	2	2
434	в такой	2	2
435	этот вопрос	4	2
436	я буду	2	2
437	еще в	3	2
438	меня в	2	2
439	жизни не	2	2
440	ибо в	2	2
441	по самому	2	2
442	этого вопроса	2	2
443	понимаем что	2	2
444	в человеке	4	2
445	жизни он	2	2
446	есть основа	3	2
447	в глаза	2	2
448	то есть	16	2
449	времени в	13	2
450	к которому	3	2
451	человек по	4	2
452	же самая	2	2
453	нем и	2	2
454	на том	2	2
455	по самой	2	2
456	одного из	3	2
457	говорит об	2	2
458	так мы	2	2
459	и мир	3	2
460	было в	2	2
461	это еще	2	2
462	некоторые из	2	2
463	в пространстве	2	2
464	в целом	7	2
465	мировоззрения и	2	2
466	человек как	3	2
467	эта идея	2	2
468	что идея	2	2
469	связана с	2	2
470	человека в	9	2
471	жизни в	9	2
472	достоевского в	19	2
473	в изображении	2	2
474	его и	2	2
475	о своих	2	2
476	на этот	3	2
477	в мысли	2	2
478	во многом	8	2
479	мы наблюдаем	2	2
480	с которым	2	2
481	еще с	2	2
482	жизни с	2	2
483	по природе	6	2
484	но когда	2	2
485	и многое	2	2
486	вокруг себя	2	2
487	и сам	5	2
488	в пользу	2	2
489	мира в	2	2
