N	2gram	Tiupa_Narr	FransuaR
146	можно было	2	17
147	в результате	4	17
148	меньшей степени	2	17
149	и вот	2	17
150	большей или	2	17
151	а не	27	17
152	между тем	5	16
153	не подлежит	3	16
154	ничего не	8	16
155	в начале	4	16
156	между ними	3	16
157	в другом	5	16
158	начала и	5	16
159	они не	3	16
160	дело в	2	16
161	с одной	5	16
162	одно из	2	15
163	еще в	4	15
164	в нашем	4	15
165	особенно в	3	15
166	как на	2	15
167	в первой	3	15
168	в которой	2	15
169	не мог	7	15
170	из этих	6	15
171	мы не	5	14
172	все что	4	14
173	в данном	17	14
174	и он	8	14
175	и по	3	14
176	в чем	3	14
177	в котором	3	14
178	характер и	3	14
179	так в	4	13
180	как он	3	13
181	отличие от	6	13
182	это было	3	13
183	в других	2	13
184	этого эпизода	3	13
185	или в	7	13
186	и еще	2	13
187	бы в	2	13
188	в жизни	9	13
189	в мире	8	13
190	и сам	4	13
191	мира в	4	13
192	о чем	6	13
193	только на	4	13
194	они и	2	13
195	одной стороны	5	13
196	не знает	2	13
197	мир и	2	13
198	подчеркнуть что	2	13
199	лишь в	3	12
200	у нас	4	12
201	начиная с	3	12
202	жизни в	7	12
203	в пределах	2	12
204	и ее	3	12
205	но именно	3	12
206	та же	2	12
207	по своей	3	12
208	раз в	4	12
209	место в	3	12
210	можно сказать	11	12
211	о нем	5	12
212	другой стороны	2	12
213	об этом	8	12
214	это уже	3	11
215	все время	2	11
216	и более	2	11
217	на фоне	2	11
218	зрения на	2	11
219	она была	2	11
220	уже не	11	11
221	в ряде	2	11
222	и т.д	7	11
223	с ними	5	11
224	той или	7	11
225	в отличие	6	11
226	в пределе	2	11
227	данном случае	12	10
228	или иной	6	10
229	на этот	2	10
230	новое и	2	10
231	в процессе	2	10
232	к тому	13	10
233	его как	2	10
234	во второй	2	10
235	нас в	2	10
236	по отношению	5	10
237	где они	2	10
238	в целом	5	10
239	да и	5	10
240	все его	4	10
241	не просто	2	10
242	еще раз	3	9
243	что не	2	9
244	как известно	3	9
245	говорит о	3	9
246	но как	3	9
247	вплоть до	5	9
248	как это	7	9
249	связано с	2	9
250	и то	3	9
251	отношению к	5	9
252	для нас	2	9
253	как к	3	9
254	в формах	2	9
255	что на	4	9
256	не имеет	3	9
257	это была	3	9
258	же в	6	9
259	в следующей	3	9
260	мы можем	2	9
261	о котором	4	9
262	к жизни	3	9
263	с этой	3	8
264	людей и	2	8
265	если бы	9	8
266	и мира	4	8
267	в него	2	8
268	по поводу	3	8
269	на одном	2	8
270	более или	2	8
271	или менее	2	8
272	не менее	6	8
273	дело не	3	8
274	как о	2	8
275	тому же	9	8
276	а как	2	7
277	точку зрения	3	7
278	в церкви	2	7
279	точка зрения	5	7
280	времени в	3	7
281	интерес к	3	7
282	никак не	5	7
283	себе и	2	7
284	что у	6	7
285	в свою	4	7
286	тому как	4	7
287	только с	2	7
288	на том	2	7
289	одного из	6	7
290	жизни это	2	7
291	в виде	2	7
292	во всяком	2	7
293	себя в	4	7
294	к ним	2	7
295	подобно тому	4	7
296	в таком	4	7
297	том как	3	7
298	на него	4	7
299	всех его	2	7
300	к себе	11	7
301	а на	2	7
302	в наиболее	2	7
303	и смерть	2	6
304	в нее	2	6
305	такого рода	17	6
306	свою очередь	2	6
307	свидетельствует о	4	6
308	видит в	3	6
309	в центре	4	6
310	как у	6	6
311	входит в	2	6
312	или даже	3	6
313	жизни как	2	6
314	лица и	2	6
315	казалось бы	2	6
316	для них	2	6
317	что она	3	6
318	а именно	2	6
319	картины мира	3	6
320	к его	5	6
321	во времени	9	6
322	его и	2	6
323	друг друга	2	6
324	хотя бы	4	6
325	как она	2	6
326	как будто	4	6
327	тем же	3	6
328	видно что	2	6
329	не столько	2	6
330	со своими	3	6
331	тем самым	9	5
332	и конец	3	5
333	к своему	2	5
334	своей жизни	2	5
335	но одновременно	2	5
336	и самого	3	5
337	в первом	4	5
338	должна быть	2	5
339	начало и	3	5
340	первом случае	3	5
341	тем более	2	5
342	по словам	2	5
343	шире и	2	5
344	не вполне	3	5
345	с собой	2	5
346	значения и	2	5
347	не является	7	5
348	что мы	2	5
349	в человеке	2	5
350	каждый из	3	5
351	в произведении	2	5
352	в едином	2	5
353	церкви и	2	5
354	с нею	2	5
355	и когда	3	5
356	одного и	2	5
357	а за	2	5
358	автора и	2	5
359	слова в	4	5
360	и стал	2	5
361	всяком случае	2	5
362	он сам	4	5
363	по его	3	5
364	и только	2	5
365	же самое	3	5
366	в слове	4	5
367	от его	2	5
368	и сама	2	5
369	во втором	6	5
370	не могла	2	5
371	в строгом	3	5
372	но уже	2	5
373	сливаются в	2	5
374	раз и	2	5
375	нем не	2	5
376	то в	4	5
377	же как	2	5
378	мы имеем	6	5
379	человека в	2	5
380	к миру	2	5
381	не к	4	5
382	на то	4	5
383	ему в	2	5
384	ни о	3	4
385	лицо и	2	4
386	мы узнаем	2	4
387	в известном	4	4
388	у нее	8	4
389	прошлого и	2	4
390	о себе	2	4
391	о них	5	4
392	которой он	4	4
393	я не	5	4
394	о которой	3	4
395	говоря о	2	4
396	за ними	3	4
397	дело с	4	4
398	также в	2	4
399	что касается	3	4
400	если же	2	4
401	точек зрения	2	4
402	слово это	2	4
403	но для	5	4
404	со своим	2	4
405	и притом	3	4
406	в третьем	4	4
407	о своей	3	4
408	самим собой	3	4
409	ни одного	2	4
410	ли он	2	4
411	который в	2	4
412	быть и	3	4
413	одно и	2	4
414	своему характеру	2	4
415	однако и	5	4
416	не случайно	2	4
417	его жизни	5	4
418	оно не	4	4
419	только не	2	4
420	внимание на	7	4
421	на рубеже	2	4
422	что я	4	4
423	один и	2	4
424	у меня	2	4
425	мы и	2	4
426	в действительности	2	4
427	свою жизнь	2	4
428	если в	2	4
429	и тем	9	4
430	утверждает что	2	4
431	когда в	4	4
432	о его	3	4
433	к ней	3	4
434	тот самый	2	4
435	в культуре	3	4
436	не по	5	4
437	не могло	3	4
438	по себе	4	4
439	в организации	2	4
440	утрачивает свою	2	3
441	при всей	5	3
442	в речи	5	3
443	в точке	2	3
444	она не	2	3
445	перехода от	2	3
446	когда она	2	3
447	на нее	2	3
448	которая не	3	3
449	о смерти	2	3
450	национального языка	2	3
451	не о	2	3
452	было и	2	3
453	и того	5	3
454	и после	3	3
455	чтобы стать	2	3
456	также не	2	3
457	в произведениях	3	3
458	для других	3	3
459	со стороны	14	3
460	не всегда	4	3
461	в современной	4	3
462	тому что	4	3
463	и другая	2	3
464	быть в	2	3
465	выступает в	2	3
466	на другой	6	3
467	для обозначения	2	3
468	имеет место	4	3
469	но при	5	3
470	они могут	2	3
471	он является	4	3
472	человек в	3	3
473	ключ к	2	3
474	не существует	3	3
475	всякий раз	2	3
476	времени но	2	3
477	которая в	2	3
478	для нее	2	3
479	в силу	5	3
480	наряду с	2	3
481	в следующем	2	3
482	между собой	3	3
483	а с	2	3
484	действующих лиц	8	3
485	а для	4	3
486	участие в	2	3
487	а потому	2	3
488	как именно	2	3
489	не имел	2	3
490	не будет	2	3
491	войны и	4	3
492	между двумя	6	3
493	эти два	2	3
494	по своим	2	3
495	в городе	2	3
496	со своей	3	3
497	характера и	3	3
498	ясно что	2	3
499	будто бы	2	3
500	эпизоды в	3	3
501	т.п и	2	3
502	когда же	2	3
503	и через	2	3
504	именно эта	2	3
505	что именно	2	3
506	на две	2	3
507	что с	2	3
508	своего существования	2	3
509	и уже	4	3
510	и тогда	2	3
511	жизни но	3	3
512	после смерти	2	3
513	приводит к	2	3
514	не слышит	2	3
515	сознания в	3	3
516	этих двух	2	3
517	чем он	3	3
518	и сами	2	3
519	к различным	2	2
520	и настоящего	2	2
521	из участников	3	2
522	первый раз	2	2
523	в пространстве	3	2
524	главного героя	5	2
525	известном смысле	4	2
526	я уже	2	2
527	о своем	2	2
528	по мере	2	2
529	переход от	2	2
530	он уже	3	2
531	с нами	2	2
532	строго говоря	2	2
533	проникновения в	2	2
534	освободиться от	2	2
535	в самую	2	2
536	соответствии с	7	2
537	как все	2	2
538	если не	4	2
539	глядя на	3	2
540	на стороне	3	2
541	от которой	2	2
542	напротив они	2	2
543	не сливаются	2	2
544	вслед за	4	2
545	так называемая	2	2
546	этого не	2	2
547	речь идет	3	2
548	стать и	2	2
549	человеческой жизни	3	2
550	мы его	2	2
551	в состав	5	2
552	как образ	2	2
553	по мысли	8	2
554	в двух	2	2
555	себе самому	5	2
556	если она	3	2
557	где в	3	2
558	и внутренней	2	2
559	в какой	2	2
560	которое не	2	2
561	в итоге	4	2
562	и служит	2	2
563	и будущего	2	2
564	них как	2	2
565	потому не	2	2
566	из уст	2	2
567	и иных	3	2
568	солнца и	2	2
569	а его	3	2
570	не являются	2	2
571	была на	2	2
572	тот кто	2	2
573	как для	2	2
574	так у	2	2
575	сознания и	2	2
576	только к	3	2
577	другой день	4	2
578	в обоих	4	2
579	в чужой	2	2
580	в зеркале	2	2
581	за пределами	3	2
582	ни от	2	2
583	напомнить что	2	2
584	вся жизнь	2	2
585	в конечном	6	2
586	за нею	2	2
587	могло быть	2	2
588	но зато	4	2
589	героя в	6	2
590	и столь	2	2
591	что может	2	2
592	себе самом	2	2
593	не можем	2	2
594	главное в	2	2
595	более не	3	2
596	обращается к	3	2
597	не все	2	2
598	будто он	2	2
599	не столь	2	2
600	было как	5	2
601	конечном счете	4	2
602	а о	2	2
603	вот я	2	2
604	когда все	2	2
605	как по	2	2
606	из наиболее	6	2
607	и является	2	2
608	человеческих отношений	2	2
609	жизни а	4	2
610	однако не	2	2
