N	2gram	Tiupa_Disk	RusskieA
279	с этой	2	2
280	в пределах	4	2
281	нас в	2	2
282	не могло	2	2
283	в жизни	2	2
284	не случайно	2	2
285	в чем	2	2
286	оно не	2	2
287	следует признать	3	2
288	о них	2	2
289	литературы в	2	2
290	виду что	2	2
291	по себе	3	2
292	к их	2	2
293	привело к	4	2
294	к другому	3	2
295	говорить о	3	2
296	не более	3	2
297	собой как	2	2
298	как его	2	2
299	в нашем	2	2
300	равной степени	2	2
301	народного творчества	2	2
