N	2gram	Losev_Vesc	formyVre
173	мы находим	5	6
174	и самое	3	6
175	в сущности	7	6
176	не является	3	6
177	нет и	4	6
178	первый тип	2	6
179	о том	11	6
180	именно в	2	6
181	все что	3	6
182	бы ни	3	6
183	слова и	7	6
184	следовательно и	2	5
185	стороны и	2	5
186	о чем	2	5
187	и вообще	6	5
188	по своей	3	5
189	только на	3	5
190	так что	9	5
191	ничем не	4	5
192	и ни	3	5
193	одно из	2	5
194	от этого	3	5
195	с другими	8	5
196	что все	2	5
197	с ними	4	5
198	той или	3	5
199	не на	2	5
200	что они	12	5
201	в этой	4	5
202	и они	2	5
203	одно и	6	5
204	и от	4	5
205	хотя бы	9	5
206	мы имеем	8	5
207	в своей	6	5
208	по преимуществу	2	5
209	в это	2	5
210	об этом	5	5
211	тем что	7	5
212	они как	2	5
213	с этой	6	5
214	чем не	2	5
215	или как	3	5
216	было и	2	5
217	но они	2	5
218	быть только	6	5
219	почти все	2	5
220	самим собою	2	5
221	конечно и	2	5
222	не имеет	2	5
223	далеко не	2	5
224	вообще не	6	5
225	да и	5	5
226	в смысле	22	5
227	но на	2	5
228	и уже	2	5
229	точка зрения	5	5
230	или в	3	5
231	и только	11	5
232	той же	2	5
233	мы будем	3	5
234	перед нами	3	4
235	из того	3	4
236	мы должны	5	4
237	его на	4	4
238	по себе	22	4
239	чтобы они	2	4
240	во внутреннем	2	4
241	в другом	3	4
242	не был	2	4
243	что он	7	4
244	и о	4	4
245	как он	2	4
246	за ними	2	4
247	в одно	2	4
248	о которых	2	4
249	его от	2	4
250	бы на	3	4
251	в чем	10	4
252	что не	11	4
253	другой стороны	3	4
254	и вне	2	4
255	вещи и	40	4
256	и совершенно	2	4
257	совсем не	2	4
258	а затем	2	4
259	мы сказали	2	4
260	из самых	3	4
261	и со	2	4
262	своей собственной	2	4
263	быть и	5	4
264	в данном	6	4
265	тем более	3	4
266	нем нет	2	4
267	и образ	3	4
268	только что	2	4
269	находятся в	2	4
270	и вот	4	4
271	у нас	9	4
272	все равно	6	4
273	себе и	2	4
274	лишь как	2	4
275	же и	2	4
276	и более	4	4
277	и сознания	2	4
278	где она	2	4
279	раз в	2	4
280	в своих	3	4
281	момент в	6	4
282	как она	5	4
283	равно как	4	4
284	несмотря на	6	4
285	всяком случае	2	4
286	раз и	2	4
287	это и	12	4
288	а следовательно	4	4
289	во всем	2	4
290	она еще	2	3
291	еще и	11	3
292	вопрос о	6	3
293	как можно	5	3
294	явления как	3	3
295	том как	4	3
296	в сферу	2	3
297	есть только	18	3
298	ни с	8	3
299	что здесь	2	3
300	и эти	3	3
301	как это	4	3
302	неотделимо от	2	3
303	и дает	2	3
304	по сравнению	8	3
305	тому что	2	3
306	она не	9	3
307	но оно	3	3
308	это уже	2	3
309	в чисто	5	3
310	в более	2	3
311	вещами и	3	3
312	нет никакого	3	3
313	что на	2	3
314	в определенном	2	3
315	но это	14	3
316	не столько	2	3
317	же как	3	3
318	как нечто	3	3
319	на этом	4	3
320	того и	2	3
321	это значит	30	3
322	и так	2	3
323	вот почему	3	3
324	них и	2	3
325	одна из	6	3
326	но она	3	3
327	все то	2	3
328	если они	2	3
329	бы в	9	3
330	и еще	4	3
331	бы и	9	3
332	дело в	6	3
333	только к	2	3
334	это было	2	3
335	к ней	4	3
336	в данной	2	3
337	и здесь	5	3
338	и ничего	2	3
339	совершенно не	11	3
340	его и	4	3
341	но только	4	3
342	ни к	3	3
343	начиная от	2	3
344	нас в	3	3
345	при всем	2	3
346	что есть	8	3
347	сами по	3	3
348	явлений и	3	3
349	можно говорить	2	3
350	от всех	5	3
351	можно сказать	8	3
352	и вещей	3	3
353	на почве	6	3
354	если мы	12	3
355	в свою	5	3
356	выражение в	3	3
357	если не	3	3
358	главным образом	3	3
359	что мы	17	3
360	находится в	4	3
361	к другому	3	3
362	к реальному	2	3
363	у всех	3	3
364	на нас	3	3
365	и явления	8	3
366	и есть	40	3
367	сравнению с	7	3
368	не быть	4	3
369	не к	3	3
370	в слове	2	3
371	мы говорили	2	3
372	однако не	4	3
373	без всякого	7	3
374	не обязательно	2	3
375	и внутреннее	2	3
376	не мог	3	3
377	по самому	3	3
378	тем же	2	3
379	находим в	2	2
380	не о	2	2
381	данном случае	2	2
382	в каком	6	2
383	ее и	2	2
384	от всего	15	2
385	на себя	5	2
386	с чем	7	2
387	раньше и	2	2
388	для всего	2	2
389	а потом	3	2
390	когда я	5	2
391	и притом	4	2
392	свою очередь	5	2
393	смысла и	8	2
394	остановиться на	3	2
395	между прочим	4	2
396	должен быть	5	2
397	бы его	2	2
398	этот тип	3	2
399	чего не	2	2
400	смысловую сферу	3	2
401	существует только	2	2
402	самом деле	7	2
403	же мы	2	2
404	вещь в	7	2
405	я вижу	2	2
406	значит что	32	2
407	только я	3	2
408	как я	6	2
409	и новой	2	2
410	к нему	3	2
411	а только	3	2
412	какое это	3	2
413	была бы	3	2
414	во втором	2	2
415	форме и	2	2
416	с которой	3	2
417	отношении к	4	2
418	и та	2	2
419	но как	3	2
420	на ее	3	2
421	себя как	3	2
422	с трудом	2	2
423	с нею	19	2
424	все вещи	2	2
425	переходит в	4	2
426	и пр	10	2
427	на более	2	2
428	было в	3	2
429	даже не	8	2
430	должны быть	6	2
431	только один	3	2
432	вопрос об	2	2
433	мы видели	3	2
434	или не	7	2
435	тут же	4	2
436	и нет	3	2
437	когда мы	6	2
438	перестает быть	3	2
439	то в	4	2
440	то и	7	2
441	можно только	6	2
442	есть именно	7	2
443	то он	2	2
444	ее на	2	2
445	как оно	4	2
446	необходимо чтобы	7	2
447	и тогда	7	2
448	бытия и	6	2
449	и эта	4	2
450	и вещи	6	2
451	его как	2	2
452	себя в	11	2
453	о котором	2	2
454	для такого	2	2
455	отличается от	8	2
456	со всем	5	2
457	но лишь	2	2
458	если я	6	2
459	себя самого	4	2
460	и может	3	2
461	в философии	8	2
462	себе не	3	2
463	для нас	2	2
464	между собою	12	2
465	смысл и	12	2
466	но если	12	2
467	которые мы	2	2
468	должна быть	8	2
469	моментов в	2	2
470	не можем	3	2
471	подходим к	2	2
472	ее к	2	2
473	имени и	16	2
474	но уже	3	2
475	что у	5	2
476	учение об	10	2
477	нет никакой	4	2
478	но к	2	2
479	с собой	2	2
480	как с	7	2
481	образом и	4	2
482	этот вопрос	6	2
483	из себя	6	2
484	но для	2	2
485	мы говорим	6	2
486	не существует	4	2
487	тогда когда	5	2
488	он становится	2	2
489	и она	3	2
490	по природе	2	2
491	действительность в	2	2
492	я не	7	2
493	но когда	3	2
494	от нее	2	2
495	он сам	2	2
496	степени и	2	2
497	меняется и	2	2
498	говорить о	9	2
499	и сама	4	2
500	является не	2	2
501	как только	6	2
502	только о	2	2
503	и сам	3	2
504	если же	5	2
505	природе своей	2	2
506	это именно	3	2
507	явления и	4	2
508	основе своей	2	2
509	части и	2	2
510	ясно что	10	2
