N	2gram	Vinokur_St	Problema
114	не имеет	5	24
115	с тем	3	24
116	и вполне	4	24
117	мы находим	4	23
118	на то	5	23
119	при этом	4	23
120	конце концов	2	23
121	в качестве	7	23
122	по своему	2	23
123	никогда не	7	22
124	его в	4	22
125	значит что	3	22
126	что и	8	22
127	можно ли	5	22
128	и от	2	22
129	всех этих	2	22
130	есть в	2	22
131	и к	5	22
132	и без	4	21
133	а также	4	21
134	для себя	3	21
135	разного рода	2	21
136	в самом	14	21
137	говорить о	3	21
138	и только	3	21
139	и потому	3	20
140	как о	2	20
141	для того	15	20
142	именно в	8	20
143	о чем	4	20
144	можно было	14	20
145	несмотря на	4	20
146	тем что	6	20
147	в отношении	11	19
148	в каком	4	19
149	но если	5	19
150	того или	4	19
151	то в	3	19
152	если бы	11	19
153	кроме того	3	19
154	но только	2	19
155	то это	3	19
156	если не	4	19
157	он не	11	19
158	уже в	3	19
159	самом деле	14	19
160	в них	2	19
161	как в	15	19
162	этом смысле	2	19
163	жизни и	6	19
164	того же	4	18
165	того чтобы	15	18
166	в ее	6	18
167	в этих	5	18
168	не было	7	18
169	не существует	4	18
170	в ней	9	18
171	что здесь	2	17
172	гораздо более	5	17
173	и здесь	2	17
174	без всякого	2	17
175	это и	5	17
176	совсем не	3	17
177	что они	9	17
178	совершенно не	7	17
179	во всех	8	17
180	к тому	9	16
181	но все	9	16
182	для этого	2	16
183	как это	6	16
184	точно так	2	16
185	случае не	3	16
186	что она	5	16
187	будто бы	4	16
188	в чем	4	15
189	общего с	3	15
190	и более	4	15
191	в частности	6	15
192	у него	3	15
193	что не	3	15
194	с этим	6	15
195	в той	9	15
196	и сам	4	15
197	не так	2	14
198	что все	3	14
199	говорит о	5	14
200	за пределы	2	14
201	сих пор	12	14
202	этом случае	3	14
203	в котором	11	14
204	нас не	3	14
205	то ни	2	14
206	до сих	13	14
207	дело в	9	13
208	в других	2	13
209	те или	2	13
210	в их	3	13
211	бы и	4	13
212	тому что	8	13
213	мы имеем	2	13
214	в области	16	13
215	или иного	4	13
216	же и	4	13
217	сами по	2	13
218	ни на	3	13
219	из них	11	13
220	нисколько не	3	12
221	но именно	3	12
222	не являются	3	12
223	так или	3	12
224	что этот	3	12
225	не говоря	2	12
226	в которой	13	12
227	в другом	5	12
228	с одной	3	12
229	и очень	5	12
230	в целом	5	12
231	для них	2	12
232	что это	5	12
233	в начале	5	12
234	время как	2	12
235	или иначе	3	12
236	и можно	2	12
237	то время	2	12
238	не о	2	11
239	и во	3	11
240	в истории	5	11
241	вообще не	5	11
242	только не	2	11
243	тот же	2	11
244	у пушкина	17	11
245	о которых	3	11
246	не могут	2	11
247	одной стороны	2	11
248	и у	2	11
249	по этому	5	11
250	и тогда	2	11
251	нет никакого	3	11
252	бы то	2	11
253	по поводу	13	11
254	и их	3	11
255	без всякой	3	11
256	к нему	2	11
257	заключается в	5	11
258	свидетельствует о	2	11
259	не имеют	2	10
260	быть и	2	10
261	отличается от	2	10
262	ни с	3	10
263	что у	8	10
264	что для	4	10
265	в одном	7	10
266	или менее	2	10
267	то или	3	10
268	что оно	4	10
269	внимание на	5	10
270	представление о	5	10
271	бы не	2	10
272	со всеми	2	10
273	более или	2	10
274	в году	3	10
275	но он	5	10
276	вопрос о	9	9
277	хотелось бы	2	9
278	в трагедии	13	9
279	которые в	2	9
280	она не	3	9
281	между прочим	10	9
282	же касается	3	9
283	этому поводу	4	9
284	языка и	4	9
285	в тех	5	9
286	и до	2	9
287	это вовсе	2	9
288	в своих	2	9
289	их в	2	9
290	имеет ничего	2	9
291	не очень	2	9
292	в которых	5	9
293	говоря уже	2	9
294	того как	8	9
295	литературы и	3	9
296	бы в	2	9
297	это было	2	9
298	о котором	2	9
299	и другие	3	9
300	д и	2	9
301	обратить внимание	4	9
302	как иначе	2	9
303	петра i	2	9
304	бы мы	2	8
305	были бы	2	8
306	как он	3	8
307	от этого	2	8
308	в г	10	8
309	ведь если	2	8
310	а если	2	8
311	на его	2	8
312	иметь в	2	8
313	и по	6	8
314	никто не	4	8
315	для него	10	8
316	если в	2	8
317	не все	3	8
318	с этой	5	8
319	еще в	3	8
320	является не	4	8
321	в период	2	8
322	тем же	3	8
323	к его	2	8
324	том как	4	8
325	вплоть до	6	8
326	в сознании	2	8
327	только с	4	8
328	а то	3	8
329	к сожалению	4	8
330	из этих	7	8
331	и самый	2	8
332	он был	5	8
333	с самого	4	8
334	и он	2	8
335	только потому	2	8
336	которые не	3	8
337	но ведь	8	8
338	не значит	3	8
339	но для	3	8
340	конечно не	2	8
341	что при	3	8
342	что на	3	7
343	времени и	4	7
344	самого начала	3	7
345	а с	6	7
346	одной из	4	7
347	в основе	4	7
348	в эпоху	3	7
349	однако и	2	7
350	в значительной	2	7
351	и так	3	7
352	чем не	2	7
353	еще более	5	7
354	в какой	4	7
355	в такой	2	7
356	оно не	3	7
357	или иное	3	7
358	в случае	2	7
359	все в	2	7
360	даже в	5	7
361	не на	3	7
362	в это	3	7
363	даже не	5	7
364	не раз	2	7
365	но что	2	7
366	была бы	10	7
367	мере в	3	7
368	себе в	2	7
369	уже о	6	7
370	же как	5	7
371	же это	3	7
372	этой области	5	7
373	что касается	4	7
374	это в	4	7
375	на этот	5	7
376	ее в	2	7
377	меньше всего	3	7
378	и который	3	7
379	тому же	2	7
380	без всяких	2	6
381	этого произведения	2	6
382	не как	2	6
383	с той	3	6
384	знака в	2	6
385	в известном	3	6
386	ведь и	3	6
387	ли в	3	6
388	тем или	3	6
389	в зависимости	2	6
390	только к	2	6
391	на него	3	6
392	в статье	9	6
393	по своей	2	6
394	медного всадника	2	6
395	этого слова	2	6
396	г в	10	6
397	этот вопрос	6	6
398	том смысле	4	6
399	факт что	6	6
400	что именно	2	6
401	не знает	2	6
402	но с	7	6
403	одним и	2	6
404	до конца	4	6
405	и всегда	2	6
406	и об	7	6
407	не всегда	2	6
408	видно что	3	6
409	гораздо больше	2	6
410	по существу	3	6
411	в общем	2	6
412	могут быть	5	6
413	во время	5	6
414	с его	3	6
415	с которыми	3	6
416	и уже	3	6
417	дело не	4	6
418	особенно в	2	6
419	в поэме	3	6
420	зависимости от	2	6
421	этом отношении	13	6
422	к своему	3	6
423	можно найти	3	6
424	не к	2	6
425	как на	10	6
426	не мог	3	6
427	отношения к	2	6
428	и речи	3	6
429	в слове	5	6
430	в первую	2	5
431	отношение к	3	5
432	он должен	2	5
433	что ни	2	5
434	другое дело	3	5
435	нужно сказать	6	5
436	до того	4	5
437	вот что	3	5
438	лишь в	3	5
439	нет ни	3	5
440	в наших	2	5
441	от его	2	5
442	я не	13	5
443	во внимание	2	5
444	что эта	5	5
445	за то	5	5
446	представляет собою	3	5
447	между тем	7	5
448	и вся	2	5
449	во многих	3	5
450	его не	3	5
451	том числе	3	5
452	на себя	3	5
453	за что	4	5
454	там где	6	5
455	что с	4	5
456	этот раз	2	5
457	первую очередь	2	5
458	лет назад	2	5
459	к этому	4	5
460	хотя в	2	5
461	больше чем	3	5
462	по мнению	4	5
463	обстоятельство что	4	5
464	смысле что	2	5
465	одним из	2	5
466	лучше сказать	2	5
467	они не	2	5
468	раз в	4	5
469	поэтому в	4	5
470	не для	3	5
471	по его	5	5
472	в каждом	3	5
473	не знали	2	4
474	на эту	5	4
475	в духе	2	4
476	вернее сказать	2	4
477	должен быть	3	4
478	не хочет	2	4
479	столько же	3	4
480	а как	5	4
481	нас к	2	4
482	при таком	2	4
483	одно из	3	4
484	так например	12	4
485	в эту	3	4
486	для своего	2	4
487	могло бы	3	4
488	во втором	5	4
489	только тем	2	4
490	числе и	2	4
491	пушкина и	20	4
492	то не	3	4
493	это можно	3	4
494	эту тему	4	4
495	кажется что	5	4
496	на нее	3	4
497	что от	2	4
498	вопроса о	3	4
499	конечно и	5	4
500	тут не	3	4
501	меня в	2	4
502	самого же	2	4
503	xix в	6	4
504	если это	3	4
505	им в	2	4
506	но к	2	4
507	то обстоятельство	3	4
508	о них	3	4
509	которые являются	2	4
510	разница между	3	4
511	той же	5	4
512	начиная с	2	4
513	на который	2	4
514	не потому	3	4
515	но на	2	4
516	в каком-то	2	4
517	или о	2	4
518	и за	3	4
519	xix века	2	4
520	дело с	2	4
521	и те	4	4
522	этой поэмы	4	4
523	с нею	3	4
524	можно назвать	3	4
525	и всей	2	4
526	в сущности	2	4
527	бы только	2	4
528	например в	8	4
529	очень часто	3	4
530	с их	2	4
531	но эти	2	4
532	что только	2	4
533	на это	2	4
534	находим и	2	4
535	перед собой	2	4
536	это просто	3	4
537	бы что	3	4
538	и пр	4	4
539	но они	3	4
540	в русской	4	4
541	это время	3	4
542	о значении	3	4
543	что во	3	4
544	чем он	3	4
545	имеем дело	2	4
546	из того	2	3
547	котором он	2	3
548	опять-таки не	2	3
549	или лучше	2	3
550	том же	3	3
551	от своего	2	3
552	относятся к	3	3
553	смотреть на	2	3
554	а потому	2	3
555	нет никаких	2	3
556	естественно что	2	3
557	в комментарии	2	3
558	в образе	3	3
559	нуждается в	2	3
560	в первом	2	3
561	должна быть	3	3
562	что значит	2	3
563	на чем	2	3
564	отношений между	3	3
565	в чисто	2	3
566	каких бы	2	3
567	что нет	2	3
568	не хотел	2	3
569	борьбы с	3	3
570	мысль о	2	3
571	превращается в	2	3
572	и нужно	3	3
573	не имела	2	3
574	после того	5	3
575	из таких	2	3
576	думать что	2	3
577	столь же	5	3
578	связанные с	3	3
579	являются и	2	3
580	но я	5	3
581	говорят что	2	3
582	о которой	3	3
583	это был	3	3
584	для которых	3	3
585	в и	143	3
586	чем в	3	3
587	в москве	4	3
588	в очень	4	3
589	тот факт	5	3
590	значения как	2	3
591	в одной	3	3
592	а во-вторых	2	3
593	в отдельных	2	3
594	хотя это	2	3
595	со стороны	7	3
596	так называемая	3	3
597	ни один	2	3
598	здесь совершенно	3	3
599	в романе	4	3
600	и такие	2	3
601	в россии	7	3
602	дела и	2	3
603	во времена	4	3
604	борьбу с	2	3
605	своей трагедии	13	3
606	в голову	2	3
607	оно стало	2	3
608	быть в	2	3
609	не столько	6	3
610	которая была	3	3
611	г и	3	3
612	в первой	12	3
613	всего что	2	3
614	т е	21	3
615	говорит что	4	3
616	а к	2	3
617	от которого	2	3
618	который не	3	3
619	из нее	3	3
620	о языке	2	3
621	еще до	4	3
622	должен был	5	3
623	на основании	2	3
624	где он	2	3
625	больше всего	2	3
626	связан с	3	3
627	с историей	2	3
628	при его	3	3
629	речь идет	6	3
630	свою собственную	3	3
631	это слово	6	3
632	который как	2	3
633	основана на	2	3
634	в процессе	3	3
635	и именно	2	3
636	является вполне	2	3
637	может не	2	3
638	в середине	2	3
639	что было	3	3
640	место в	2	3
641	этих двух	4	3
642	ни для	2	3
643	я с	3	2
644	что ему	2	2
645	ни была	2	2
646	бы все	3	2
647	о своей	2	2
648	пушкиным и	6	2
649	доказать что	2	2
650	ни были	2	2
651	по словам	7	2
652	и эти	2	2
653	достаточно для	3	2
654	точно и	2	2
655	очень мало	4	2
656	зрения в	2	2
657	а во	3	2
658	такое же	2	2
659	такой же	6	2
660	отказаться от	2	2
661	в м	2	2
662	иначе и	2	2
663	что до	3	2
664	своего рода	7	2
665	ни одного	4	2
666	читаем что	2	2
667	и была	2	2
668	и и	2	2
669	судить по	3	2
670	них это	2	2
671	положении дела	2	2
672	бы это	2	2
673	и критика	2	2
674	известно что	2	2
675	трагедии не	2	2
676	свидетельствуют о	2	2
677	не должен	2	2
678	почти все	2	2
679	его жизни	3	2
680	самим пушкиным	2	2
681	за него	2	2
682	на которой	2	2
683	на почве	2	2
684	где нет	2	2
685	работ по	2	2
686	в предисловии	3	2
687	который так	2	2
688	у меня	3	2
689	сам в	3	2
690	не дает	2	2
691	таком положении	2	2
692	этого вопроса	3	2
693	который был	2	2
694	его же	2	2
695	в стихотворениях	5	2
696	по отношению	3	2
697	в обоих	2	2
698	ли не	2	2
699	или же	3	2
700	года в	3	2
701	а на	4	2
702	на все	2	2
703	в свое	3	2
704	не зная	2	2
705	т п	11	2
706	во многом	3	2
707	нужно было	2	2
708	для понимания	2	2
709	как например	2	2
710	никаких сомнений	3	2
711	кстати сказать	2	2
712	не нашел	2	2
713	говорит об	4	2
714	предисловии к	2	2
715	жил в	3	2
716	в прямом	2	2
717	на них	2	2
718	пушкина можно	3	2
719	случае и	2	2
720	и я	5	2
721	в литературном	3	2
722	пушкина что	3	2
723	образом не	2	2
724	было не	3	2
725	также в	2	2
726	вообще нет	2	2
727	но также	13	2
728	в данной	2	2
729	из двух	3	2
730	по адресу	3	2
731	для своей	2	2
732	что то	2	2
733	не приходится	5	2
734	отношению к	3	2
735	дело когда	2	2
736	нас сейчас	2	2
737	само собою	2	2
738	и сейчас	6	2
739	что я	3	2
740	поэмы в	2	2
741	должны быть	4	2
742	допустим что	2	2
743	смысл этого	2	2
744	их и	2	2
745	не имели	2	2
746	произведения в	2	2
747	совпадает с	3	2
748	бы ни	3	2
749	никакого сомнения	3	2
750	ли можно	2	2
751	подчеркнуть что	5	2
