N	2gram	Tiupa_Lite	Komedia
109	из его	2	9
110	в своей	5	9
111	а также	5	9
112	отношению к	4	9
113	все что	3	9
114	друг друга	5	9
115	вовсе не	3	9
116	только в	8	9
117	в ней	4	9
118	идет о	4	8
119	тех пор	2	8
120	и других	4	8
121	как он	2	8
122	такого рода	18	8
123	не знает	3	8
124	то это	2	8
125	а затем	3	8
126	связи с	7	8
127	да и	3	8
128	по поводу	2	8
129	другой стороны	5	8
130	можно было	3	8
131	с этой	6	8
132	при всем	4	8
133	что для	2	8
134	не было	5	8
135	во всех	4	8
136	до конца	3	7
137	в себе	8	7
138	в другом	3	7
139	со своим	2	7
140	себе в	3	7
141	в руках	2	7
142	так или	8	7
143	со временем	2	7
144	в связи	4	7
145	во всяком	3	7
146	если в	2	7
147	тех же	3	7
148	х годов	5	7
149	из этих	2	7
150	хотя бы	3	7
151	в результате	2	7
152	и вот	2	7
153	не является	3	7
154	ни было	2	7
155	в этих	2	7
156	не имеет	2	7
157	по которым	2	7
158	или иначе	9	7
159	отнюдь не	4	7
160	для нас	3	7
161	всяком случае	2	7
162	перед лицом	2	7
163	в годы	3	7
164	даже в	6	6
165	за то	2	6
166	в силу	4	6
167	в виду	4	6
168	и тем	4	6
169	уже о	2	6
170	в области	5	6
171	всего в	4	6
172	том числе	2	6
173	так в	6	6
174	не говоря	3	6
175	могут быть	4	6
176	что не	3	6
177	говоря уже	3	6
178	в сущности	5	6
179	и он	3	6
180	на это	2	6
181	тем не	4	6
182	и как	2	6
183	как правило	5	6
184	во второй	2	6
185	человека в	5	6
186	как будто	2	6
187	в отличие	6	6
188	в какой	2	6
189	до тех	2	6
190	на то	2	6
191	в своих	5	6
192	с собой	4	6
193	а по	2	6
194	на этом	3	6
195	представляет собой	5	6
196	с точки	4	6
197	а не	28	6
198	не мог	3	6
199	никогда не	5	5
200	этом отношении	5	5
201	это не	4	5
202	из того	3	5
203	для всех	5	5
204	в каждом	2	5
205	одним из	8	5
206	роль в	2	5
207	и мы	2	5
208	одном из	3	5
209	по существу	4	5
210	мы имеем	2	5
211	и я	7	5
212	под названием	3	5
213	в действительности	2	5
214	обращается к	5	5
215	который в	2	5
216	для этого	5	5
217	себя в	7	5
218	в сознании	3	5
219	в мире	9	5
220	за пределы	3	5
221	каждого из	2	5
222	мира в	4	5
223	к своему	2	5
224	восходит к	2	5
225	что я	4	5
226	приводит к	4	5
227	он и	5	5
228	со своей	3	5
229	жизни и	6	5
230	той же	5	5
231	тем же	5	5
232	все более	3	4
233	чтобы не	2	4
234	что ему	4	4
235	как теперь	2	4
236	нуждается в	3	4
237	не остается	2	4
238	не столько	8	4
239	наконец в	2	4
240	в принципе	7	4
241	по своей	3	4
242	художественного мышления	3	4
243	аналогии с	3	4
244	же как	3	4
245	не на	2	4
246	например в	3	4
247	в основе	5	4
248	так называемых	2	4
249	одна из	8	4
250	из этого	2	4
251	одно из	3	4
252	каждый из	4	4
253	то и	5	4
254	нет ничего	2	4
255	с их	3	4
256	я не	8	4
257	чуть ли	2	4
258	бы не	3	4
259	него в	2	4
260	у нас	5	4
261	такой же	3	4
262	под именем	2	4
263	одновременно с	2	4
264	в пределах	4	4
265	не случайно	5	4
266	далеко не	4	4
267	а то	2	4
268	перед ним	2	4
269	в поле	2	4
270	в себя	5	4
271	в соответствии	2	3
272	следует признать	2	3
273	в каждой	2	3
274	путь к	2	3
275	всего лишь	7	3
276	от него	2	3
277	вплоть до	4	3
278	при всей	5	3
279	не раз	2	3
280	как к	4	3
281	для себя	6	3
282	за собой	2	3
283	должен быть	2	3
284	а как	2	3
285	казалось бы	6	3
286	том же	3	3
287	от своего	3	3
288	в году	18	3
289	в любом	2	3
290	только на	3	3
291	своего времени	2	3
292	а с	2	3
293	мы в	3	3
294	для понимания	2	3
295	бы на	2	3
296	для этой	2	3
297	к этой	2	3
298	он говорит	2	3
299	состоит в	18	3
300	по собственному	2	3
301	и за	2	3
302	по этому	2	3
303	для них	2	3
304	одну из	2	3
305	и самого	2	3
306	все еще	2	3
307	в единственном	2	3
308	в рамках	9	3
309	право на	4	3
310	но при	2	3
311	а к	2	3
312	в финале	2	3
313	исходя из	3	3
314	ведь мы	2	3
315	конечном счете	8	3
316	сам же	2	3
317	и одновременно	2	3
318	для своего	2	3
319	не с	2	3
320	из наиболее	2	3
321	этой цели	2	3
322	что ты	2	3
323	соответствии с	3	3
324	ко всему	4	3
325	относится к	3	3
326	на рубеже	4	3
327	не более	2	3
328	ему в	2	3
329	и есть	3	3
330	как на	3	3
331	не к	3	3
332	в нашем	2	3
333	о которой	2	3
334	однако не	2	3
335	еще и	3	2
336	слов но	2	2
337	отношения между	3	2
338	тем самым	8	2
339	очевидно что	2	2
340	не для	2	2
341	на три	2	2
342	я на	3	2
343	человека и	2	2
344	своего героя	2	2
345	не как	4	2
346	знаю я	3	2
347	в конечном	9	2
348	где в	2	2
349	никак не	2	2
350	в разговоре	2	2
351	от себя	2	2
352	обращаясь к	4	2
353	не надо	2	2
354	этого не	2	2
355	это как	3	2
356	в форму	2	2
357	того что	7	2
358	со всеми	2	2
359	со всей	2	2
360	в душе	3	2
361	как уже	3	2
362	общего с	3	2
363	могло быть	2	2
364	он готов	2	2
365	ту же	4	2
366	во втором	3	2
367	пока не	2	2
368	этой точки	3	2
369	в жизнь	2	2
370	у кого	2	2
371	не сам	2	2
372	по тем	2	2
373	все эти	2	2
374	себя и	3	2
375	этого рода	2	2
376	мир в	5	2
377	должна быть	3	2
378	эти слова	2	2
379	этом случае	2	2
380	годов в	2	2
381	нашего времени	2	2
382	нет в	2	2
383	то в	3	2
384	быть не	2	2
385	отношению ко	2	2
386	к достижению	2	2
387	в литературе	2	2
388	но это	2	2
389	человека а	2	2
390	однако и	2	2
391	ни был	2	2
392	в противоположность	2	2
393	дело не	2	2
394	на свете	2	2
395	к новым	2	2
396	с ее	3	2
397	разговоре с	2	2
398	я и	10	2
399	слова и	6	2
400	превращается в	2	2
401	так я	2	2
402	жизни в	5	2
403	себе не	2	2
404	а для	3	2
405	для всей	2	2
406	речь в	2	2
407	отношении к	2	2
408	не должен	3	2
409	как сам	2	2
410	для него	6	2
411	в жизни	7	2
412	это уже	2	2
413	и является	2	2
414	подобно тому	4	2
415	от всех	2	2
416	поскольку он	2	2
417	того кто	2	2
418	и ты	4	2
419	тому как	4	2
420	к жизни	2	2
421	на войну	2	2
422	в случае	5	2
423	сводится к	4	2
424	после чего	2	2
425	и только	4	2
426	на фоне	5	2
427	же и	3	2
428	эта мысль	2	2
