N	2gram	Losev_Vesc	RusskieA
186	не просто	23	4
187	кроме того	5	4
188	что иное	12	4
189	но все	3	4
190	переход от	2	4
191	что у	5	4
192	что для	5	4
193	именно в	2	4
194	в котором	4	4
195	в своих	3	4
196	этот вопрос	6	4
197	уже в	2	4
198	в ней	14	4
199	всяком случае	2	4
200	то время	4	4
201	во всем	2	4
202	на этой	2	4
203	но он	2	4
204	никогда не	5	3
205	чтобы не	2	3
206	очевидно что	2	3
207	но можно	3	3
208	ее и	2	3
209	руки и	2	3
210	том как	4	3
211	то есть	2	3
212	есть и	13	3
213	это и	12	3
214	в виду	2	3
215	или другие	4	3
216	на все	2	3
217	тут же	4	3
218	как он	2	3
219	в одно	2	3
220	или менее	4	3
221	и другое	6	3
222	в отдельности	4	3
223	что все	2	3
224	и это	17	3
225	е на	2	3
226	более или	4	3
227	точки зрения	10	3
228	с которой	3	3
229	же не	4	3
230	совсем не	2	3
231	в ее	8	3
232	и во	3	3
233	в своей	6	3
234	содержится в	3	3
235	свою очередь	5	3
236	нет и	4	3
237	из самых	3	3
238	хотя и	5	3
239	и то	14	3
240	или не	7	3
241	судить о	4	3
242	независимо от	5	3
243	с другими	8	3
244	ее на	2	3
245	и еще	4	3
246	в которой	5	3
247	от этого	3	3
248	из наиболее	2	3
249	на него	3	3
250	если бы	8	3
251	что ее	2	3
252	можно говорить	2	3
253	жизни в	3	3
254	или ее	3	3
255	между собою	12	3
256	жизнь и	2	3
257	с одной	3	3
258	есть в	4	3
259	ее к	2	3
260	говорится о	2	3
261	не к	3	3
262	на то	9	3
263	все что	3	3
264	слова в	2	3
265	когда он	2	3
266	из которых	3	3
267	так чтобы	4	3
268	находится в	4	3
269	с точки	6	3
270	сводится к	4	3
271	говорит о	3	3
272	здесь не	2	3
273	только как	2	3
274	и его	4	3
275	же и	2	3
276	как только	6	3
277	что именно	4	3
278	из основных	3	3
279	быть и	5	3
280	и притом	4	2
281	что ему	3	2
282	следовательно и	2	2
283	к этим	2	2
284	и следовательно	20	2
285	в себе	23	2
286	и вообще	6	2
287	перед нами	3	2
288	но даже	3	2
289	не как	2	2
290	в силу	4	2
291	в конце	3	2
292	остановиться на	3	2
293	отношение к	4	2
294	что между	2	2
295	должен быть	5	2
296	на столе	2	2
297	и тем	7	2
298	между ними	6	2
299	в частности	3	2
300	самом деле	7	2
301	его от	2	2
302	себе в	5	2
303	сами собой	2	2
304	не так	2	2
305	для такого	2	2
306	только с	3	2
307	с другом	2	2
308	в более	2	2
309	точка зрения	5	2
310	ту же	2	2
311	и без	4	2
312	одной стороны	3	2
313	между прочим	4	2
314	отличаются от	2	2
315	с нею	19	2
316	и свои	2	2
317	вот почему	3	2
318	мы видим	5	2
319	и когда	5	2
320	себя и	8	2
321	те кто	3	2
322	эти теории	2	2
323	случае не	3	2
324	что эти	2	2
325	можно сказать	8	2
326	для него	8	2
327	относится к	6	2
328	с его	2	2
329	в одну	2	2
330	сказать что	21	2
331	и всем	4	2
332	все то	2	2
333	и должна	2	2
334	он не	4	2
335	что если	2	2
336	когда мы	6	2
337	другой стороны	3	2
338	значит что	32	2
339	как оно	4	2
340	ту или	3	2
341	тем более	3	2
342	дело в	6	2
343	должно быть	8	2
344	его как	2	2
345	если она	11	2
346	но совершенно	4	2
347	этом и	2	2
348	и даже	12	2
349	мы можем	4	2
350	друг с	2	2
351	как не	2	2
352	д и	11	2
353	этом отношении	2	2
354	не является	3	2
355	он есть	2	2
356	ее с	5	2
357	с этой	6	2
358	же но	2	2
359	совершенно не	11	2
360	от одного	2	2
361	быть только	6	2
362	нас в	3	2
363	они как	2	2
364	что есть	8	2
365	в жизни	5	2
366	ни с	8	2
367	и так	2	2
368	говорить что	4	2
369	не случайно	2	2
370	в чем	10	2
371	что такое	20	2
372	если это	4	2
373	или иную	3	2
374	не значит	11	2
375	чтобы она	3	2
376	и если	5	2
377	оно не	6	2
378	быть не	5	2
379	о них	4	2
380	это так	4	2
381	но на	2	2
382	но что	9	2
383	если он	3	2
384	другие виды	2	2
385	по себе	22	2
386	равно как	4	2
387	раз и	2	2
388	чтобы быть	3	2
389	к другому	3	2
390	от нее	2	2
391	из этого	3	2
392	что эта	2	2
393	говорить о	9	2
394	но еще	3	2
395	у него	3	2
396	только одно	2	2
397	но оно	3	2
398	но эта	2	2
399	о которой	3	2
400	моментов в	2	2
401	однако не	4	2
402	части и	2	2
