N	2gram	Tiupa_Narr	Formalny
213	могло бы	3	5
214	не можем	2	5
215	в виду	2	5
216	а как	2	5
217	отличие от	6	5
218	от этих	3	5
219	одной из	2	5
220	в него	2	5
221	одного из	6	5
222	в отличие	6	5
223	не могла	2	5
224	что не	2	5
225	и по	3	5
226	можно сказать	11	5
227	хотя и	8	5
228	да и	5	5
229	и то	3	5
230	если в	2	5
231	то в	4	5
232	не столько	2	5
233	то и	3	5
234	в мире	8	5
235	по аналогии	2	5
236	его как	2	5
237	а о	2	5
238	мы можем	2	5
239	с этой	3	5
240	для нас	2	5
241	к нему	5	5
242	не имеет	3	5
243	в котором	3	5
244	слова в	4	5
245	приводит к	2	5
246	еще в	4	5
247	тому как	4	5
248	же в	6	5
249	как на	2	5
250	в нашем	4	5
251	однако не	2	5
252	и притом	3	4
253	или даже	3	4
254	а на	2	4
255	и сами	2	4
256	одним из	2	4
257	как он	3	4
258	но именно	3	4
259	героя в	6	4
260	в романе	3	4
261	не являются	2	4
262	о нем	5	4
263	идет о	3	4
264	между двумя	6	4
265	того же	2	4
266	не будет	2	4
267	или в	7	4
268	и тогда	2	4
269	в литературном	2	4
270	имеет место	4	4
271	глава вторая	2	4
272	одна из	5	4
273	он является	4	4
274	но при	5	4
275	а к	3	4
276	однако и	5	4
277	к ней	3	4
278	тем не	7	4
279	не утрачивая	2	4
280	на него	4	4
281	едва ли	5	4
282	превращается в	2	4
283	та же	2	4
284	в таком	4	4
285	и о	4	4
286	на протяжении	12	4
287	не к	4	4
288	подобно тому	4	4
289	один и	2	4
290	глава первая	2	4
291	зависит от	3	4
292	установкой на	2	4
293	или иначе	2	4
294	значения и	2	4
295	к другому	2	4
296	чем он	3	4
297	мы и	2	4
298	в нее	2	3
299	перед нами	9	3
300	каждый из	3	3
301	или иной	6	3
302	бытия в	2	3
303	том как	3	3
304	для нее	2	3
305	внутренней речи	3	3
306	начала и	5	3
307	не всегда	4	3
308	в году	2	3
309	вступает в	2	3
310	в современной	4	3
311	и иных	3	3
312	связано с	2	3
313	со всеми	3	3
314	но как	3	3
315	она была	2	3
316	состоит в	19	3
317	точка зрения	5	3
318	что на	4	3
319	кругозора и	3	3
320	ни одного	2	3
321	и через	2	3
322	перехода от	2	3
323	к своему	2	3
324	в качестве	27	3
325	никак не	5	3
326	в сознании	6	3
327	тем более	2	3
328	дело в	2	3
329	и читатель	3	3
330	это было	3	3
331	в данной	2	3
332	дело с	4	3
333	не сводится	8	3
334	во второй	2	3
335	но уже	2	3
336	каждого из	2	3
337	мира в	4	3
338	художественного целого	2	3
339	сознания в	3	3
340	в чем	3	3
341	с установкой	2	3
342	в форме	7	3
343	в пределе	2	3
344	на нее	2	3
345	на то	4	3
346	сознания и	2	3
347	в самую	2	3
348	сливаются в	2	3
349	в одном	5	3
350	а именно	2	3
351	чтобы стать	2	3
352	со своей	3	3
353	внимание на	7	3
354	можно назвать	2	3
355	не просто	2	3
356	в противовес	3	3
357	же самое	3	3
358	не происходит	3	3
359	но они	4	3
360	но он	2	3
361	человека в	2	2
362	во времени	9	2
363	и сама	2	2
364	о чем	6	2
365	в другом	5	2
366	именно эта	2	2
367	и внутреннего	3	2
368	если она	3	2
369	с нею	2	2
370	другого человека	2	2
371	в виде	2	2
372	не знает	2	2
373	а с	2	2
374	характер и	3	2
375	к ним	2	2
376	только с	2	2
377	в точке	2	2
378	это уже	3	2
379	высказывания в	3	2
380	только к	3	2
381	гуманитарных науках	2	2
382	ему в	2	2
383	мира и	2	2
384	с читателем	2	2
385	мы имеем	6	2
386	всю свою	2	2
387	случае с	2	2
388	однако в	4	2
389	в следующей	3	2
390	в единство	2	2
391	в силу	5	2
392	тем или	2	2
393	с ними	5	2
394	у тургенева	2	2
395	о ней	5	2
396	не роман	2	2
397	в двух	2	2
398	как для	2	2
399	который в	2	2
400	в первой	3	2
401	жизни а	4	2
402	не объясняет	2	2
403	к миру	2	2
404	также не	2	2
405	происходит и	2	2
406	или не	5	2
407	одно и	2	2
408	и столь	2	2
409	в строгом	3	2
410	можно было	2	2
411	что она	3	2
412	в душе	3	2
413	себя в	4	2
414	жизни мы	2	2
415	дело не	3	2
416	той или	7	2
417	переход от	2	2
418	истории как	2	2
419	как если	2	2
420	и вот	2	2
421	в речи	5	2
422	человека как	2	2
423	с другим	2	2
424	героя и	4	2
425	времени и	9	2
426	как у	6	2
427	действующих лиц	8	2
428	а для	4	2
429	было и	2	2
430	или просто	2	2
431	участие в	2	2
432	все равно	2	2
433	как известно	3	2
434	на этот	2	2
435	то чтобы	2	2
436	далеко не	6	2
437	автора и	2	2
438	особое место	4	2
439	в принципе	6	2
440	жизни но	3	2
441	строго говоря	2	2
442	этих двух	2	2
443	что мы	2	2
444	для других	3	2
445	все что	4	2
446	и того	5	2
447	говорит о	3	2
448	чем это	2	2
449	и событие	3	2
450	события в	3	2
