N	2gram	Bakhtin_KF	Marksizm
318	его жизни	3	2
319	есть его	2	2
320	быть не	2	2
321	есть лишь	5	2
322	во всем	7	2
323	переживания как	2	2
324	поскольку он	3	2
325	лишь постольку	2	2
326	оно не	2	2
327	этом смысле	3	2
328	мысль и	2	2
329	она могла	2	2
330	действительно ли	2	2
331	жизни но	3	2
332	и весь	4	2
333	контекста в	2	2
334	не значит	6	2
335	и именно	2	2
