N	2gram	Voloshinov	RusskieA
298	мы видим	2	2
299	себя и	2	2
300	иные формы	2	2
301	этой связи	4	2
302	в дальнейшем	3	2
303	в двух	4	2
304	можно сказать	4	2
305	значение в	5	2
306	для него	18	2
307	относится к	4	2
308	с его	6	2
309	сказать что	7	2
310	он не	5	2
311	нет в	2	2
312	о происхождении	2	2
313	другой стороны	7	2
314	и он	4	2
315	как оно	2	2
316	в начале	7	2
317	тем более	3	2
318	в каждом	8	2
319	должно быть	4	2
320	его как	2	2
321	в новое	2	2
322	и даже	4	2
323	мы можем	6	2
324	друг с	2	2
325	целый ряд	3	2
326	общего с	3	2
327	этом отношении	4	2
328	не является	11	2
329	с этой	2	2
330	совершенно не	6	2
331	от одного	5	2
332	в пределах	7	2
333	не могло	3	2
334	в жизни	2	2
335	и так	2	2
336	и является	4	2
337	за пределами	2	2
338	в чем	2	2
339	что такое	3	2
340	уже знаем	2	2
341	не значит	2	2
342	и если	2	2
343	быть не	2	2
344	это так	2	2
345	из всего	3	2
346	но что	2	2
347	если он	2	2
348	по себе	5	2
349	и действительно	4	2
350	это значение	2	2
351	к другому	7	2
352	от нее	2	2
353	значения и	4	2
354	из этого	2	2
355	в противном	2	2
356	говорить о	2	2
357	и особенно	2	2
358	у него	2	2
359	друг другу	2	2
360	в нашем	4	2
361	направления в	5	2
362	все в	2	2
363	однако не	3	2
364	из одного	4	2
