N	2gram	Losev_Prob	slovoVRo
466	совершенно не	7	2
467	а именно	16	2
468	без всякой	7	2
469	нет никакой	3	2
470	самого же	2	2
471	действующих лиц	2	2
472	мы можем	8	2
473	не можем	2	2
474	заключается в	2	2
475	чтобы понять	3	2
476	нет и	5	2
477	на то	12	2
478	можно говорить	3	2
479	от всех	2	2
480	это отношение	3	2
481	что для	4	2
482	мы увидим	3	2
483	других случаях	2	2
484	в котором	5	2
485	в своих	3	2
486	в последние	3	2
487	и свою	2	2
488	или иначе	7	2
489	которые являются	3	2
490	момент в	2	2
491	на язык	2	2
492	несмотря на	6	2
493	не для	3	2
494	ближе к	2	2
495	эти элементы	3	2
496	или иное	2	2
497	его именно	3	2
498	то время	2	2
499	не обязательно	3	2
500	и особенно	4	2
501	но их	2	2
502	не просто	30	2
503	он есть	5	2
504	только о	8	2
505	и только	7	2
506	друг другу	2	2
507	в нашем	3	2
508	и литературы	2	2
509	не значит	4	2
510	слова то	3	2
511	однако не	3	2
512	этих случаях	4	2
513	мы и	8	2
514	а следовательно	2	2
