N	2gram	Nazirov_Tv	DiskursI
185	и др	2	4
186	как это	2	4
187	и это	2	4
188	более того	2	4
189	только на	2	4
190	на его	4	4
191	что не	5	4
192	в году	22	4
193	к жизни	4	4
194	античной трагедии	2	4
195	и до	2	4
196	по выражению	2	4
197	что они	3	4
198	в первом	3	4
199	во всяком	2	4
200	в наше	4	4
201	это в	3	4
202	по преимуществу	4	4
203	по мере	2	4
204	тем не	2	4
205	я не	5	4
206	наше время	4	4
207	связи с	2	4
208	одним из	6	4
209	традиции в	2	4
210	в жизни	3	4
211	восходит к	2	4
212	но уже	2	4
213	в самом	6	4
214	сути дела	5	4
215	не есть	2	4
216	а по	3	4
217	со своим	2	4
218	зависит от	4	4
219	по себе	2	4
220	говорит о	3	4
221	точка зрения	2	4
222	или в	2	4
223	и есть	2	4
224	с ним	4	4
225	и притом	2	3
226	для человека	3	3
227	указывает на	2	3
228	вплоть до	2	3
229	там же	11	3
230	ли не	3	3
231	литературной традиции	5	3
232	к которому	3	3
233	фабулы и	2	3
234	это и	4	3
235	в одно	2	3
236	в момент	5	3
237	у пушкина	5	3
238	стремится к	3	3
239	о котором	2	3
240	она не	2	3
241	на том	2	3
242	он говорит	3	3
243	об этом	4	3
244	в романе	24	3
245	что на	3	3
246	на себя	2	3
247	между собой	2	3
248	и он	4	3
249	в сферу	2	3
250	живет в	3	3
251	все эти	3	3
252	было бы	2	3
253	мы не	3	3
254	дело не	3	3
255	более не	4	3
256	в литературу	2	3
257	к миру	2	3
258	событий и	2	3
259	и от	8	3
260	с этим	2	3
261	в начале	2	3
262	его как	2	3
263	особенно в	3	3
264	хотя бы	5	3
265	в которой	5	3
266	к ней	3	3
267	и по	5	3
268	и наконец	3	3
269	как у	3	3
270	на смену	2	3
271	и вследствие	2	3
272	образ человека	2	3
273	и приводит	2	3
274	и более	2	3
275	не имеет	2	3
276	не случайно	6	3
277	когда он	4	3
278	это прежде	3	3
279	личности в	3	3
280	уже в	5	3
281	всяком случае	2	3
282	жизни и	3	3
283	или даже	2	3
284	место в	6	3
285	и сам	5	3
286	жизни но	2	3
287	и что	2	3
288	жизни не	2	3
289	опираясь на	3	3
290	и без	2	3
291	вместе с	4	3
292	в книге	3	2
293	в записках	7	2
294	к одному	2	2
295	его к	2	2
296	не имеют	4	2
297	как было	2	2
298	вслед за	2	2
299	в каждом	4	2
300	как к	2	2
301	едва ли	2	2
302	мышления и	2	2
303	друг друга	2	2
304	есть не	2	2
305	сами по	2	2
306	бахтина о	2	2
307	он всегда	2	2
308	в любви	3	2
309	в современной	2	2
310	в основном	9	2
311	во времени	3	2
312	самом деле	4	2
313	решающую роль	2	2
314	в чем	4	2
315	в россии	5	2
316	так например	3	2
317	в душе	4	2
318	развития в	2	2
319	в него	2	2
320	только через	2	2
321	но вполне	2	2
322	от ее	2	2
323	только с	3	2
324	с самого	3	2
325	во главе	2	2
326	жизнь в	2	2
327	свидетельствует о	2	2
328	преступления и	6	2
329	самим собой	4	2
330	говорит об	2	2
331	характер в	2	2
332	как некий	2	2
333	не то	2	2
334	же не	2	2
335	самого начала	3	2
336	что с	2	2
337	писателя в	2	2
338	все это	14	2
339	который в	4	2
340	же как	3	2
341	в честь	2	2
342	главного героя	3	2
343	вовсе не	5	2
344	на ранних	2	2
345	но зато	3	2
346	представление о	9	2
347	это еще	2	2
348	некоторые из	2	2
349	не могли	2	2
350	в стихах	2	2
351	х годов	3	2
352	время в	3	2
353	в первой	4	2
354	что она	5	2
355	человек как	3	2
356	не нужно	2	2
357	мысли и	5	2
358	говорили о	2	2
359	на него	2	2
360	на деле	3	2
361	если бы	4	2
362	герой в	3	2
363	см главу	2	2
364	автора в	2	2
365	что как	2	2
366	неотделима от	2	2
367	в xix	3	2
368	чем у	2	2
369	и их	2	2
370	с этой	4	2
371	героев и	4	2
372	такой же	4	2
373	отказаться от	4	2
374	не по	3	2
375	отношении к	2	2
376	х гг	2	2
377	не был	4	2
378	и должно	2	2
379	на этот	3	2
380	у него	11	2
381	человека с	2	2
382	значение в	2	2
383	ее в	3	2
384	со своими	2	2
385	еще более	3	2
386	событий в	2	2
387	и с	9	2
388	личности и	2	2
389	романа и	4	2
390	всякий раз	2	2
391	в настоящем	2	2
392	в литературной	2	2
393	может не	2	2
394	он сам	8	2
395	до уровня	2	2
396	бахтин в	2	2
397	и только	2	2
398	лирическим героем	2	2
399	натуральной школы	2	2
400	а как	2	2
401	он ни	3	2
