N	2gram	Savitsky_E	Analitik
188	ведь и	2	3
189	с тем	3	3
190	нам кажется	7	3
191	она не	2	3
192	мира и	3	3
193	в ней	4	3
194	не говоря	2	3
195	между собой	2	3
196	только к	2	3
197	что все	2	3
198	заключается в	2	3
199	бы то	4	3
200	независимо от	4	3
201	какой бы	2	3
202	так как	7	3
203	можно было	3	3
204	дело в	3	3
205	бы ни	3	3
206	и наконец	2	3
207	с этой	6	3
208	себе не	3	3
209	в какой	2	3
210	на этот	2	3
211	при условии	2	3
212	а тем	2	3
213	также и	7	3
214	на то	6	3
215	когда он	3	3
216	поскольку он	2	3
217	и с	2	3
218	тогда когда	2	3
219	мог бы	2	3
220	ко всему	2	3
221	жизни и	2	3
222	он сам	2	3
223	по нашему	3	3
224	как на	3	3
225	только одно	2	3
226	не к	2	3
227	но с	2	3
228	все более	9	2
229	в большинстве	2	2
230	начиная с	2	2
231	мира не	2	2
232	при помощи	2	2
233	так же	9	2
234	для нас	4	2
235	в процессе	4	2
236	как было	3	2
237	долгое время	2	2
238	и таким	2	2
239	и прежде	3	2
240	имеет в	2	2
241	на всем	4	2
242	одном из	2	2
243	в стране	2	2
244	от них	3	2
245	иными словами	4	2
246	на месте	2	2
247	в прошлом	3	2
248	с другом	3	2
249	культуры в	4	2
250	этой точки	5	2
251	между прочим	7	2
252	тому или	2	2
253	и ту	2	2
254	ни столь	2	2
255	там где	3	2
256	говоря уже	2	2
257	как совокупность	4	2
258	в применении	3	2
259	во всей	2	2
260	уже и	3	2
261	мы видим	2	2
262	что это	2	2
263	совершенно очевидно	2	2
264	т е	9	2
265	во многих	4	2
266	утверждать что	2	2
267	время в	3	2
268	думать что	8	2
269	мы можем	3	2
270	и та	2	2
271	или иному	2	2
272	применении к	3	2
273	в течение	5	2
274	не означает	2	2
275	но если	5	2
276	случаях когда	2	2
277	в рассуждении	2	2
278	друг с	3	2
279	культуры и	2	2
280	всех прочих	2	2
281	не имеет	4	2
282	вообще не	3	2
283	частности в	2	2
284	констатировать что	2	2
285	к ним	3	2
286	еще более	2	2
287	этот вопрос	2	2
288	не можем	2	2
289	и только	3	2
