N	2gram	Propp_Morf	VeschiIm
197	в виде	3	3
198	в частности	2	3
199	если он	2	3
200	а с	2	3
201	по существу	13	3
202	к нему	3	3
203	но оно	2	3
204	к тому	5	3
205	одной стороны	2	3
206	другой стороны	5	3
207	в целом	5	3
208	тогда как	2	3
209	то с	3	3
210	все еще	3	3
211	из его	2	3
212	мы получим	2	3
213	не все	6	3
214	могла бы	4	3
215	к другой	2	3
216	в собственном	3	3
217	же оно	2	3
218	только что	3	3
219	превращается в	2	3
220	для того	3	3
221	или ее	2	3
222	как в	5	3
223	ни к	2	3
224	с одной	2	3
225	или другой	2	3
226	случае не	4	3
227	но все	4	3
228	у него	2	3
229	не имеет	2	3
230	в своих	2	3
231	оно может	4	3
232	же они	2	3
233	из которых	5	3
234	к другому	2	3
235	однако в	2	3
236	другой вопрос	2	3
237	или в	6	3
238	вопрос как	3	3
239	мы будем	3	3
240	мы уже	4	3
241	данном случае	2	2
242	и заставляет	2	2
243	тому что	5	2
244	живой и	2	2
245	наряду с	7	2
246	является в	2	2
247	и таким	2	2
248	в свое	2	2
249	на вопрос	2	2
250	в руки	4	2
251	и дает	2	2
252	что о	2	2
253	не так	2	2
254	совсем не	3	2
255	но эти	3	2
256	видим что	12	2
257	это уже	3	2
258	или по	2	2
259	ту же	2	2
260	а потому	2	2
261	всяком случае	2	2
262	а а	2	2
263	получает в	4	2
264	и вне	3	2
265	между собой	5	2
266	а затем	10	2
267	знать что	2	2
268	и этот	2	2
269	связи с	12	2
270	в связи	10	2
271	не на	2	2
272	в первом	5	2
273	что эти	3	2
274	в одну	2	2
275	самого себя	2	2
276	если они	2	2
277	первом случае	3	2
278	а также	7	2
279	в россии	2	2
280	утверждать что	3	2
281	что эта	2	2
282	здесь не	3	2
283	в начале	3	2
284	сразу и	2	2
285	к этому	4	2
286	это было	3	2
287	в данной	2	2
288	же она	3	2
289	этом отношении	2	2
290	и другие	6	2
291	в в	2	2
292	но они	2	2
293	не хватает	4	2
294	в научной	2	2
295	далеко не	5	2
296	и к	4	2
297	но для	3	2
298	приводит к	3	2
299	к чему	3	2
300	для нас	2	2
301	это можно	2	2
302	с собой	3	2
303	исходят из	2	2
304	как будто	2	2
305	но с	2	2
306	во втором	7	2
307	учение о	5	2
308	с его	3	2
309	тем же	2	2
