N	2gram	Losev_Prob	EvropaiC
195	в данном	14	3
196	а в	9	3
197	бы то	5	3
198	не вполне	3	3
199	в нем	13	3
200	указывают на	2	3
201	в ней	12	3
202	что оно	4	3
203	не то	2	3
204	для нас	23	3
205	же не	2	3
206	по одному	2	3
207	было бы	14	3
208	и по	3	3
209	и может	4	3
210	на нас	2	3
211	ничего общего	7	3
212	в истории	4	3
213	во всем	2	3
214	если же	4	3
215	от тех	3	3
216	в нашем	13	3
217	же как	5	3
218	заключается в	8	3
219	уже и	2	3
220	как мы	12	3
221	мы будем	3	3
222	чем в	2	3
223	образом и	2	2
224	для самого	2	2
225	все дело	2	2
226	мы все	5	2
227	другими словами	9	2
228	с которыми	2	2
229	нет в	2	2
230	очень мало	2	2
231	то в	4	2
232	то и	9	2
233	независимо от	4	2
234	представляет собою	2	2
235	только то	4	2
236	в процессе	2	2
237	но как	6	2
238	а к	2	2
239	что под	2	2
240	и ее	7	2
241	есть только	5	2
242	не очень	4	2
243	то время	6	2
244	и поэтому	3	2
245	что она	5	2
246	при таком	2	2
247	то есть	63	2
248	в другом	4	2
249	а это	6	2
250	но если	12	2
251	на него	3	2
252	для себя	6	2
253	друг друга	5	2
254	которые уже	2	2
255	однако это	6	2
256	зависимости от	3	2
257	входящих в	2	2
258	не будут	2	2
259	на первый	6	2
260	в виду	20	2
261	не было	6	2
262	в частности	4	2
263	а будет	2	2
264	что они	8	2
265	от себя	2	2
266	одной и	2	2
267	том виде	4	2
268	же касается	5	2
269	никто не	5	2
270	в одно	4	2
271	всех других	2	2
272	однако мы	2	2
273	и будет	2	2
274	не стоит	2	2
275	рассматривать как	2	2
276	для него	4	2
277	только тогда	2	2
278	мы видели	2	2
279	именно потому	3	2
280	есть в	6	2
281	ни для	2	2
282	не имеет	12	2
283	общего с	3	2
284	также и	22	2
285	что у	3	2
286	тому что	5	2
287	к нему	3	2
288	она не	3	2
289	в ту	2	2
290	на том	3	2
291	в самой	4	2
292	гораздо более	6	2
293	в котором	3	2
294	их в	2	2
295	на себе	5	2
296	только при	10	2
297	и там	2	2
298	в своих	2	2
299	будет иметь	2	2
300	этот вопрос	3	2
301	что на	2	2
302	в которых	3	2
303	одной стороны	2	2
304	но для	3	2
305	но на	2	2
306	между прочим	4	2
307	исторического развития	2	2
308	отнюдь не	16	2
309	него с	2	2
310	в них	6	2
311	только не	6	2
312	представить себе	5	2
313	можно ли	8	2
314	что же	9	2
315	так чтобы	2	2
316	всяком случае	8	2
317	виде как	4	2
318	жизни и	7	2
319	с ними	2	2
320	от нее	2	2
321	во всяком	14	2
322	на более	2	2
323	во внимание	2	2
324	из него	2	2
325	говорить о	7	2
326	и особенно	3	2
327	и его	12	2
328	и только	10	2
329	с ее	5	2
330	и сам	6	2
331	во всей	3	2
332	заметим что	2	2
333	и весь	2	2
334	и более	6	2
335	этого слова	5	2
336	пришлось бы	2	2
337	о которой	2	2
338	но с	2	2
339	широком смысле	2	2
340	той же	2	2
341	все в	4	2
342	для всякого	2	2
343	вовсе не	62	2
344	мы и	5	2
345	в основе	3	2
346	тем же	2	2
347	при условии	4	2
348	и состоит	2	2
349	многих других	2	2
