N	2gram	Losev_Vesc	DiskursI
132	ничего не	12	5
133	к себе	4	5
134	в другом	3	5
135	в виду	2	5
136	в их	4	5
137	свою очередь	5	5
138	и потому	8	5
139	того что	16	5
140	стороны и	2	5
141	во втором	2	5
142	несмотря на	6	5
143	общения с	25	5
144	один из	5	5
145	не предполагает	4	5
146	было в	3	5
147	как будто	2	5
148	сказать что	21	5
149	но она	3	5
150	не обязательно	2	5
151	с ее	10	5
152	переход от	2	5
153	я и	8	5
154	себе не	3	5
155	но они	2	5
156	в свою	5	5
157	подобно тому	5	5
158	можно говорить	2	5
159	оно не	6	5
160	на этом	4	5
161	не вполне	2	5
162	в той	6	5
163	как раз	16	5
164	говорить о	9	5
165	не к	3	5
166	в ней	14	5
167	тем что	7	5
168	не о	2	4
169	свое время	2	4
170	из того	3	4
171	для меня	3	4
172	общения и	2	4
173	однако это	3	4
174	и прежде	2	4
175	и тем	7	4
176	у них	2	4
177	может и	3	4
178	в свое	2	4
179	неотделимо от	2	4
180	как это	4	4
181	и это	17	4
182	только на	3	4
183	в полной	2	4
184	его на	4	4
185	чего не	2	4
186	что не	11	4
187	и до	6	4
188	и во	3	4
189	того и	2	4
190	что они	12	4
191	в первом	2	4
192	должны быть	6	4
193	во всяком	4	4
194	принципиально не	3	4
195	мы имеем	8	4
196	с ней	2	4
197	в результате	9	4
198	по преимуществу	2	4
199	отличается от	8	4
200	в данной	2	4
201	тем не	11	4
202	я не	7	4
203	есть в	4	4
204	в жизни	5	4
205	но уже	3	4
206	в самом	13	4
207	не есть	79	4
208	со своим	8	4
209	по себе	22	4
210	к другому	3	4
211	говорит о	3	4
212	точка зрения	5	4
213	или в	3	4
214	и само	3	4
215	и есть	40	4
216	с ним	8	4
217	еще и	11	3
218	вопрос о	6	3
219	и притом	4	3
220	указывает на	8	3
221	различие между	3	3
222	это и	12	3
223	здесь как	2	3
224	в одно	2	3
225	в действительности	7	3
226	но оно	3	3
227	то она	2	3
228	себя с	5	3
229	мере в	2	3
230	но как	3	3
231	о котором	2	3
232	бытия в	2	3
233	она не	9	3
234	он говорит	2	3
235	более или	4	3
236	об этом	5	3
237	своей собственной	2	3
238	что на	2	3
239	на себя	5	3
240	существенно для	3	3
241	между собой	2	3
242	в сферу	2	3
243	для этого	5	3
244	все эти	5	3
245	о ней	5	3
246	было бы	24	3
247	мы не	8	3
248	дело не	4	3
249	должна быть	8	3
250	как мы	6	3
251	да и	5	3
252	одно и	6	3
253	содержит в	11	3
254	и от	4	3
255	или не	7	3
256	тут же	4	3
257	с этим	4	3
258	его как	2	3
259	хотя бы	9	3
260	в которой	5	3
261	к ней	4	3
262	не просто	23	3
263	как не	2	3
264	чем не	2	3
265	при всем	2	3
266	заключается в	3	3
267	и более	4	3
268	или менее	4	3
269	но все	3	3
270	отношения к	3	3
271	не имеет	2	3
272	не случайно	2	3
273	является в	2	3
274	их в	6	3
275	этом в	2	3
276	когда он	2	3
277	к чему	2	3
278	на почве	6	3
279	уже в	2	3
280	ближе к	2	3
281	всяком случае	2	3
282	жизни и	6	3
283	слова в	2	3
284	то ни	13	3
285	и сам	3	3
286	момент в	6	3
287	слова и	7	3
288	и что	22	3
289	однако не	4	3
290	имеем дело	3	3
291	и без	4	3
292	тем же	2	3
293	вместе с	4	3
294	от его	2	2
295	ему не	3	2
296	в отношении	7	2
297	чтобы не	2	2
298	к одному	3	2
299	будучи в	2	2
300	что является	6	2
301	очевидно что	2	2
302	как можно	5	2
303	ни о	3	2
304	от всего	15	2
305	мы должны	5	2
306	и быть	2	2
307	а потом	3	2
308	вопроса о	3	2
309	или о	3	2
310	все то	2	2
311	как к	5	2
312	есть не	17	2
313	сами по	3	2
314	себе как	2	2
315	быть и	5	2
316	при переходе	3	2
317	бы его	2	2
318	бы я	3	2
319	в науке	3	2
320	и вне	2	2
321	о которых	2	2
322	самом деле	7	2
323	просто как	2	2
324	в чем	10	2
325	по существу	3	2
326	в россии	2	2
327	мы видели	3	2
328	смысл в	2	2
329	со всей	2	2
330	от ее	6	2
331	к нему	3	2
332	только с	3	2
333	себя не	2	2
334	а только	3	2
335	или по	2	2
336	это тоже	2	2
337	было и	2	2
338	свидетельствует о	3	2
339	а потому	2	2
340	к такому	2	2
341	понимания и	3	2
342	на ее	3	2
343	не то	4	2
344	же не	4	2
345	из субъекта	2	2
346	в особом	2	2
347	тем или	2	2
348	она сама	5	2
349	в собственном	3	2
350	себя и	8	2
351	как нечто	3	2
352	все это	7	2
353	и они	2	2
354	же как	3	2
355	на язык	3	2
356	вовсе не	11	2
357	то с	3	2
358	бы то	12	2
359	но зато	2	2
360	он ничего	2	2
361	и вообще	6	2
362	могла бы	3	2
363	том чтобы	2	2
364	утверждать что	2	2
365	с другими	8	2
366	только то	4	2
367	не сможет	2	2
368	же это	5	2
369	необходимо чтобы	7	2
370	тем более	3	2
371	бытия и	6	2
372	в первой	2	2
373	должно быть	8	2
374	всем что	2	2
375	что она	23	2
376	это было	2	2
377	не нужно	3	2
378	мысли и	5	2
379	мы можем	4	2
380	на него	3	2
381	то чтобы	3	2
382	себя самого	4	2
383	если бы	8	2
384	и делает	2	2
385	ни было	12	2
386	для того	3	2
387	и их	11	2
388	с этой	6	2
389	ибо это	2	2
390	понимать как	2	2
391	себе и	2	2
392	отношении к	4	2
393	нас в	3	2
394	не был	2	2
395	в научной	2	2
396	у него	3	2
397	ни с	8	2
398	из наиболее	2	2
399	точке зрения	4	2
400	поэтому в	2	2
401	на то	9	2
402	в самой	3	2
403	еще более	4	2
404	и другой	2	2
405	в и	4	2
406	и с	11	2
407	о них	4	2
408	но для	2	2
409	но на	2	2
410	из которых	3	2
411	в настоящем	5	2
412	не знаем	2	2
413	может не	4	2
414	как таковая	4	2
415	он сам	2	2
416	реальности и	4	2
417	является не	2	2
418	во внутреннем	2	2
419	он есть	2	2
420	только о	2	2
421	и только	11	2
422	во всем	2	2
423	этих двух	2	2
424	на их	2	2
425	как с	7	2
