N	2gram	Losev_Vesc	Tvorches
220	гораздо более	2	3
221	свидетельствует о	3	3
222	и человек	2	3
223	в ней	14	3
224	одного из	2	3
225	на себя	5	3
226	другой стороны	3	3
227	что оно	10	3
228	всяком случае	2	3
229	не то	4	3
230	себя как	3	3
231	совсем не	2	3
232	переходит в	4	3
233	должны быть	6	3
234	и до	6	3
235	в первом	2	3
236	в с	2	3
237	можно сказать	8	3
238	заключается в	3	3
239	как мы	6	3
240	вот почему	3	3
241	но зато	2	3
242	да и	5	3
243	сказать что	21	3
244	то в	4	3
245	сами по	3	3
246	и тогда	7	3
247	и еще	4	3
248	не все	3	3
249	его как	2	3
250	действительности в	3	3
251	к ней	4	3
252	с ее	10	3
253	отличается от	8	3
254	а я	3	3
255	ни на	7	3
256	только что	2	3
257	я и	8	3
258	кроме того	5	3
259	и вот	4	3
260	не является	3	3
261	в философии	8	3
262	для того	3	3
263	и их	11	3
264	во имя	3	3
265	у нас	9	3
266	себе не	3	3
267	не с	8	3
268	в жизни	5	3
269	нет и	4	3
270	но уже	3	3
271	отличен от	2	3
272	в себя	13	3
273	что для	5	3
274	образом и	4	3
275	и если	5	3
276	но на	2	3
277	на этом	4	3
278	не существует	4	3
279	он и	2	3
280	в настоящем	5	3
281	по себе	22	3
282	как она	5	3
283	несмотря на	6	3
284	может не	4	3
285	жизни и	6	3
286	но когда	3	3
287	сводится к	4	3
288	и что	22	3
289	во всяком	4	3
290	или в	3	3
291	и только	11	3
292	в одном	6	3
293	данном случае	2	2
294	в свой	2	2
295	в отношении	7	2
296	к одному	3	2
297	и притом	4	2
298	что ему	3	2
299	говорили что	2	2
300	а что	2	2
301	но как	3	2
302	о чем	2	2
303	не потому	7	2
304	но даже	3	2
305	когда я	5	2
306	в силу	4	2
307	по своей	3	2
308	является в	2	2
309	есть не	17	2
310	должен быть	5	2
311	я должен	4	2
312	и эту	2	2
313	человека по	2	2
314	никуда не	2	2
315	этот тип	3	2
316	свою очередь	5	2
317	в одно	2	2
318	нас не	2	2
319	теперь же	2	2
320	знает что	2	2
321	это я	4	2
322	в руки	2	2
323	смысл и	12	2
324	с тем	8	2
325	да я	2	2
326	может и	3	2
327	тому что	2	2
328	не мешает	4	2
329	она не	9	2
330	другом смысле	2	2
331	ли в	3	2
332	того же	5	2
333	была бы	3	2
334	для определения	2	2
335	точка зрения	5	2
336	и без	4	2
337	общения с	25	2
338	между прочим	4	2
339	и та	2	2
340	то это	5	2
341	между собой	2	2
342	что же	17	2
343	нуждается в	2	2
344	или вернее	2	2
345	не будет	13	2
346	меня не	2	2
347	когда же	2	2
348	у меня	3	2
349	для ее	2	2
350	когда она	4	2
351	того чтобы	4	2
352	было бы	24	2
353	в сущности	7	2
354	в качестве	4	2
355	в действительности	7	2
356	и того	2	2
357	образ и	3	2
358	социальной действительности	4	2
359	есть у	2	2
360	содержит в	11	2
361	самого себя	2	2
362	и вообще	6	2
363	но она	3	2
364	вообще говоря	2	2
365	что если	2	2
366	в данном	6	2
367	не знать	2	2
368	с другими	8	2
369	ли это	9	2
370	только то	4	2
371	же это	5	2
372	и нет	3	2
373	во всех	5	2
374	с самим	4	2
375	не нужно	3	2
376	тем не	11	2
377	переход от	2	2
378	в мысли	5	2
379	д и	11	2
380	но ведь	2	2
381	как о	5	2
382	и со	2	2
383	в результате	9	2
384	и о	4	2
385	указывает на	8	2
386	ни к	3	2
387	отношении к	4	2
388	жизнь и	2	2
389	с одной	3	2
390	не стоит	2	2
391	в сферу	2	2
392	то он	2	2
393	не имеет	2	2
394	от всех	5	2
395	ни в	11	2
396	нет не	2	2
397	и здесь	5	2
398	их в	6	2
399	здравого смысла	2	2
400	все что	3	2
401	я в	3	2
402	в сфере	6	2
403	к его	2	2
404	из себя	6	2
405	но для	2	2
406	ли что	2	2
407	со своим	8	2
408	действительности не	2	2
409	не из	2	2
410	мог бы	7	2
411	только как	2	2
412	из этого	3	2
413	и уже	2	2
414	конце концов	2	2
415	не говорит	3	2
416	бы ни	3	2
417	своей собственной	2	2
418	не просто	23	2
419	и делает	2	2
420	же и	2	2
421	если же	5	2
422	не к	3	2
423	о которой	3	2
424	не значит	11	2
425	как раз	16	2
426	и всякий	3	2
427	мы уже	3	2
428	по самому	3	2
429	ясно что	10	2
