N	2gram	Bakhtin_sl	Vvedenie
180	сама по	2	3
181	зависимости от	4	3
182	в свое	3	3
183	в сущности	18	3
184	языков в	15	3
185	в этих	8	3
186	язык в	9	3
187	только на	3	3
188	в частности	3	3
189	как в	18	3
190	или как	4	3
191	такого рода	2	3
192	свое выражение	3	3
193	не с	5	3
194	мы видели	3	3
195	как такового	3	3
196	стороны и	3	3
197	вообще не	4	3
198	можно говорить	2	3
199	к нему	7	3
200	на том	2	3
201	и на	17	3
202	язык и	17	3
203	того же	7	3
204	именно как	3	3
205	в известной	3	3
206	в ней	7	3
207	входит в	8	3
208	и к	9	3
209	сливается с	6	3
210	на этом	4	3
211	между ними	2	3
212	однако в	3	3
213	большей или	5	3
214	в известном	2	3
215	или меньшей	5	3
216	нуждается в	3	3
217	здесь не	6	3
218	же как	2	3
219	при этом	12	3
220	в зависимости	4	3
221	все эти	15	3
222	быта и	2	3
223	той или	13	3
224	связи с	4	3
225	и есть	2	3
226	и сам	4	3
227	в слове	11	3
228	собственном смысле	2	3
229	и других	5	3
230	того как	2	3
231	чем в	3	3
232	них и	3	2
233	одно и	3	2
234	не исчерпывается	3	2
235	в языке	7	2
236	с которыми	2	2
237	ничего не	5	2
238	следовательно и	4	2
239	как сказано	4	2
240	первом случае	2	2
241	о которых	2	2
242	у нас	2	2
243	и потому	9	2
244	иметь дело	2	2
245	во всех	25	2
246	и до	2	2
247	все время	4	2
248	но как	2	2
249	лежит в	5	2
250	с ней	2	2
251	еще раз	3	2
252	могут не	2	2
253	должно быть	3	2
254	языка а	7	2
255	в прошлом	2	2
256	в форме	3	2
257	что оно	4	2
258	преимущественно в	4	2
259	языка или	3	2
260	и те	3	2
261	единого и	5	2
262	языка на	3	2
263	в связи	2	2
264	том же	4	2
265	а с	2	2
266	свою очередь	3	2
267	у них	2	2
268	слова как	8	2
269	и при	2	2
270	и другие	3	2
271	и со	2	2
272	это может	2	2
273	так и	22	2
274	к своему	11	2
275	отношении к	9	2
276	от других	2	2
277	наших дней	2	2
278	лишь как	3	2
279	и др	17	2
280	смысле в	4	2
281	на котором	3	2
282	на протяжении	3	2
283	к языку	3	2
284	языка как	10	2
285	слове но	4	2
286	значение в	2	2
287	но уже	2	2
288	тому что	2	2
289	языка с	2	2
290	как увидим	2	2
291	на то	2	2
292	языков и	18	2
293	язык но	3	2
294	которые были	2	2
295	в свою	4	2
296	языка не	4	2
297	и с	10	2
298	произведения и	2	2
299	но это	3	2
300	выражение в	4	2
301	а между	2	2
302	своего предмета	5	2
303	от действительности	2	2
304	не столько	4	2
305	от языка	3	2
306	языка но	7	2
307	себя в	14	2
308	несмотря на	2	2
309	для них	2	2
310	жизни и	5	2
311	не было	4	2
312	из него	4	2
313	мы не	4	2
314	только о	2	2
315	что они	2	2
316	как только	4	2
317	именно на	3	2
318	должна быть	3	2
319	случае не	2	2
320	например в	6	2
321	во всем	3	2
322	этого слова	2	2
323	них не	2	2
324	рядом с	7	2
325	по существу	3	2
326	на языке	2	2
327	со словом	4	2
328	мы уже	4	2
329	языка так	3	2
330	с помощью	5	2
331	быть и	6	2
332	этих случаях	2	2
