N	2gram	Bakhtin_fo	Narrotol
98	соответствии с	2	8
99	внимание на	2	8
100	в той	5	8
101	же время	13	8
102	в таком	4	8
103	он не	6	8
104	в свою	2	7
105	это не	8	7
106	встречи с	2	7
107	в конце	11	7
108	в чем	3	7
109	в ней	4	7
110	на себя	2	7
111	в целом	2	7
112	в ее	6	7
113	имеет место	6	7
114	же в	6	7
115	также и	6	7
116	с другой	4	7
117	в котором	8	7
118	и на	13	7
119	или в	3	7
120	в форме	5	7
121	одной стороны	3	6
122	вплоть до	3	6
123	они не	4	6
124	во втором	2	6
125	не могла	2	6
126	на другой	2	6
127	между двумя	6	6
128	что и	5	6
129	например в	7	6
130	сказать что	4	6
131	то в	2	6
132	из этих	5	6
133	здесь не	5	6
134	в результате	6	6
135	героя и	7	6
136	как у	2	6
137	с одной	5	6
138	в нашем	3	6
139	все что	2	6
140	таким образом	14	6
141	том как	2	5
142	в другом	2	5
143	и у	8	5
144	точку зрения	3	5
145	особое место	2	5
146	место в	4	5
147	точка зрения	4	5
148	мира и	6	5
149	человеческой жизни	9	5
150	между собой	5	5
151	не столько	2	5
152	было бы	2	5
153	мы не	4	5
154	и здесь	2	5
155	себе самому	7	5
156	да и	4	5
157	и то	5	5
158	и от	3	5
159	или не	2	5
160	так сказать	14	5
161	в начале	3	5
162	тем более	4	5
163	себя в	2	5
164	с ее	7	5
165	и даже	5	5
166	в центре	2	5
167	для того	12	5
168	вследствие этого	4	5
169	в пределах	8	5
170	его жизни	11	5
171	событие в	2	5
172	за пределами	2	5
173	их в	6	5
174	именно в	5	5
175	человек в	5	5
176	но для	2	5
177	если не	3	5
178	из них	8	5
179	в одном	10	5
180	не было	8	5
181	и того	7	5
182	он сам	2	5
183	и уже	4	5
184	и сам	2	5
185	не о	2	4
186	и ее	4	4
187	роль в	12	4
188	в виду	5	4
189	как он	4	4
190	только на	3	4
191	друг друга	3	4
192	картину мира	5	4
193	в аспекте	2	4
194	не являются	3	4
195	по своему	3	4
196	в них	11	4
197	она не	2	4
198	все его	7	4
199	ему в	3	4
200	так в	2	4
201	что на	3	4
202	о своей	2	4
203	и по	5	4
204	не на	4	4
205	что они	3	4
206	как мы	19	4
207	в основе	9	4
208	быть и	4	4
209	хотя бы	2	4
210	к этому	5	4
211	существенную роль	3	4
212	другой день	2	4
213	это было	2	4
214	к ней	2	4
215	и как	12	4
216	не имеет	5	4
217	человека в	22	4
218	как по	2	4
219	в эпизоде	6	4
220	со всеми	4	4
221	но они	3	4
222	не могло	5	4
223	для себя	8	4
224	раз в	4	4
225	строго говоря	2	4
226	оно не	3	4
227	и с	10	4
228	для нас	2	4
229	по себе	3	4
230	которой он	3	4
231	к жизни	2	4
232	во всяком	5	4
233	в себя	3	4
234	не к	2	4
235	вместе с	9	4
236	еще и	3	3
237	до конца	5	3
238	эпизоды в	2	3
239	и потому	4	3
240	идет о	2	3
241	так же	7	3
242	каждый из	2	3
243	а потом	2	3
244	должен быть	2	3
245	с этой	3	3
246	для других	7	3
247	а как	3	3
248	за ними	3	3
249	на друга	4	3
250	и вот	2	3
251	то они	2	3
252	в романе	40	3
253	не знает	4	3
254	здесь мы	4	3
255	одно из	3	3
256	одной из	3	3
257	к ним	3	3
258	как уже	3	3
259	в него	2	3
260	и это	5	3
261	по природе	2	3
262	своей жизни	6	3
263	самим собой	2	3
264	между ними	5	3
265	жизни на	2	3
266	что не	3	3
267	же как	2	3
268	все эти	12	3
269	той же	2	3
270	связи с	14	3
271	в пространстве	10	3
272	в связи	13	3
273	во время	7	3
274	времени в	14	3
275	и т	21	3
276	особенно в	3	3
277	характер и	8	3
278	в строгом	2	3
279	дело в	3	3
280	только к	3	3
281	в которой	3	3
282	беседы с	2	3
283	природе своей	2	3
284	лишь в	8	3
285	в этих	6	3
286	всех его	2	3
287	было и	4	3
288	началом и	2	3
289	сих пор	4	3
290	друг на	4	3
291	со своей	3	3
292	жизни не	3	3
293	входит в	3	3
294	жизни как	2	3
295	что мы	2	3
296	как она	3	3
297	с точки	9	3
298	не обязательно	2	3
299	что было	6	3
300	и только	3	3
301	как на	2	3
302	же самое	2	3
303	на фоне	3	3
304	жизни но	7	3
305	к своей	2	3
306	наряду с	7	3
307	тем же	3	3
308	но он	4	3
309	до сих	4	3
310	в каком	2	2
311	могло быть	5	2
312	в которых	4	2
313	мира по	2	2
314	в это	5	2
315	даже не	2	2
316	наконец в	2	2
317	принадлежит не	2	2
318	собственной жизни	2	2
319	напротив они	2	2
320	мыслится как	2	2
321	в их	9	2
322	как можно	3	2
323	к своему	2	2
324	после этого	2	2
325	так что	4	2
326	т п	18	2
327	людей и	2	2
328	утверждает что	2	2
329	и пространства	4	2
330	нем не	3	2
331	внутренняя жизнь	2	2
332	жизнь в	2	2
333	в более	2	2
334	те же	5	2
335	своей собственной	3	2
336	не входит	2	2
337	могут быть	7	2
338	бы она	2	2
339	жизни это	2	2
340	в процессе	4	2
341	с нею	2	2
342	для них	3	2
343	с настоящим	2	2
344	можно назвать	2	2
345	и во	13	2
346	было в	2	2
347	в сущности	5	2
348	никто не	2	2
349	принадлежит к	4	2
350	и иные	2	2
351	вовсе не	20	2
352	жизни с	2	2
353	одно и	4	2
354	хода жизни	2	2
355	не столь	2	2
356	и вообще	3	2
357	все то	2	2
358	но все	6	2
359	время в	7	2
360	по аналогии	2	2
361	бытия и	2	2
362	и еще	3	2
363	нас в	3	2
364	должно быть	6	2
365	в данной	2	2
366	в этот	5	2
367	мы можем	2	2
368	целый ряд	2	2
369	на первый	2	2
370	как если	2	2
371	слова и	4	2
372	все это	10	2
373	тем что	4	2
374	та же	4	2
375	в особенности	15	2
376	жизни то	2	2
377	и наконец	6	2
378	одного и	6	2
379	и есть	3	2
380	опирается на	2	2
381	его и	2	2
382	в течение	2	2
383	себе и	4	2
384	быть только	4	2
385	во всех	13	2
386	и более	3	2
387	отношение к	5	2
388	сами по	2	2
389	есть в	3	2
390	ни с	3	2
391	и является	2	2
392	всей его	2	2
393	автора и	4	2
394	мир и	2	2
395	с такою	3	2
396	в мировой	2	2
397	того же	9	2
398	во многом	2	2
399	это то	2	2
400	вступает в	2	2
401	и стал	2	2
402	новое и	5	2
403	раз и	3	2
404	не для	3	2
405	еще более	7	2
406	времени но	2	2
407	в других	9	2
408	к другому	2	2
409	с собой	2	2
410	в присутствии	4	2
411	места для	2	2
412	человек и	2	2
413	дело здесь	2	2
414	совершенно иной	3	2
415	это время	8	2
416	не оставляет	6	2
417	однако не	2	2
418	мы будем	5	2
419	мы и	4	2
420	с помощью	5	2
421	ясно что	2	2
