N	2gram	Potebnia_M	slovoVRo
126	всяком случае	3	8
127	на мир	2	8
128	перед нами	3	7
129	том что	28	7
130	от него	2	7
131	о слове	2	7
132	друг друга	6	7
133	его не	2	7
134	слова от	3	7
135	того же	5	7
136	сливается с	2	7
137	в целом	5	7
138	связи с	6	7
139	например в	9	7
140	у него	3	7
141	слово и	4	7
142	значительной степени	2	7
143	за пределы	2	7
144	но все	2	7
145	с которым	3	7
146	жизни и	3	7
147	не было	12	7
148	в таком	6	7
149	же и	3	7
150	во всем	2	7
151	мы уже	5	7
152	даже в	3	6
153	слово не	6	6
154	и слова	4	6
155	и язык	2	6
156	единство и	2	6
157	бы и	4	6
158	что в	30	6
159	ни в	2	6
160	вне себя	3	6
161	можно сказать	4	6
162	другой стороны	4	6
163	говорить о	6	6
164	и здесь	3	6
165	хотя бы	3	6
166	именно в	5	6
167	в свою	6	6
168	себя и	4	6
169	по себе	26	6
170	в одном	4	6
171	между тем	19	6
172	слова не	2	5
173	в каждом	6	5
174	не как	3	5
175	а как	2	5
176	только на	4	5
177	слова с	4	5
178	не знает	4	5
179	стремится к	3	5
180	не менее	9	5
181	в поэзии	4	5
182	и проч	25	5
183	но оно	6	5
184	отношению к	10	5
185	мы не	17	5
186	и по	5	5
187	в других	3	5
188	хотя и	3	5
189	в данном	3	5
190	и при	5	5
191	по отношению	12	5
192	и может	4	5
193	этом отношении	2	5
194	для того	8	5
195	должна быть	2	5
196	и более	4	5
197	не с	4	5
198	о том	7	5
199	к его	2	5
200	той же	6	5
201	уже в	10	5
202	но он	3	5
203	со словом	6	5
204	вместе с	22	5
205	в свой	2	4
206	следовательно и	2	4
207	в различных	2	4
208	на предмет	2	4
209	так же	6	4
210	его на	3	4
211	но как	2	4
212	образом в	4	4
213	что и	16	4
214	что он	8	4
215	он должен	2	4
216	том же	2	4
217	не всегда	5	4
218	здесь как	3	4
219	свою очередь	6	4
220	в виде	3	4
221	говорящего и	3	4
222	влияние на	3	4
223	связано с	2	4
224	того что	24	4
225	мы видели	5	4
226	как предмет	2	4
227	языке и	4	4
228	до сих	4	4
229	слово может	7	4
230	все его	2	4
231	те же	6	4
232	так в	4	4
233	в чем	6	4
234	сознание и	5	4
235	что оно	12	4
236	тогда когда	20	4
237	не столько	2	4
238	с языком	3	4
239	не были	4	4
240	того чтобы	5	4
241	поэзии и	8	4
242	несколько слов	2	4
243	одним словом	3	4
244	из одного	3	4
245	это слово	6	4
246	одно и	7	4
247	своем языке	2	4
248	одной из	3	4
249	но это	9	4
250	бы ни	6	4
251	его как	3	4
252	всех сторон	3	4
253	в которой	9	4
254	и слово	6	4
255	и как	8	4
256	если бы	20	4
257	языка с	2	4
258	с этой	2	4
259	смысле в	3	4
260	и о	6	4
261	в известной	3	4
262	сих пор	4	4
263	быть только	5	4
264	формы и	2	4
265	к тому	9	4
266	от его	2	4
267	эти слова	2	4
268	зрения и	2	4
269	которая не	2	4
270	он может	2	4
271	в другой	3	4
272	и другим	2	4
273	из них	11	4
274	художественный образ	2	4
275	влияния на	2	4
276	из него	4	4
277	все свои	2	4
278	лишь тогда	5	4
279	именно на	2	4
280	отношения к	2	4
281	в большей	3	4
282	в системе	2	4
283	данном случае	3	3
284	в нее	5	3
285	время и	2	3
286	вносит в	2	3
287	еще раз	2	3
288	такая же	2	3
289	в новом	2	3
290	но эта	3	3
291	в одно	8	3
292	в свое	2	3
293	от нас	4	3
294	людей и	2	3
295	в такой	2	3
296	в разных	4	3
297	на котором	4	3
298	со всех	3	3
299	тому что	6	3
300	в более	4	3
301	его с	3	3
302	и без	9	3
303	к слову	3	3
304	человеке и	2	3
305	на все	3	3
306	и до	2	3
307	было бы	16	3
308	из многих	3	3
309	того и	2	3
310	в первом	5	3
311	этого слова	14	3
312	входят в	3	3
313	как слово	4	3
314	внутреннюю форму	8	3
315	и то	13	3
316	и вообще	4	3
317	к этому	3	3
318	в сознании	36	3
319	из этих	10	3
320	как оно	2	3
321	ближайшим образом	3	3
322	в собственном	3	3
323	с каким	3	3
324	от этого	2	3
325	не все	5	3
326	должно быть	9	3
327	это было	3	3
328	собственном смысле	2	3
329	на него	3	3
330	сама по	3	3
331	но уже	2	3
332	и самое	3	3
333	тем что	13	3
334	остаются в	2	3
335	нас в	3	3
336	не могло	3	3
337	или на	2	3
338	не есть	24	3
339	в этой	3	3
340	предмета и	2	3
341	или наоборот	2	3
342	потому что	82	3
343	все что	4	3
344	целый ряд	2	3
345	если мы	2	3
346	и это	6	3
347	из себя	3	3
348	в эту	4	3
349	с таким	3	3
350	не знаем	5	3
351	с одним	3	3
352	самого предмета	2	3
353	и следует	2	3
354	в форме	2	3
355	и тем	8	3
356	без всякого	2	3
357	же слово	2	3
358	тем и	5	3
359	чем в	2	3
360	слове как	2	3
361	пор не	2	2
362	на самом	4	2
363	ему не	2	2
364	в таких	4	2
365	ни о	3	2
366	слова но	3	2
367	но мы	3	2
368	явления и	2	2
369	что уже	2	2
370	есть только	9	2
371	или поздно	2	2
372	что язык	5	2
373	связанное с	3	2
374	например и	2	2
375	и есть	4	2
376	есть не	9	2
377	слов в	6	2
378	языка язык	2	2
379	на пути	2	2
380	это и	2	2
381	для сознания	5	2
382	так что	14	2
383	тем как	4	2
384	или вовсе	3	2
385	в один	4	2
386	есть в	6	2
387	произведения не	2	2
388	а с	4	2
389	то что	37	2
390	словом как	2	2
391	по своему	2	2
392	самое слово	4	2
393	предмета в	2	2
394	определенности и	2	2
395	что все	5	2
396	рано или	2	2
397	на которую	2	2
398	и оно	3	2
399	только не	5	2
400	есть к	3	2
401	к ним	3	2
402	могли бы	3	2
403	на себе	3	2
404	не из	4	2
405	этого не	3	2
406	связь с	4	2
407	в образе	4	2
408	не могла	2	2
409	между ними	4	2
410	и та	5	2
411	связанная с	3	2
412	на разных	2	2
413	на них	2	2
414	не образ	2	2
415	себя от	2	2
416	что не	12	2
417	место в	4	2
418	слова так	2	2
419	в ее	3	2
420	для развития	3	2
421	мы видим	3	2
422	слове и	6	2
423	только как	9	2
424	не один	2	2
425	что они	2	2
426	был бы	2	2
427	на языке	2	2
428	слова для	4	2
429	того как	10	2
430	языка мы	3	2
431	да и	2	2
432	все то	3	2
433	нашего времени	2	2
434	время как	3	2
435	каждое из	2	2
436	первом случае	2	2
437	и между	4	2
438	как например	2	2
439	то и	10	2
440	независимо от	10	2
441	действия этой	2	2
442	и что	13	2
443	время в	3	2
444	и эта	2	2
445	бы быть	3	2
446	что она	4	2
447	самого слова	2	2
448	это единство	2	2
449	та же	3	2
450	наоборот в	2	2
451	же в	3	2
452	но этот	2	2
453	перестает быть	5	2
454	слова есть	3	2
455	в последнем	4	2
456	в области	3	2
457	то или	2	2
458	и той	4	2
459	к одному	7	2
460	об этом	4	2
461	как о	3	2
462	ни было	2	2
463	тем не	7	2
464	ее с	2	2
465	у нас	2	2
466	иметь в	2	2
467	как у	2	2
468	в течение	2	2
469	к ней	7	2
470	мы можем	13	2
471	в какой	3	2
472	не можем	8	2
473	заключается в	2	2
474	образ в	2	2
475	за ним	4	2
476	нет и	2	2
477	слова при	3	2
478	на то	6	2
479	что для	5	2
480	других случаях	2	2
481	столь же	8	2
482	в котором	7	2
483	а между	6	2
484	есть для	7	2
485	глядя на	2	2
486	в своих	2	2
487	в начале	3	2
488	есть от	2	2
489	ее от	2	2
490	несмотря на	2	2
491	и затем	3	2
492	языка без	2	2
493	то время	7	2
494	что как	4	2
495	только о	2	2
496	и только	5	2
497	друг другу	2	2
498	них не	4	2
499	не к	4	2
500	к своей	2	2
501	такой степени	5	2
