N	2gram	Propp_Morf	Problemy
257	и по	3	3
258	же в	3	3
259	можно сказать	2	3
260	этом случае	10	3
261	должны быть	2	3
262	в других	5	3
263	ее в	3	3
264	того как	2	3
265	мы видим	15	3
266	очень часто	6	3
267	одной из	2	3
268	как например	2	3
269	в данном	2	3
270	из этих	2	3
271	говорить о	4	3
272	то время	3	3
273	и больше	2	3
274	как такового	2	3
275	сказать о	2	3
276	себя за	2	3
277	у ивана	2	3
278	не является	4	3
279	и при	3	3
280	она в	2	3
281	и есть	3	3
282	у нас	3	3
283	что его	4	3
284	по всему	3	3
285	но они	2	3
286	мы можем	5	3
287	не с	2	3
288	эта форма	14	3
289	или наоборот	2	3
290	реагирует на	3	3
291	оно может	4	3
292	с иваном	3	3
293	если мы	6	3
294	как таковой	2	3
295	все еще	3	3
296	в один	3	3
297	можно лишь	2	3
298	в различных	2	3
299	ту же	2	3
300	мы будем	3	3
301	без всякого	2	3
302	тем же	2	3
303	чем в	2	3
304	и заставляет	2	2
305	и функции	3	2
306	а и	3	2
307	бы они	2	2
308	самого себя	2	2
309	этого нельзя	2	2
310	к этому	4	2
311	он приводит	2	2
312	но есть	3	2
313	или же	7	2
314	никаких новых	2	2
315	не всегда	10	2
316	для героя	3	2
317	а во	3	2
318	в образе	6	2
319	то они	2	2
320	и вне	3	2
321	к различным	2	2
322	они и	5	2
323	не так	2	2
324	это уже	3	2
325	друг за	2	2
326	заметить что	11	2
327	вступают в	3	2
328	показать что	4	2
329	ответ на	2	2
330	смысле слова	4	2
331	с теми	4	2
332	же она	3	2
333	случае не	4	2
334	этих случаях	15	2
335	и вызывает	3	2
336	нашей работы	2	2
337	или не	3	2
338	материала но	2	2
339	в россии	2	2
340	независимо от	4	2
341	не все	6	2
342	во второй	2	2
343	и этот	2	2
344	одному из	3	2
345	целый ряд	3	2
346	в качестве	8	2
347	для того	3	2
348	и другие	6	2
349	нет но	2	2
350	для нас	2	2
351	к ней	3	2
352	с одной	2	2
353	на пути	4	2
354	в какой	3	2
355	не имеет	2	2
356	прежде чем	5	2
357	в нашем	6	2
358	ничем не	2	2
359	они даны	2	2
360	за другом	2	2
361	роль в	2	2
362	иногда же	2	2
363	лишь с	2	2
364	для наших	3	2
365	как за	2	2
366	но оно	2	2
367	собой в	2	2
368	во втором	7	2
369	а потому	2	2
