N	2gram	Propp_Russ	FransuaR
519	чтобы они	4	3
520	вокруг него	2	3
521	и через	2	3
522	в глаза	3	3
523	но есть	3	3
524	он видел	2	3
525	что именно	3	3
526	на две	3	3
527	подойти к	2	3
528	на которых	2	3
529	что каждый	2	3
530	что с	2	3
531	с этого	7	3
532	которые не	3	3
533	в обряде	3	3
534	из основных	2	3
535	еще далеко	2	3
536	приводит к	4	3
537	так чтобы	2	3
538	природы и	3	3
539	и сами	2	3
540	мы должны	3	2
541	а и	7	2
542	и поэтому	3	2
543	что ему	2	2
544	ни одно	2	2
545	иногда и	7	2
546	должна была	6	2
547	только тогда	3	2
548	из приведенных	3	2
549	в стороне	2	2
550	бросается в	3	2
551	и непосредственно	2	2
552	этому поводу	3	2
553	состоят из	2	2
554	месяца в	2	2
555	в праздничные	2	2
556	нечто вроде	2	2
557	к борьбе	2	2
558	и должна	2	2
559	его с	4	2
560	не имели	2	2
561	некоторые другие	5	2
562	переход от	3	2
563	так называемой	3	2
564	за все	2	2
565	в церковь	2	2
566	года в	2	2
567	такую же	2	2
568	друг к	2	2
569	к числу	2	2
570	с последним	2	2
571	вокруг этого	4	2
572	уже знаем	2	2
573	но ни	2	2
574	некоторых других	2	2
575	тем и	4	2
576	тем временем	2	2
577	так называемая	2	2
578	новым годом	2	2
579	праздников и	4	2
580	других праздников	2	2
581	половине xix	2	2
582	к слову	3	2
583	о рождении	2	2
584	эта же	2	2
585	в двух	2	2
586	нет в	2	2
587	и действительно	2	2
588	что если	2	2
589	этот праздник	4	2
590	церковь и	2	2
591	год в	3	2
592	к другу	2	2
593	которые с	2	2
594	сходство с	3	2
595	в середине	4	2
596	плодородие земли	2	2
597	в какой	3	2
598	что есть	2	2
599	на украине	5	2
600	говорится о	3	2
601	с в	12	2
602	и всех	2	2
603	после чего	4	2
604	части и	2	2
605	умирающего и	2	2
606	ее и	2	2
607	в память	2	2
608	них как	2	2
609	сообщает что	12	2
610	того в	3	2
611	и обрядов	8	2
612	тот кто	2	2
613	как объяснить	2	2
614	обрядов и	3	2
615	в честь	5	2
616	их на	5	2
617	что от	4	2
618	в природе	2	2
619	другой день	2	2
620	нам право	2	2
621	пелись в	2	2
622	к праздникам	3	2
623	становятся в	4	2
624	ко времени	3	2
625	можно встретить	2	2
626	за пределами	2	2
627	полагает что	8	2
628	не более	2	2
629	например на	2	2
630	встречаются в	2	2
631	и иногда	3	2
632	обряда в	3	2
633	интересный и	2	2
634	не можем	5	2
635	и многие	2	2
636	этом случае	9	2
637	не все	4	2
638	некоторое время	2	2
639	этого момента	3	2
640	к земле	5	2
641	чем у	2	2
642	этот день	19	2
643	как по	2	2
644	как только	2	2
645	не с	5	2
646	из наиболее	2	2
647	в самих	3	2
648	что при	2	2
649	ii в	2	2
650	только как	2	2
651	в разные	4	2
652	на другие	2	2
653	к тем	4	2
654	ничего общего	3	2
655	по содержанию	3	2
