N	2gram	Losev_Vesc	StatiiOP
199	в себе	23	6
200	должен быть	5	6
201	из которых	3	6
202	по существу	3	6
203	к нему	3	6
204	в в	2	6
205	и все	6	6
206	по крайней	10	6
207	что на	2	6
208	и во	3	6
209	же как	3	6
210	и вообще	6	6
211	с его	2	6
212	крайней мере	10	6
213	одно из	2	6
214	независимо от	5	6
215	его как	2	6
216	мы не	8	6
217	и здесь	5	6
218	в особенности	3	6
219	же и	2	6
220	что я	26	6
221	и сам	3	6
222	время как	4	6
223	в жизни	5	6
224	ни на	7	6
225	этот вопрос	6	6
226	этом смысле	2	6
227	но я	2	6
228	этих двух	2	6
229	только не	5	6
230	говорить о	9	6
231	тем же	2	6
232	не о	2	5
233	свое время	2	5
234	его в	8	5
235	на себя	5	5
236	даже не	8	5
237	но если	12	5
238	не был	2	5
239	для себя	6	5
240	оба эти	3	5
241	это и	12	5
242	что именно	4	5
243	в свое	2	5
244	как он	2	5
245	нас не	2	5
246	и потому	8	5
247	из истории	4	5
248	не так	2	5
249	она была	2	5
250	одного из	2	5
251	одной стороны	3	5
252	что не	11	5
253	отношении к	4	5
254	один из	5	5
255	можно ли	7	5
256	конечно и	2	5
257	в сущности	7	5
258	не на	2	5
259	должна быть	8	5
260	что эти	2	5
261	хотя и	5	5
262	не потому	7	5
263	что ему	3	5
264	утверждать что	2	5
265	то это	5	5
266	на это	5	5
267	не как	2	5
268	к ней	4	5
269	как будто	2	5
270	но они	2	5
271	с одной	3	5
272	на нее	2	5
273	том чтобы	2	5
274	нет и	4	5
275	ни с	8	5
276	вообще не	6	5
277	раз в	2	5
278	поэтому в	2	5
279	и если	5	5
280	уже не	15	5
281	оно не	6	5
282	если не	3	5
283	о значении	2	5
284	которая была	2	5
285	и который	2	5
286	конечно не	2	5
287	является не	2	5
288	и только	11	5
289	о которой	3	5
290	в слове	2	5
291	без всякого	7	5
292	находим в	2	4
293	этого вопроса	3	4
294	очевидно что	2	4
295	от его	2	4
296	одна из	6	4
297	на этом	4	4
298	нисколько не	7	4
299	то есть	2	4
300	что оно	10	4
301	и у	4	4
302	и эти	3	4
303	по своей	3	4
304	казалось бы	3	4
305	как можно	5	4
306	но как	3	4
307	мере в	2	4
308	только с	3	4
309	так или	5	4
310	он говорит	2	4
311	и без	4	4
312	а потому	2	4
313	с нею	19	4
314	мы видим	5	4
315	я имею	3	4
316	и тогда	7	4
317	е в	7	4
318	это есть	8	4
319	в первом	2	4
320	в применении	2	4
321	случае не	3	4
322	должны быть	6	4
323	на язык	3	4
324	как мы	6	4
325	да и	5	4
326	относится к	6	4
327	для этого	5	4
328	сами по	3	4
329	есть в	4	4
330	в чисто	5	4
331	я уже	2	4
332	же это	5	4
333	бы и	9	4
334	тем или	2	4
335	на него	3	4
336	в свете	8	4
337	бы на	3	4
338	только что	2	4
339	как о	5	4
340	и их	11	4
341	и другие	2	4
342	и так	2	4
343	нет не	2	4
344	все что	3	4
345	для его	2	4
346	но для	2	4
347	не существует	4	4
348	значит что	32	4
349	в смысле	22	4
350	или в	3	4
351	эти вещи	2	4
352	в основе	4	4
353	быть не	5	4
354	или иначе	5	4
355	применении к	3	4
356	перед нами	3	3
357	ему не	3	3
358	е не	5	3
359	о них	4	3
360	из того	3	3
361	что вы	4	3
362	вопроса о	3	3
363	с именем	6	3
364	от того	7	3
365	как к	5	3
366	этой вещи	4	3
367	слово в	2	3
368	тогда когда	5	3
369	но именно	3	3
370	в одно	2	3
371	или менее	4	3
372	его от	2	3
373	себе в	5	3
374	ведь и	6	3
375	что о	2	3
376	о котором	2	3
377	как я	6	3
378	к этим	2	3
379	она не	9	3
380	ли в	3	3
381	это уже	2	3
382	и как	12	3
383	даже и	5	3
384	не то	4	3
385	нельзя сказать	3	3
386	есть еще	3	3
387	совсем не	2	3
388	здесь не	2	3
389	не будет	13	3
390	а затем	2	3
391	но эта	2	3
392	то не	7	3
393	себя и	8	3
394	в каком-то	5	3
395	и ее	19	3
396	почти все	2	3
397	бы то	12	3
398	них и	2	3
399	к его	2	3
400	я бы	2	3
401	бы в	9	3
402	то и	7	3
403	но эти	2	3
404	и до	6	3
405	тут не	7	3
406	от этого	3	3
407	бы ни	3	3
408	к истории	2	3
409	в данной	2	3
410	и уже	2	3
411	этом и	2	3
412	смысле что	2	3
413	если я	6	3
414	бы что	3	3
415	и нужно	2	3
416	что значит	8	3
417	свое выражение	3	3
418	является и	3	3
419	что из	3	3
420	является в	2	3
421	не значит	11	3
422	если это	4	3
423	это выражение	2	3
424	их в	6	3
425	я и	8	3
426	слова в	2	3
427	когда он	2	3
428	в свою	5	3
429	у меня	3	3
430	но на	2	3
431	но что	9	3
432	он и	2	3
433	это можно	2	3
434	так чтобы	4	3
435	может не	4	3
436	то или	5	3
437	от нее	2	3
438	то ни	13	3
439	более или	4	3
440	отношения к	3	3
441	не к	3	3
442	очень хорошо	2	3
443	прочим и	2	2
444	что является	6	2
445	тем самым	2	2
446	с полной	6	2
447	ни о	3	2
448	я могу	3	2
449	а что	2	2
450	различие между	3	2
451	нуждается в	2	2
452	например что	2	2
453	есть только	18	2
454	это однако	3	2
455	те или	5	2
456	именно так	2	2
457	суждения о	2	2
458	а это	5	2
459	и таким	2	2
460	к такому	2	2
461	я должен	4	2
462	выражение в	3	2
463	состоит из	3	2
464	тех кто	2	2
465	этот тип	3	2
466	или о	3	2
467	не буду	3	2
468	свою очередь	5	2
469	у них	2	2
470	действительности и	5	2
471	эта вещь	2	2
472	и ни	3	2
473	не годится	2	2
474	быть ни	3	2
475	нужно было	3	2
476	мы видели	3	2
477	и совершенно	2	2
478	и этот	2	2
479	и оно	4	2
480	то она	2	2
481	на этой	2	2
482	вещей в	3	2
483	в работах	2	2
484	и она	3	2
485	но только	4	2
486	а только	3	2
487	на себе	5	2
488	а если	6	2
489	раз я	2	2
490	ту же	2	2
491	на меня	3	2
492	в полной	2	2
493	нет это	3	2
494	чего не	2	2
495	между собой	2	2
496	жизнь и	2	2
497	меня не	2	2
498	в разных	6	2
499	вот почему	3	2
500	и когда	5	2
501	то как	2	2
502	тогда как	3	2
503	как нечто	3	2
504	той или	3	2
505	было в	3	2
506	и может	3	2
507	это значит	30	2
508	из самых	3	2
509	бы только	2	2
510	о каком	2	2
511	и они	2	2
512	что если	2	2
513	и можно	2	2
514	тот же	4	2
515	только тогда	4	2
516	но уже	3	2
517	что нужно	4	2
518	но зато	2	2
519	в одну	2	2
520	и от	4	2
521	невозможно было	2	2
522	уже сейчас	2	2
523	никак не	7	2
524	тут же	4	2
525	когда мы	6	2
526	но то	4	2
527	истории и	2	2
528	у всех	3	2
529	то очевидно	2	2
530	то он	2	2
531	кем и	2	2
532	и эта	4	2
533	это вовсе	2	2
534	и еще	4	2
535	только к	2	2
536	с ней	2	2
537	по преимуществу	2	2
538	но совершенно	4	2
539	поэтому и	2	2
540	с ее	10	2
541	знает и	2	2
542	я это	2	2
543	превращается в	3	2
544	д и	11	2
545	и вот	4	2
546	жизни в	3	2
547	ни было	12	2
548	что то	3	2
549	между собою	12	2
550	самого же	2	2
551	чем не	2	2
552	было и	2	2
553	только одно	2	2
554	остановиться на	3	2
555	что есть	8	2
556	в свой	2	2
557	что только	4	2
558	она является	4	2
559	не своей	2	2
560	не случайно	2	2
561	а тем	3	2
562	далеко не	2	2
563	говорится о	2	2
564	каждой из	2	2
565	и кто	2	2
566	хотя это	2	2
567	в последние	2	2
568	и другой	2	2
569	но к	2	2
570	допустим что	3	2
571	мог бы	7	2
572	как она	5	2
573	совершенно ясно	2	2
574	свидетельствует о	3	2
575	как не	2	2
576	сам по	4	2
577	чтобы и	3	2
578	только о	2	2
579	чем же	5	2
580	с какой	2	2
581	вы говорите	4	2
582	быть и	5	2
583	существует в	3	2
584	на все	2	2
585	говорить что	4	2
586	имеем дело	3	2
