N	2gram	Vinokur_St	VLabPisa
192	а к	2	2
193	о чем	4	2
194	одной стороны	2	2
195	крайней мере	2	2
196	можно было	14	2
197	этого рода	2	2
198	вплоть до	6	2
199	в каждом	3	2
200	что она	5	2
201	даже не	5	2
202	начиная с	2	2
203	отличается от	2	2
204	в другом	5	2
205	а во-вторых	2	2
206	что нет	2	2
207	этом и	2	2
208	и даже	8	2
209	писем к	2	2
210	несколько примеров	5	2
211	чуть ли	2	2
212	и у	2	2
213	ли не	2	2
214	мысль о	2	2
215	пушкину и	2	2
216	конце концов	2	2
217	а как	5	2
218	нет ни	3	2
219	бы не	2	2
220	не всегда	2	2
221	в области	16	2
222	еще не	4	2
223	нет никаких	2	2
224	в которой	13	2
225	не приходится	5	2
226	не по	5	2
227	в течение	7	2
228	по крайней	2	2
229	у пушкина	17	2
230	что ни	2	2
231	в чем	4	2
232	сих пор	12	2
233	с одной	3	2
234	после того	5	2
235	заключается в	5	2
236	как известно	2	2
237	одной из	4	2
238	так например	12	2
239	но не	5	2
240	и для	4	2
241	ни с	3	2
242	также и	10	2
243	не менее	8	2
244	на него	3	2
245	только с	4	2
246	но в	16	2
247	они не	2	2
248	на то	5	2
249	в общем	2	2
250	могло бы	3	2
251	что такое	2	2
252	в своих	2	2
253	но к	2	2
254	в ней	9	2
255	будто бы	4	2
256	на вопрос	7	2
257	к его	2	2
258	для которых	3	2
259	стороны в	2	2
260	говорит об	4	2
261	том отношении	4	2
262	но для	3	2
263	между прочим	10	2
264	в представлении	2	2
265	к сожалению	4	2
266	в образе	3	2
267	что так	3	2
268	значит что	3	2
269	не столько	6	2
270	что мы	5	2
271	с нею	3	2
272	только не	2	2
273	можно ли	5	2
274	по себе	3	2
275	всяком случае	8	2
276	ни одного	4	2
277	для них	2	2
278	внимание на	5	2
279	может не	2	2
280	отметить что	4	2
281	же как	5	2
282	должны быть	4	2
283	числе и	2	2
284	говорить о	3	2
285	было в	2	2
286	целого ряда	2	2
287	по его	5	2
288	е в	3	2
289	он не	11	2
290	и сам	4	2
291	свидетельствуют о	2	2
292	должна быть	3	2
293	но с	7	2
294	в пользу	5	2
295	что при	3	2
296	эти вопросы	3	2
297	хотя и	4	2
298	лишь в	3	2
299	том числе	3	2
300	само собою	2	2
301	во всяком	8	2
302	подчеркнуть что	5	2
303	до сих	13	2
304	того как	8	2
