N	2gram	Bakhtin_sl	Tvorches
306	которые были	2	2
307	между собой	3	2
308	в известном	2	2
309	нуждается в	3	2
310	для них	2	2
311	и среди	2	2
312	ли он	4	2
313	когда она	2	2
314	у тургенева	7	2
315	одним словом	4	2
316	было бы	3	2
317	же в	2	2
318	связи с	4	2
319	одновременно и	5	2
320	в сущности	18	2
321	в связи	2	2
322	в качестве	4	2
323	в двух	2	2
324	значение в	2	2
325	рядом с	7	2
326	роман и	7	2
327	входят в	3	2
328	до абсурда	2	2
329	не столь	2	2
330	и вообще	2	2
331	но она	2	2
332	всех этих	8	2
333	мышления и	6	2
334	известном смысле	2	2
335	не должны	3	2
336	в данном	5	2
337	с другими	8	2
338	ибо он	2	2
339	с каким	2	2
340	мировоззрения и	2	2
341	и нет	3	2
342	во всех	25	2
343	по всей	3	2
344	и стиля	2	2
345	тем не	2	2
346	что как	2	2
347	мира в	2	2
348	в новых	2	2
349	вокруг себя	2	2
350	как о	2	2
351	и со	2	2
352	в результате	4	2
353	и о	3	2
354	отношении к	9	2
355	наконец в	5	2
356	с одной	7	2
357	культуры и	2	2
358	за пределами	3	2
359	ни в	4	2
360	столь же	2	2
361	и здесь	5	2
362	а между	2	2
363	человек в	6	2
364	в сфере	2	2
365	входит в	8	2
366	из себя	3	2
367	в эту	3	2
368	со своим	13	2
369	с которым	4	2
370	к своей	2	2
371	где нет	2	2
372	не из	2	2
373	произведения в	2	2
374	и способы	2	2
375	на мир	6	2
376	только как	2	2
377	мы все	2	2
378	из этого	3	2
379	в быту	5	2
380	авторской речи	11	2
381	бы ни	3	2
382	или даже	5	2
383	не просто	2	2
384	человек и	13	2
385	автора или	2	2
386	же и	4	2
387	как его	5	2
388	не значит	2	2
389	сам в	2	2
390	как раз	3	2
391	мы уже	4	2
392	в романном	4	2
393	это отношение	2	2
