N	2gram	Propp_Morf	slovoVRo
246	то что	10	2
247	по своему	2	2
248	формах в	2	2
249	могли бы	2	2
250	этого не	2	2
251	в образе	6	2
252	и функции	3	2
253	в основу	2	2
254	иногда в	8	2
255	мы видим	15	2
256	могут иметь	2	2
257	что они	5	2
258	значение и	3	2
259	случае не	4	2
260	чем это	2	2
261	того как	2	2
262	очень часто	6	2
263	этого момента	3	2
264	к началу	4	2
265	время как	3	2
266	первом случае	3	2
267	то в	3	2
268	как например	2	2
269	утверждать что	3	2
270	независимо от	4	2
271	и что	3	2
272	можно было	4	2
273	что она	2	2
274	та же	3	2
275	же в	3	2
276	в последнем	3	2
277	об этом	5	2
278	ни было	2	2
279	тем не	7	2
280	у нас	3	2
281	без всякой	2	2
282	действующих лиц	22	2
283	ни к	2	2
284	к ней	3	2
285	но они	2	2
286	мы можем	5	2
287	наших дней	2	2
288	в какой	3	2
289	этот элемент	5	2
290	в самых	2	2
291	на то	3	2
292	мы увидим	10	2
293	других случаях	2	2
294	из его	2	2
295	в своих	2	2
296	приводит к	3	2
297	в начале	3	2
298	главным образом	5	2
299	момент в	2	2
300	несмотря на	4	2
301	и затем	5	2
302	то время	3	2
303	и только	3	2
304	в плоскости	3	2
305	в нашем	6	2
306	не значит	3	2
307	этих случаях	15	2
