N	2gram	Vinokur_Vv	Tvorches
125	мысли и	2	5
126	между тем	10	5
127	и другие	2	5
128	в известной	3	5
129	отношению к	4	5
130	с другой	8	5
131	из них	4	5
132	не было	2	5
133	но с	5	5
134	при помощи	3	4
135	и потому	2	4
136	сливается с	3	4
137	крайней мере	4	4
138	только на	3	4
139	в частности	3	4
140	как это	5	4
141	отличие от	4	4
142	того что	12	4
143	в в	3	4
144	к нему	3	4
145	точки зрения	12	4
146	могут быть	6	4
147	сих пор	7	4
148	однако в	3	4
149	же как	3	4
150	говорит о	3	4
151	дело в	5	4
152	в каждом	4	4
153	себя в	2	4
154	тем что	6	4
155	него в	2	4
156	и есть	3	4
157	с этой	5	4
158	времени и	4	4
159	по крайней	4	4
160	в отличие	4	4
161	не мог	2	4
162	зависит от	3	4
163	не вполне	4	4
164	этот вопрос	7	4
165	в которых	6	4
166	представляет собой	14	4
167	этой книги	2	4
168	традиции и	4	4
169	с точки	4	4
170	говорить о	5	4
171	по самой	2	4
172	той же	4	4
173	связана с	4	4
174	до сих	7	4
175	не есть	5	3
176	его к	2	3
177	в другом	3	3
178	отношение к	3	3
179	критики и	2	3
180	в виду	5	3
181	и тем	5	3
182	со стороны	16	3
183	в области	4	3
184	известной мере	2	3
185	самой своей	2	3
186	но что	3	3
187	так например	6	3
188	о котором	8	3
189	как уже	5	3
190	человеческой культуры	3	3
191	только с	4	3
192	к тому	4	3
193	гораздо более	3	3
194	может служить	3	3
195	в ней	3	3
196	другой стороны	5	3
197	что оно	2	3
198	всяком случае	5	3
199	по этому	3	3
200	точно так	2	3
201	совсем не	3	3
202	и др	2	3
203	что с	3	3
204	и до	2	3
205	в первом	5	3
206	в с	3	3
207	можно сказать	4	3
208	заключается в	4	3
209	как мы	11	3
210	вот почему	3	3
211	сильнее чем	2	3
212	но зато	2	3
213	да и	4	3
214	сказать что	6	3
215	время в	2	3
216	из этих	9	3
217	в начале	3	3
218	это в	2	3
219	и тогда	3	3
220	собой в	2	3
221	действительности в	2	3
222	в этот	2	3
223	только что	4	3
224	во второй	3	3
225	и вот	3	3
226	для того	23	3
227	у нас	2	3
228	на протяжении	2	3
229	не с	3	3
230	на этот	6	3
231	но уже	2	3
232	д в	2	3
233	и к	3	3
234	на этом	3	3
235	не существует	2	3
236	он и	2	3
237	по себе	11	3
238	как она	4	3
239	несмотря на	2	3
240	жизни и	2	3
241	вряд ли	3	3
242	и что	6	3
243	во всяком	5	3
244	нельзя не	6	3
245	в одном	4	3
246	данном случае	5	2
247	все более	4	2
248	в отношении	3	2
249	в таких	2	2
250	не могут	6	2
251	но как	2	2
252	о чем	4	2
253	в тех	2	2
254	еще раз	2	2
255	в силу	3	2
256	действительности к	2	2
257	есть не	5	2
258	должен быть	4	2
259	а как	5	2
260	после этого	2	2
261	свою очередь	2	2
262	в формах	2	2
263	здесь нет	4	2
264	от других	2	2
265	в руки	6	2
266	надо было	2	2
267	с тем	6	2
268	тому что	2	2
269	на том	3	2
270	того же	3	2
271	что можно	2	2
272	которые были	2	2
273	и без	2	2
274	в создании	2	2
275	его можно	2	2
276	ответ на	4	2
277	то это	3	2
278	целом ряде	2	2
279	в известном	3	2
280	в прямом	4	2
281	что же	3	2
282	нуждается в	3	2
283	для них	2	2
284	духовной жизни	3	2
285	того чтобы	22	2
286	познания и	2	2
287	было бы	7	2
288	представляют собой	9	2
289	нет сомнений	3	2
290	связи с	3	2
291	одновременно и	3	2
292	в сущности	3	2
293	в связи	2	2
294	в качестве	8	2
295	значение в	2	2
296	рядом с	2	2
297	и того	3	2
298	отношений между	3	2
299	и вообще	3	2
300	это еще	2	2
301	не могли	2	2
302	что если	2	2
303	известном смысле	3	2
304	в данном	11	2
305	же это	2	2
306	во всех	2	2
307	время не	2	2
308	не нужно	2	2
309	по мере	4	2
310	тем не	9	2
311	сам же	2	2
312	должен был	4	2
313	но ведь	4	2
314	как о	4	2
315	этой области	3	2
316	и со	2	2
317	в результате	4	2
318	ни к	2	2
319	чаще всего	2	2
320	отношении к	2	2
321	с одной	4	2
322	и должно	2	2
323	не имеет	4	2
324	и здесь	3	2
325	а между	2	2
326	в ряде	2	2
327	входит в	3	2
328	мог бы	2	2
329	внимание на	5	2
330	влечет за	2	2
331	с их	5	2
332	только как	7	2
333	и уже	3	2
334	конце концов	2	2
335	уже после	3	2
336	не просто	5	2
337	как на	12	2
338	если же	2	2
339	не к	2	2
340	о которой	2	2
341	как раз	4	2
342	мы уже	2	2
343	ясно что	11	2
