N	2gram	Bakhtin_fo	StatiiOP
252	мировой литературе	2	5
253	конечно не	7	5
254	является не	2	5
255	и только	3	5
256	не могут	4	4
257	одна из	3	4
258	в форме	5	4
259	на этом	2	4
260	то есть	42	4
261	и у	8	4
262	как можно	3	4
263	как у	2	4
264	которыми он	3	4
265	не зная	2	4
266	более что	2	4
267	в романе	40	4
268	не знает	4	4
269	века и	3	4
270	всего в	4	4
271	не являются	3	4
272	которые в	2	4
273	они не	4	4
274	и те	4	4
275	в образе	8	4
276	в процессе	4	4
277	с нею	2	4
278	в поэзии	2	4
279	мы видим	4	4
280	в связи	13	4
281	что было	6	4
282	этого слова	2	4
283	должны быть	2	4
284	как мы	19	4
285	да и	4	4
286	не могли	3	4
287	нет в	2	4
288	в эпоху	5	4
289	сами по	2	4
290	есть в	3	4
291	и он	3	4
292	борьба с	3	4
293	в значительной	3	4
294	в центре	2	4
295	и тот	2	4
296	все они	4	4
297	и их	11	4
298	и другие	6	4
299	в последнем	3	4
300	тому же	2	4
301	и так	2	4
302	бы совершенно	2	4
303	и речи	6	4
304	все что	2	4
305	xviii века	3	4
306	связанные с	5	4
307	но для	2	4
308	это время	8	4
309	места в	2	4
310	здесь нет	3	4
311	не для	3	4
312	значит что	2	4
313	в смысле	5	4
314	или в	3	4
315	в таком	4	4
316	в основе	9	4
317	чем в	3	4
318	все более	2	3
319	или иной	4	3
320	в полном	2	3
321	и наконец	6	3
322	этого произведения	2	3
323	в других	9	3
324	попадает в	2	3
325	связанных с	3	3
326	тогда когда	2	3
327	и других	5	3
328	он должен	2	3
329	в одно	3	3
330	к своему	2	3
331	его от	3	3
332	на котором	2	3
333	могло быть	5	3
334	для своего	2	3
335	она не	2	3
336	и как	12	3
337	разного рода	2	3
338	из нее	2	3
339	так в	2	3
340	не могла	2	3
341	на них	2	3
342	смысле слова	4	3
343	совсем не	4	3
344	здесь не	5	3
345	а затем	3	3
346	но эта	5	3
347	и самый	3	3
348	себя и	6	3
349	и ее	4	3
350	времени но	2	3
351	том числе	7	3
352	не были	4	3
353	почти все	4	3
354	них и	2	3
355	до нас	6	3
356	но эти	4	3
357	и до	7	3
358	от этого	4	3
359	особенно в	3	3
360	к концу	3	3
361	в данной	2	3
362	и уже	4	3
363	наконец в	2	3
364	во всей	3	3
365	со всеми	4	3
366	xvii века	2	3
367	их в	6	3
368	в свою	2	3
369	с большой	3	3
370	но на	4	3
371	здесь совершенно	2	3
372	в один	2	3
373	как его	3	3
374	отношения к	7	3
375	не к	2	3
376	к своей	2	3
377	на основе	5	3
378	с помощью	5	3
379	в таких	2	2
380	тому времени	2	2
381	ни была	2	2
382	его к	2	2
383	для всех	3	2
384	как человек	4	2
385	не имеют	4	2
386	есть только	2	2
387	в литературе	17	2
388	с нашей	3	2
389	речи об	2	2
390	др в	2	2
391	того в	2	2
392	выражение в	3	2
393	ведь это	2	2
394	этот тип	2	2
395	у них	4	2
396	характерное для	2	2
397	в какой-то	4	2
398	отличие от	3	2
399	по своему	3	2
400	мы видели	2	2
401	и совершенно	3	2
402	к вопросу	2	2
403	значение для	3	2
404	на этой	4	2
405	и события	3	2
406	а только	2	2
407	не место	2	2
408	жизнь в	2	2
409	все его	7	2
410	вступают в	3	2
411	времени в	14	2
412	ту же	4	2
413	в роман	6	2
414	между собой	5	2
415	жизнь и	4	2
416	которой он	3	2
417	здесь является	2	2
418	для них	3	2
419	в разных	6	2
420	и этим	2	2
421	числе и	4	2
422	они сами	2	2
423	и всей	2	2
424	той или	3	2
425	было в	2	2
426	и может	2	2
427	это значит	3	2
428	на материале	3	2
429	из самых	3	2
430	и они	4	2
431	тот же	4	2
432	и иные	2	2
433	такие слова	2	2
434	событий и	3	2
435	и от	3	2
436	когда мы	2	2
437	бы он	2	2
438	тех же	2	2
439	более и	2	2
440	его с	2	2
441	время в	7	2
442	так сказать	14	2
443	и эта	2	2
444	и еще	3	2
445	только к	3	2
446	по преимуществу	4	2
447	поэтому и	4	2
448	с ее	7	2
449	и тех	2	2
450	нет здесь	3	2
451	и вот	2	2
452	жизни в	11	2
453	как по	2	2
454	для своей	2	2
455	где он	2	2
456	героев и	5	2
457	этот образ	2	2
458	чем не	5	2
459	было и	4	2
460	в пределах	8	2
461	в отличие	3	2
462	значение в	5	2
463	далеко не	3	2
464	всей его	2	2
465	о своей	2	2
466	ни один	2	2
467	всего необходимо	4	2
468	но к	2	2
469	своей жизни	6	2
470	входит в	3	2
471	имеем в	3	2
472	это то	2	2
473	к другу	2	2
474	соответствии с	2	2
475	и стал	2	2
476	литературы в	3	2
477	мы встречаем	3	2
478	их и	3	2
479	те же	5	2
480	как она	3	2
481	роль в	12	2
482	связь между	2	2
483	с их	2	2
484	но очень	2	2
485	здесь только	2	2
486	к будущему	3	2
487	же самое	2	2
488	его жизнь	2	2
489	иной раз	2	2
490	жизни но	7	2
491	одних и	2	2
492	быть и	4	2
493	не оставляет	6	2
494	все в	3	2
495	исторического процесса	2	2
496	мы и	4	2
