N	2gram	Bakhtin_fo	Vladivir
186	мы видели	2	7
187	даже не	2	7
188	к концу	3	7
189	если бы	6	7
190	и вот	2	7
191	или как	5	7
192	к ней	2	7
193	но все	6	7
194	в одном	10	7
195	на первый	2	7
196	в таком	4	7
197	и есть	3	7
198	первый план	2	7
199	в нашем	3	7
200	в них	11	7
201	мы и	4	7
202	данном случае	2	6
203	его в	8	6
204	те же	5	6
205	на себя	2	6
206	в отличие	3	6
207	само собой	2	6
208	что здесь	2	6
209	есть и	4	6
210	есть не	4	6
211	уже на	3	6
212	том же	4	6
213	к своему	2	6
214	в виду	5	6
215	отличие от	3	6
216	что на	3	6
217	его на	3	6
218	жизнь и	4	6
219	здесь в	6	6
220	по своему	3	6
221	время как	5	6
222	тем более	4	6
223	указать на	2	6
224	и наконец	6	6
225	для того	12	6
226	же и	2	6
227	мы не	4	6
228	в жизни	6	6
229	если мы	2	6
230	но на	4	6
231	той же	2	6
232	он сам	2	6
233	и речи	6	6
234	чем в	3	6
235	но она	2	5
236	собой разумеется	2	5
237	вопрос о	2	5
238	вера в	2	5
239	друг друга	3	5
240	и прежде	4	5
241	в их	9	5
242	в частности	11	5
243	утверждает что	2	5
244	для своего	2	5
245	она не	2	5
246	с самого	3	5
247	можно только	2	5
248	всей жизни	2	5
249	мы находим	2	5
250	один из	5	5
251	место в	4	5
252	и до	7	5
253	бытия и	2	5
254	того и	3	5
255	что они	3	5
256	во время	7	5
257	ее в	2	5
258	во многом	2	5
259	только к	3	5
260	все то	2	5
261	мы имеем	2	5
262	нет ничего	4	5
263	и еще	3	5
264	во всех	13	5
265	по преимуществу	4	5
266	жизни в	11	5
267	в философии	2	5
268	где он	2	5
269	и так	2	5
270	будем говорить	2	5
271	далеко не	3	5
272	на одной	2	5
273	еще более	7	5
274	в свою	2	5
275	из них	8	5
276	со своей	3	5
277	и только	3	5
278	как на	2	5
279	не к	2	5
280	всего существующего	2	5
281	не о	2	4
282	всех этих	9	4
283	не могут	4	4
284	вплоть до	3	4
285	человека и	15	4
286	но для	2	4
287	оказывается что	2	4
288	ясно что	2	4
289	бога и	2	4
290	наряду с	7	4
291	того в	2	4
292	не могли	3	4
293	и других	5	4
294	он всегда	2	4
295	были в	2	4
296	совершенно не	3	4
297	как у	2	4
298	у них	4	4
299	после этого	2	4
300	что даже	2	4
301	одной из	3	4
302	и т	21	4
303	в более	2	4
304	так в	2	4
305	одной стороны	3	4
306	процесс в	2	4
307	с которой	2	4
308	уже сказали	4	4
309	и во	13	4
310	себя и	6	4
311	в сущности	5	4
312	или не	2	4
313	когда мы	2	4
314	тех же	2	4
315	с этими	2	4
316	и эта	2	4
317	время в	7	4
318	мы можем	2	4
319	в глаза	3	4
320	т д	3	4
321	мы увидим	2	4
322	и весь	2	4
323	лишь в	8	4
324	ни к	3	4
325	в особенности	15	4
326	этом отношении	5	4
327	не на	4	4
328	и всего	2	4
329	и другие	6	4
330	нас в	3	4
331	с одной	5	4
332	и более	3	4
333	нет и	4	4
334	их в	6	4
335	и стал	2	4
336	на этом	2	4
337	ему в	3	4
338	же самое	2	4
339	сколько угодно	2	4
340	вполне понятно	4	4
341	так сказать	14	3
342	следовательно и	3	3
343	как можно	3	3
344	которые в	2	3
345	время и	4	3
346	не имеют	4	3
347	и ее	4	3
348	не как	2	3
349	в другом	2	3
350	наконец в	2	3
351	он ни	2	3
352	роль в	12	3
353	но эта	5	3
354	между ними	5	3
355	точка зрения	4	3
356	самом деле	2	3
357	более что	2	3
358	здесь нет	3	3
359	его от	3	3
360	на котором	2	3
361	этого времени	2	3
362	значение для	3	3
363	его к	2	3
364	а мы	2	3
365	человеческой жизни	9	3
366	что не	3	3
367	не могла	2	3
368	здесь же	2	3
369	для них	3	3
370	и др	13	3
371	необходимо отметить	3	3
372	в разных	6	3
373	же как	2	3
374	о своей	2	3
375	самого начала	3	3
376	находится в	3	3
377	жизни по	2	3
378	был бы	3	3
379	правда в	2	3
380	том числе	7	3
381	не столь	2	3
382	борьба с	3	3
383	одно и	4	3
384	бы он	2	3
385	в литературе	17	3
386	вернуться к	2	3
387	больше и	2	3
388	особенно в	3	3
389	с их	2	3
390	с самим	6	3
391	является не	2	3
392	на земле	2	3
393	не могло	5	3
394	влияние на	6	3
395	в мире	4	3
396	всей его	2	3
397	мир и	2	3
398	строго говоря	2	3
399	на почве	2	3
400	все что	2	3
401	оно не	3	3
402	в которых	4	3
403	самого человека	3	3
404	смысле но	2	3
405	к жизни	2	3
406	но когда	2	3
407	разумеется что	2	3
408	не были	4	3
409	по всем	3	3
410	была бы	2	3
411	быть и	4	3
412	его но	4	2
413	человека в	22	2
414	всего этого	3	2
415	к нашим	2	2
416	это то	2	2
417	том как	2	2
418	не является	4	2
419	только для	2	2
420	одна из	3	2
421	к себе	8	2
422	смысла и	2	2
423	но к	2	2
424	в одно	3	2
425	в эпоху	5	2
426	xviii века	3	2
427	несколько дней	2	2
428	но по	2	2
429	стремится к	2	2
430	со всеми	4	2
431	и совершенно	3	2
432	как уже	3	2
433	к своей	2	2
434	стороны и	2	2
435	вопросу о	3	2
436	могло быть	5	2
437	на этой	4	2
438	для всех	3	2
439	они не	4	2
440	но оно	2	2
441	рядом с	4	2
442	времени в	14	2
443	мира и	6	2
444	он так	2	2
445	и те	4	2
446	и самая	2	2
447	в ее	6	2
448	этому вопросу	2	2
449	той или	3	2
450	было в	2	2
451	почти всегда	2	2
452	и может	2	2
453	например в	7	2
454	сила и	2	2
455	этого слова	2	2
456	в основе	9	2
457	почти все	4	2
458	жизни с	2	2
459	этот момент	2	2
460	вопрос об	2	2
461	имел в	2	2
462	если они	2	2
463	они были	4	2
464	имеет в	2	2
465	и должно	2	2
466	но эти	4	2
467	с другими	3	2
468	жизнь с	3	2
469	но дело	2	2
470	менее всего	2	2
471	время не	2	2
472	поэтому и	4	2
473	с ее	7	2
474	от этого	4	2
475	была уже	2	2
476	и тот	2	2
477	них не	2	2
478	та же	4	2
479	все они	4	2
480	и их	11	2
481	его и	2	2
482	чем не	5	2
483	здесь все	2	2
484	одновременно с	2	2
485	сих пор	4	2
486	во всей	3	2
487	и пр	2	2
488	и является	2	2
489	речи в	2	2
490	в порядке	4	2
491	в самой	3	2
492	она ни	3	2
493	вещей и	7	2
494	личности и	2	2
495	должны быть	2	2
496	выражение в	3	2
497	тогда когда	2	2
498	этим в	2	2
499	и поэтому	2	2
500	внимание на	2	2
501	кто хотел	2	2
502	в той	5	2
503	не для	3	2
504	можно назвать	2	2
505	характер но	2	2
506	здесь и	3	2
507	и того	7	2
508	распадается на	2	2
509	и уже	4	2
510	в некоторых	4	2
511	природы и	2	2
512	всю эту	2	2
513	жизни но	7	2
514	в себя	3	2
515	все в	3	2
516	и почти	2	2
517	жизнь в	2	2
518	часто и	3	2
519	а следовательно	4	2
520	до сих	4	2
