N	2gram	Tiupa_Hudo	Hudozhes
107	воспринимающего сознания	2	4
108	между тем	14	4
109	во времени	2	4
110	в данном	3	4
111	и т.д	3	4
112	во втором	2	4
113	жизни как	7	4
114	в форме	2	4
115	в другом	3	4
116	не знает	2	4
117	однако в	4	4
118	в силу	2	4
119	еще не	10	4
120	художественного восприятия	2	4
121	и тем	2	4
122	и что	3	4
123	роли в	2	4
124	говорить о	4	4
125	внутренней заданности	6	4
126	сознания в	2	4
127	в этих	7	4
128	на смену	2	4
129	он не	8	4
130	не следует	2	4
131	и о	8	4
132	уединенного сознания	5	4
133	например в	3	4
134	в себя	3	4
135	в своем	9	4
136	хотя и	3	4
137	со своей	3	4
138	так или	3	4
139	даже в	4	3
140	от себя	3	3
141	в жизни	9	3
142	к нему	2	3
143	и для	5	3
144	по своему	3	3
145	как уже	3	3
146	и ее	3	3
147	не случайно	14	3
148	автора и	4	3
149	в контексте	2	3
150	в роли	3	3
151	читателя в	6	3
152	как и	16	3
153	авторской позиции	2	3
154	их в	2	3
155	говоря о	2	3
156	потому что	7	3
157	о чем	9	3
158	одной стороны	4	3
159	по преимуществу	6	3
160	слова в	2	3
161	в русской	4	3
162	что можно	2	3
163	в целом	2	3
164	являет собой	2	3
165	человеческой жизни	9	3
166	и к	6	3
167	во всех	2	3
168	личности и	3	3
169	картины мира	4	3
170	тем не	7	3
171	из этих	3	3
172	связи с	4	3
173	и на	6	3
174	тому как	4	3
175	если бы	7	3
176	однако если	2	3
177	как раз	7	3
178	с точки	5	3
179	сути дела	2	3
180	художественного мышления	8	3
181	подобно тому	4	3
182	или даже	2	3
183	себя и	4	3
184	несет в	4	3
185	с этой	3	3
186	в связи	3	3
187	к области	2	3
188	в таком	3	3
189	и сам	3	3
190	в которой	2	3
191	в рассказе	23	3
192	и составляет	2	3
193	принадлежит к	2	3
194	была бы	3	3
195	как правило	6	3
196	и внешней	2	3
197	в пределах	4	3
198	в одном	3	3
199	художественного целого	8	3
200	с одной	4	3
201	человеческого я	7	3
202	я героя	2	3
203	но он	3	3
204	и состоит	4	3
205	в системе	2	3
206	никогда не	8	2
207	между автором	2	2
208	самим собою	2	2
209	о том	21	2
210	одной из	5	2
211	в литературе	3	2
212	одна из	4	2
213	как в	11	2
214	чтобы не	3	2
215	художественности как	2	2
216	всей своей	2	2
217	одно из	4	2
218	и это	7	2
219	могла бы	2	2
220	тому что	8	2
221	и потому	3	2
222	значительной степени	3	2
223	то в	6	2
224	идет о	3	2
225	в самой	2	2
226	еще и	2	2
227	человеческого бытия	5	2
228	столь же	6	2
229	или в	3	2
230	это своего	2	2
231	в творческом	3	2
232	вступает в	2	2
233	именно в	9	2
234	художественного мира	3	2
235	читательского восприятия	3	2
236	жизни на	4	2
237	жизни в	12	2
238	но как	3	2
239	все эти	4	2
240	теории литературы	2	2
241	в анекдоте	5	2
242	или иную	2	2
243	личности к	2	2
244	о себе	3	2
245	человека и	4	2
246	не все	2	2
247	героя как	2	2
248	вслед за	3	2
249	времени и	2	2
250	что она	10	2
251	к чужому	4	2
252	дело не	2	2
253	уже говорилось	3	2
254	не как	3	2
255	с самим	2	2
256	личности с	3	2
257	так же	3	2
258	об этом	8	2
259	и по	3	2
260	всякий раз	4	2
261	он и	2	2
262	я не	8	2
263	стратегии художественного	2	2
264	отнюдь не	4	2
265	один из	6	2
266	эстетической природы	3	2
267	в них	3	2
268	по себе	3	2
269	которая не	3	2
270	мышления и	3	2
271	речь идет	3	2
272	не могло	2	2
273	несмотря на	7	2
274	роль в	2	2
275	к жизни	6	2
276	на этом	5	2
277	это и	2	2
278	русской литературе	3	2
279	в последней	2	2
280	все это	2	2
281	внутреннего мира	2	2
282	к другому	5	2
283	с ними	3	2
284	в сторону	2	2
285	способность к	2	2
286	бы не	3	2
287	своей природе	2	2
288	о его	2	2
289	что и	3	2
290	ту или	2	2
291	в значительной	3	2
292	то ни	2	2
293	от своего	2	2
294	в равной	3	2
295	человеческое я	2	2
296	к своему	2	2
297	и другие	5	2
298	или напротив	2	2
299	только о	2	2
300	своей жизни	6	2
301	самом деле	6	2
302	в финале	5	2
303	и более	2	2
304	совершенно иной	2	2
305	в нашем	2	2
306	в этой	11	2
307	ни к	2	2
308	говорит в	2	2
309	человеческих отношений	7	2
310	жизни то	3	2
311	а с	5	2
312	с ним	6	2
313	превращается в	6	2
314	который в	2	2
315	этих двух	2	2
316	при котором	2	2
317	духовной жизни	2	2
318	вовсе не	2	2
319	в аспекте	5	2
320	на основе	2	2
321	у него	13	2
322	способ существования	2	2
323	не с	2	2
324	при всей	3	2
325	здесь не	2	2
