N	2gram	Losev_Vesc	Mirosoze
195	– это	4	5
196	по преимуществу	2	5
197	момент в	6	5
198	с самим	4	5
199	мысли и	5	5
200	отличается от	8	5
201	и как	12	5
202	бы в	9	5
203	для этого	5	5
204	еще не	12	5
205	его и	4	5
206	как будто	2	5
207	то он	2	5
208	когда он	2	5
209	той же	2	5
210	и тут	7	5
211	ее и	2	4
212	же есть	3	4
213	как о	5	4
214	иное как	12	4
215	не что	12	4
216	к себе	4	4
217	от того	7	4
218	как к	5	4
219	конце концов	2	4
220	так что	9	4
221	может ли	2	4
222	что иное	12	4
223	есть в	4	4
224	в разных	6	4
225	к другому	3	4
226	а с	3	4
227	в чем	10	4
228	по сравнению	8	4
229	только с	3	4
230	тому что	2	4
231	себе и	2	4
232	ли вы	2	4
233	тогда когда	5	4
234	мы видим	5	4
235	и до	6	4
236	все эти	5	4
237	и тогда	7	4
238	что они	12	4
239	в истории	3	4
240	себе в	5	4
241	и можно	2	4
242	не все	3	4
243	я хочу	5	4
244	если есть	5	4
245	у всех	3	4
246	значит что	32	4
247	сознания и	2	4
248	оно есть	16	4
249	нем нет	2	4
250	с ней	2	4
251	и даже	12	4
252	в свете	8	4
253	стало быть	3	4
254	ни в	11	4
255	нельзя было	4	4
256	и их	11	4
257	и только	11	4
258	все равно	6	4
259	от всякого	4	4
260	мы не	8	4
261	нас в	3	4
262	от его	2	4
263	время как	4	4
264	ни с	8	4
265	мы еще	2	4
266	не случайно	2	4
267	еще более	4	4
268	но на	2	4
269	в той	6	4
270	может не	4	4
271	в своих	3	4
272	и что	22	4
273	то время	4	4
274	в свой	2	3
275	к его	2	3
276	этого вопроса	3	3
277	к этим	2	3
278	и сама	4	3
279	можно и	3	3
280	о чем	2	3
281	под собой	2	3
282	в состоянии	2	3
283	и мира	2	3
284	для себя	6	3
285	является в	2	3
286	есть момент	2	3
287	и тем	7	3
288	и быть	2	3
289	душу и	2	3
290	но она	3	3
291	это все	3	3
292	все же	18	3
293	идеи и	3	3
294	она может	4	3
295	с трудом	2	3
296	можно ли	7	3
297	мы должны	5	3
298	это уже	2	3
299	что же	17	3
300	даже и	5	3
301	в виду	2	3
302	ту же	2	3
303	что оно	10	3
304	и та	2	3
305	всегда есть	5	3
306	же как	3	3
307	и когда	5	3
308	это значит	30	3
309	хотя и	5	3
310	и то	14	3
311	истории и	2	3
312	бытия и	6	3
313	и эта	4	3
314	то это	5	3
315	и еще	4	3
316	к этому	2	3
317	конечно не	2	3
318	об этом	5	3
319	то чтобы	3	3
320	находится в	4	3
321	и ничего	2	3
322	как не	2	3
323	не значит	11	3
324	я и	8	3
325	и самое	3	3
326	превращается в	3	3
327	от всех	5	3
328	но ведь	2	3
329	для нас	2	3
330	чем не	2	3
331	лишь как	2	3
332	во всех	5	3
333	не с	8	3
334	именно потому	2	3
335	есть выражение	2	3
336	только один	3	3
337	на почве	6	3
338	не вполне	2	3
339	но для	2	3
340	приводит к	2	3
341	есть всегда	5	3
342	в одном	6	3
343	тому как	5	3
344	ближе к	2	3
345	всяком случае	2	3
346	но когда	3	3
347	только одно	2	3
348	сравнению с	7	3
349	не быть	4	3
350	но с	2	3
351	учение о	2	3
352	и всякий	3	3
353	не о	2	2
354	в каком	6	2
355	как ее	2	2
356	и кто	2	2
357	к одному	3	2
358	к личности	3	2
359	как можно	5	2
360	в действительности	7	2
361	различие между	3	2
362	нисколько не	7	2
363	веры в	2	2
364	есть только	18	2
365	не потому	7	2
366	– и	2	2
367	это я	4	2
368	последний предел	2	2
369	человек имеет	2	2
370	самое главное	2	2
371	со своим	8	2
372	бы его	2	2
373	смысл но	2	2
374	есть ли	10	2
375	нас не	2	2
376	самом деле	7	2
377	смысл в	2	2
378	– с	2	2
379	была бы	3	2
380	и возможно	2	2
381	его от	2	2
382	нужно было	3	2
383	– как	8	2
384	будет уже	3	2
385	и самосознание	2	2
386	может в	2	2
387	только это	4	2
388	не менее	11	2
389	но из	2	2
390	она была	2	2
391	того же	5	2
392	тем самым	2	2
393	по природе	2	2
394	своей собственной	2	2
395	и без	4	2
396	а потому	2	2
397	и сам	3	2
398	между ними	6	2
399	не столько	2	2
400	с которой	3	2
401	же не	4	2
402	не терпит	2	2
403	есть еще	3	2
404	– то	3	2
405	когда она	4	2
406	вот почему	3	2
407	то не	7	2
408	в каком-то	5	2
409	в сущности	7	2
410	раз навсегда	3	2
411	е в	7	2
412	и ее	19	2
413	и они	2	2
414	бы сказать	2	2
415	их в	6	2
416	что нужно	4	2
417	есть у	2	2
418	относится к	6	2
419	самим собою	2	2
420	есть то	12	2
421	ее как	4	2
422	что если	2	2
423	когда мы	6	2
424	то в	4	2
425	я бы	2	2
426	ведь не	4	2
427	к учению	2	2
428	другой –	2	2
429	его как	2	2
430	это было	2	2
431	этом отношении	2	2
432	переход от	2	2
433	в мысли	5	2
434	если я	6	2
435	природе своей	2	2
436	находятся в	2	2
437	и нужно	2	2
438	подобно тому	5	2
439	кто не	3	2
440	в уме	3	2
441	смысл и	12	2
442	и о	4	2
443	ни к	3	2
444	но они	2	2
445	– другой	2	2
446	тьмы и	2	2
447	быть не	5	2
448	вообще не	6	2
449	думал что	2	2
450	сходить с	2	2
451	с другой	8	2
452	в явлении	4	2
453	оно всегда	2	2
454	в сфере	6	2
455	что такое	20	2
456	но к	2	2
457	в смысле	22	2
458	что я	26	2
459	во втором	2	2
460	из себя	6	2
461	чего же	3	2
462	тут не	7	2
463	это совершенно	4	2
464	если не	3	2
465	но я	2	2
466	он и	2	2
467	что мы	17	2
468	по себе	22	2
469	и который	2	2
470	сам по	4	2
471	и недостаточно	2	2
472	и уже	2	2
473	и другой	2	2
474	что эта	2	2
475	бы ни	3	2
476	и чтобы	2	2
477	и уж	2	2
478	но эта	2	2
