N	2gram	Vinokur_St	Vvedenie
211	на нее	3	3
212	в своем	8	3
213	а также	4	3
214	с этим	6	3
215	с историей	2	3
216	том отношении	4	3
217	так же	7	3
218	нисколько не	3	3
219	в начале	5	3
220	бы и	4	3
221	для этого	2	3
222	что она	5	3
223	к этому	4	3
224	не как	2	3
225	в другом	5	3
226	в значительной	2	3
227	в конце	5	3
228	отношение к	3	3
229	во второй	10	3
230	и здесь	2	3
231	или же	3	3
232	если бы	11	3
233	зависимости от	2	3
234	при помощи	4	3
235	в свое	3	3
236	так называемой	2	3
237	в сущности	2	3
238	ответа на	2	3
239	этой работы	2	3
240	раньше чем	4	3
241	в этих	5	3
242	в частности	6	3
243	истории литературы	2	3
244	как в	15	3
245	такого рода	2	3
246	свое выражение	2	3
247	работы в	3	3
248	материал для	6	3
249	вообще не	5	3
250	к нему	2	3
251	и на	7	3
252	гораздо более	5	3
253	того же	4	3
254	другое дело	3	3
255	в ней	9	3
256	и к	5	3
257	отношении что	2	3
258	то это	3	3
259	но что	2	3
260	этому поводу	4	3
261	в известном	3	3
262	по этому	5	3
263	своего рода	7	3
264	что же	6	3
265	нуждается в	2	3
266	совсем не	3	3
267	история литературы	2	3
268	же как	5	3
269	вряд ли	8	3
270	говорит о	5	3
271	при этом	4	3
272	в зависимости	2	3
273	и уже	3	3
274	что с	4	3
275	во внимание	2	3
276	все эти	7	3
277	уже после	3	3
278	связи с	3	3
279	и тогда	2	3
280	этой области	5	3
281	и сам	4	3
282	как будто	5	3
283	в этой	13	3
284	в слове	5	3
285	для которых	3	3
286	того как	8	3
287	чем в	3	3
288	литературы и	3	2
289	них и	2	2
290	данном отношении	6	2
291	с которыми	3	2
292	е не	2	2
293	ничего не	6	2
294	таким путем	2	2
295	ко времени	2	2
296	о которых	3	2
297	у нас	12	2
298	и потому	3	2
299	из того	2	2
300	во всех	8	2
301	и до	2	2
302	или иным	3	2
303	не до	2	2
304	же это	3	2
305	другом месте	2	2
306	тем более	4	2
307	это в	4	2
308	дело что	2	2
309	по истории	2	2
310	есть только	2	2
311	хотя в	2	2
312	доказывать что	2	2
313	бы в	2	2
314	не существует	4	2
315	в обоих	2	2
316	которые не	3	2
317	в форме	2	2
318	что здесь	2	2
319	а во-вторых	2	2
320	что оно	4	2
321	что нет	2	2
322	критики и	2	2
323	конце концов	2	2
324	что именно	2	2
325	и те	4	2
326	говоря уже	2	2
327	с полной	2	2
328	виде в	2	2
329	том же	3	2
330	при жизни	2	2
331	так называемая	3	2
332	а с	6	2
333	и другие	3	2
334	должна была	6	2
335	задний план	3	2
336	так и	15	2
337	том смысле	4	2
338	меньшей мере	3	2
339	к своему	3	2
340	отношении к	3	2
341	одно дело	2	2
342	после того	5	2
343	она была	2	2
344	ни с	3	2
345	можно считать	2	2
346	и так	3	2
347	тому что	8	2
348	чтобы можно	2	2
349	на то	5	2
350	на тему	2	2
351	и творчества	2	2
352	могло бы	3	2
353	и сейчас	6	2
354	если это	3	2
355	о которой	3	2
356	а если	2	2
357	в своих	2	2
358	и без	4	2
359	будто бы	4	2
360	языка не	2	2
361	и с	6	2
362	о них	3	2
363	в печати	8	2
364	не говоря	2	2
365	котором он	2	2
366	обратить внимание	4	2
367	но это	9	2
368	выражение в	2	2
369	а между	2	2
370	которой в	3	2
371	по меньшей	3	2
372	же касается	3	2
373	не столько	6	2
374	в основу	5	2
375	что мы	5	2
376	точно так	2	2
377	речь идет	6	2
378	несмотря на	4	2
379	для них	2	2
380	жизни и	6	2
381	тем или	3	2
382	к числу	3	2
383	не было	7	2
384	рукописи и	2	2
385	из истории	3	2
386	мы не	3	2
387	в тех	5	2
388	по его	5	2
389	факт что	6	2
390	что они	9	2
391	до того	4	2
392	должна быть	3	2
393	не мог	3	2
394	из таких	2	2
395	случае не	3	2
396	например в	8	2
397	этого слова	2	2
398	не к	2	2
399	из его	3	2
400	по существу	3	2
401	сомнений в	3	2
402	этих двух	4	2
403	во втором	5	2
404	быть и	2	2
