N	2gram	Potebnia_M	Formalny
166	с этим	11	8
167	всех этих	2	8
168	сих пор	5	8
169	и должно	2	8
170	из этого	2	8
171	должен быть	2	8
172	для того	8	8
173	не следует	6	8
174	и понимания	10	7
175	следовательно и	2	7
176	самое понятие	2	7
177	том что	21	7
178	в себе	22	7
179	в одной	2	7
180	свою очередь	8	7
181	что именно	2	7
182	или менее	6	7
183	его от	2	7
184	стороны и	3	7
185	более или	6	7
186	даже и	4	7
187	во втором	6	7
188	в сущности	2	7
189	не на	3	7
190	значение и	4	7
191	бы быть	7	7
192	сказать что	5	7
193	к этому	3	7
194	применении к	3	7
195	и только	6	7
196	в применении	3	7
197	в какой	2	7
198	и более	3	7
199	но все	4	7
200	сами по	8	7
201	столь же	6	7
202	ничем не	2	7
203	что бы	2	7
204	из них	2	7
205	и понимание	3	7
206	мы увидим	3	7
207	от этого	2	7
208	тем самым	6	6
209	в которой	5	6
210	именно так	2	6
211	на этом	3	6
212	и тем	5	6
213	и других	6	6
214	в формах	3	6
215	так в	4	6
216	и это	3	6
217	тому что	4	6
218	в этих	10	6
219	те же	4	6
220	не из	3	6
221	его не	3	6
222	один из	2	6
223	смысле этого	3	6
224	нисколько не	2	6
225	познания и	2	6
226	этого слова	5	6
227	должны быть	11	6
228	его с	3	6
229	из этих	8	6
230	при таком	5	6
231	за пределы	4	6
232	такой же	4	6
233	не по	4	6
234	от нее	6	6
235	например в	4	6
236	о том	6	6
237	их в	2	6
238	в смысле	4	6
239	звука в	4	6
240	уже в	5	6
241	только не	2	6
242	как она	3	6
243	сам по	5	6
244	с ним	7	6
245	той же	3	6
246	мы должны	4	5
247	могло бы	4	5
248	время и	2	5
249	все более	3	5
250	не можем	5	5
251	виду что	2	5
252	что оно	5	5
253	о языке	3	5
254	от того	9	5
255	или же	7	5
256	к которому	5	5
257	в виду	2	5
258	на все	5	5
259	а как	3	5
260	связь между	2	5
261	может стать	3	5
262	так например	5	5
263	не так	6	5
264	а только	8	5
265	одного из	3	5
266	она есть	3	5
267	не могла	2	5
268	то это	8	5
269	в такой	2	5
270	что не	15	5
271	и по	8	5
272	из виду	2	5
273	слов и	5	5
274	на язык	7	5
275	хотя и	6	5
276	и то	4	5
277	если в	3	5
278	не от	4	5
279	значительной степени	3	5
280	то в	6	5
281	не столько	3	5
282	как например	4	5
283	то и	15	5
284	в мире	3	5
285	языка а	3	5
286	совершенно справедливо	2	5
287	перестает быть	3	5
288	мы можем	10	5
289	в эту	2	5
290	восприятия и	3	5
291	с этой	3	5
292	для нас	29	5
293	к нему	2	5
294	звуком и	4	5
295	то он	2	5
296	слово как	2	5
297	не имеет	9	5
298	в самой	5	5
299	в котором	5	5
300	между звуком	2	5
301	слова в	7	5
302	этом смысле	4	5
303	тому как	8	5
304	и что	13	5
305	же в	7	5
306	таким же	3	5
307	как на	5	5
308	друг другу	4	5
309	в нашем	2	5
310	звука и	9	5
311	вопрос о	5	5
312	чтобы не	3	4
313	и притом	6	4
314	или даже	3	4
315	очевидно что	5	4
316	и следовательно	4	4
317	от него	8	4
318	а на	2	4
319	к другим	3	4
320	но даже	2	4
321	увидим что	4	4
322	должны были	2	4
323	и сами	3	4
324	одним из	2	4
325	слово в	2	4
326	он должен	2	4
327	как он	5	4
328	тогда когда	15	4
329	влияние на	4	4
330	одною из	3	4
331	себе в	2	4
332	самый предмет	2	4
333	к этой	3	4
334	того же	13	4
335	и непосредственно	2	4
336	не будет	2	4
337	или в	4	4
338	самого начала	5	4
339	нужно было	3	4
340	этой последней	2	4
341	и во	6	4
342	и тогда	2	4
343	с самого	5	4
344	имеет место	4	4
345	одна из	4	4
346	только как	5	4
347	могла бы	5	4
348	но при	3	4
349	более и	2	4
350	только то	3	4
351	нам кажется	2	4
352	к ней	3	4
353	в теории	2	4
354	тем не	11	4
355	на него	6	4
356	сама по	4	4
357	как не	4	4
358	превращается в	2	4
359	в таком	7	4
360	в последнем	2	4
361	и о	3	4
362	под влиянием	10	4
363	от одного	2	4
364	но если	4	4
365	думать что	6	4
366	подобно тому	7	4
367	что для	5	4
368	что такое	3	4
369	к новому	2	4
370	зависит от	6	4
371	этот вопрос	2	4
372	мы говорим	3	4
373	между людьми	2	4
374	же что	2	4
375	не для	2	4
376	только при	3	4
377	к другому	2	4
378	чтобы показать	2	4
379	в некоторых	4	4
380	между этими	2	4
381	все в	2	4
382	и если	6	3
383	в нее	4	3
384	все они	3	3
385	к одному	3	3
386	во все	2	3
387	для создания	2	3
388	к этим	2	3
389	для всех	6	3
390	а и	5	3
391	том как	6	3
392	для нее	4	3
393	в каком	7	3
394	есть только	16	3
395	не нуждается	2	3
396	в понятии	2	3
397	их к	2	3
398	то мы	4	3
399	противном случае	3	3
400	из всего	2	3
401	ни были	3	3
402	проявляется в	2	3
403	не всегда	2	3
404	и при	6	3
405	души и	9	3
406	звук в	2	3
407	так что	23	3
408	том смысле	7	3
409	в развитии	2	3
410	вопроса о	2	3
411	от них	2	3
412	это последнее	6	3
413	как предмет	3	3
414	но как	4	3
415	речи и	11	3
416	ни одна	2	3
417	что на	9	3
418	из одного	3	3
419	возможно только	6	3
420	оно должно	5	3
421	только тем	2	3
422	внутренняя форма	2	3
423	и совершенно	2	3
424	нуждается в	2	3
425	не была	2	3
426	этом не	2	3
427	мы видим	5	3
428	не дают	2	3
429	и звук	6	3
430	касается до	3	3
431	в каждую	2	3
432	тот же	5	3
433	вряд ли	2	3
434	языка мы	2	3
435	все остальные	9	3
436	никак не	3	3
437	в сознании	8	3
438	быть только	7	3
439	тем более	2	3
440	в словах	6	3
441	дело в	3	3
442	это было	3	3
443	из своих	2	3
444	дело с	2	3
445	но уже	2	3
446	во всем	5	3
447	что как	4	3
448	бы не	11	3
449	находятся в	3	3
450	и другое	7	3
451	а от	2	3
452	сознания в	2	3
453	язык в	8	3
454	в чем	6	3
455	не с	2	3
456	на нее	2	3
457	вытекает из	3	3
458	на то	5	3
459	предмета и	3	3
460	он может	2	3
461	если это	2	3
462	сознания и	2	3
463	перейти к	3	3
464	к одной	3	3
465	в которых	2	3
466	из себя	6	3
467	с таким	3	3
468	в одном	13	3
469	языка то	4	3
470	но что	2	3
471	языка к	2	3
472	внимание на	3	3
473	человек не	2	3
474	в противном	3	3
475	не то	3	3
476	ничего общего	3	3
477	чтобы убедиться	2	3
478	но оно	3	3
479	что при	6	3
480	на их	2	3
481	не дает	2	3
482	для всякого	3	3
483	но он	3	3
484	иначе как	2	2
485	человека в	3	2
486	кого не	2	2
487	только тогда	7	2
488	смысле что	2	2
489	всем этом	2	2
490	из того	3	2
491	вывести из	3	2
492	движения в	3	2
493	эти формы	2	2
494	человека и	2	2
495	язык может	2	2
496	или нет	3	2
497	мысли в	11	2
498	от их	4	2
499	и необходимости	4	2
500	в другом	3	2
501	языка или	2	2
502	что язык	18	2
503	это определение	2	2
504	есть не	7	2
505	то она	3	2
506	в данное	2	2
507	не потому	2	2
508	от действия	2	2
509	не могли	2	2
510	с нею	6	2
511	были бы	4	2
512	звук и	4	2
513	в звуке	11	2
514	что если	7	2
515	эти явления	3	2
516	ко всем	4	2
517	друг от	3	2
518	при помощи	2	2
519	тем как	3	2
520	одной и	4	2
521	что ни	2	2
522	то оно	3	2
523	к ним	3	2
524	только потому	4	2
525	общего с	3	2
526	его содержание	2	2
527	полагает что	3	2
528	были и	2	2
529	представляется нам	4	2
530	в более	4	2
531	связь с	2	2
532	и без	4	2
533	этой точки	2	2
534	однако в	4	2
535	отлично от	2	2
536	по этому	2	2
537	же не	2	2
538	языка но	3	2
539	в единство	2	2
540	разница между	5	2
541	в создании	6	2
542	предмета в	3	2
543	мы в	2	2
544	его на	3	2
545	с теми	2	2
546	слагаются в	3	2
547	с ними	2	2
548	находится в	2	2
549	быть при	2	2
550	заключается в	3	2
551	в природе	11	2
552	в нас	10	2
553	никто не	3	2
554	как для	2	2
555	предполагает уже	2	2
556	вопрос об	3	2
557	для самого	5	2
558	также что	2	2
559	определенное место	4	2
560	но она	3	2
561	все то	2	2
562	или не	3	2
563	языке и	2	2
564	в собственном	4	2
565	что она	3	2
566	в душе	28	2
567	но совершенно	2	2
568	что человек	6	2
569	из нее	2	2
570	этого языка	2	2
571	таким путем	4	2
572	переход от	2	2
573	предмета а	2	2
574	и развития	2	2
575	переходит в	2	2
576	явления в	2	2
577	в какие	2	2
578	прежде чем	4	2
579	и самое	3	2
580	именно того	2	2
581	и вполне	2	2
582	они могли	2	2
583	с другим	3	2
584	ее с	2	2
585	времени и	3	2
586	что такая	2	2
587	слова с	2	2
588	нами в	2	2
589	что его	2	2
590	но только	2	2
591	при таких	3	2
592	мысли об	2	2
593	на этот	2	2
594	ни для	2	2
595	ни с	2	2
596	точке зрения	4	2
597	далеко не	4	2
598	не должно	2	2
599	видели что	2	2
600	не создает	2	2
601	языка с	6	2
602	их не	2	2
603	как увидим	4	2
604	жизни но	2	2
605	от друга	3	2
606	собственном смысле	2	2
607	только один	3	2
608	языка не	5	2
609	в другой	4	2
610	как средство	2	2
611	в одних	2	2
612	допустим что	2	2
613	их и	2	2
614	этих последних	5	2
615	действительности не	2	2
616	таком случае	4	2
617	что мы	11	2
618	она могла	2	2
619	несмотря на	5	2
620	для других	2	2
621	все что	5	2
622	в ряду	6	2
623	то на	4	2
624	при известных	3	2
625	само собою	4	2
626	и того	6	2
627	из него	3	2
628	и есть	4	2
629	переходим к	2	2
630	эти последние	3	2
631	известных условиях	2	2
632	но с	3	2
633	значение слова	2	2
634	чем в	2	2
