N	2gram	Losev_Vlad	slovoVRo
307	но во	2	2
308	того как	2	2
309	да и	6	2
310	очень часто	2	2
311	особого рода	2	2
312	с которыми	2	2
313	время как	3	2
314	то в	6	2
315	то и	3	2
316	к которой	2	2
317	и что	11	2
318	время в	4	2
319	жизнь с	2	2
320	что она	2	2
321	с ней	3	2
322	же в	3	2
323	но этот	3	2
324	он был	20	2
325	в области	3	2
326	и всякой	3	2
327	об этом	13	2
328	человека как	3	2
329	в жизни	4	2
330	тем не	8	2
331	до некоторой	2	2
332	у нас	11	2
333	совершенно не	2	2
334	как у	3	2
335	а именно	4	2
336	чем не	2	2
337	в течение	13	2
338	ни к	2	2
339	к ней	7	2
340	как известно	2	2
341	нет и	2	2
342	вообще в	4	2
343	в самых	2	2
344	на то	7	2
345	можно говорить	2	2
346	что для	5	2
347	мы увидим	4	2
348	в котором	10	2
349	из его	6	2
350	и глубоко	3	2
351	есть для	2	2
352	в своих	7	2
353	в последние	3	2
354	или иначе	3	2
355	в начале	7	2
356	время он	3	2
357	главным образом	5	2
358	быть также	2	2
359	несмотря на	7	2
360	достаточно указать	2	2
361	и затем	2	2
362	то время	6	2
363	и особенно	6	2
364	них не	2	2
365	не к	2	2
366	в нашем	5	2
367	к своей	2	2
368	мы и	4	2
