N	2gram	Tiupa_Teor	Komedia
105	только в	9	9
106	идет о	2	8
107	и ее	4	8
108	то ни	2	8
109	такого рода	13	8
110	по своему	4	8
111	место в	7	8
112	не знает	4	8
113	а затем	2	8
114	связи с	3	8
115	другой стороны	6	8
116	с этой	3	8
117	при всем	2	8
118	во всех	3	8
119	в себе	14	7
120	в другом	4	7
121	и к	3	7
122	и о	5	7
123	так или	5	7
124	со временем	2	7
125	и это	2	7
126	в связи	3	7
127	что они	2	7
128	бы то	2	7
129	если в	2	7
130	из этих	3	7
131	и вот	3	7
132	не является	5	7
133	ни было	2	7
134	в этих	4	7
135	или иначе	6	7
136	к его	3	7
137	отнюдь не	3	7
138	перед лицом	2	7
139	даже в	3	6
140	в силу	4	6
141	в виду	5	6
142	и тем	5	6
143	в области	7	6
144	на вопрос	2	6
145	том числе	3	6
146	так в	4	6
147	могут быть	5	6
148	никто не	3	6
149	это было	2	6
150	тем не	3	6
151	и как	3	6
152	как правило	5	6
153	во второй	7	6
154	как будто	2	6
155	в отличие	7	6
156	в какой	2	6
157	на этом	2	6
158	представляет собой	13	6
159	с точки	3	6
160	или в	3	6
161	а не	14	6
162	никогда не	4	5
163	это не	4	5
164	для всех	2	5
165	вслед за	3	5
166	одним из	3	5
167	роль в	3	5
168	мы имеем	7	5
169	между собой	3	5
170	в ее	6	5
171	в первом	2	5
172	обращается к	2	5
173	который в	2	5
174	сказать что	4	5
175	себя в	7	5
176	в мире	26	5
177	в первой	6	5
178	за пределы	2	5
179	мира в	3	5
180	к своему	2	5
181	восходит к	2	5
182	именно в	3	5
183	приводит к	6	5
184	он и	2	5
185	со своей	4	5
186	а на	3	5
187	тем же	2	5
188	но он	4	5
189	чтобы не	2	4
190	в глаза	2	4
191	не столько	7	4
192	к которому	3	4
193	в принципе	7	4
194	по своей	8	4
195	художественного мышления	3	4
196	не всегда	2	4
197	самом начале	2	4
198	или менее	6	4
199	может служить	2	4
200	времени в	2	4
201	между ними	6	4
202	не на	4	4
203	к числу	2	4
204	здесь мы	2	4
205	например в	3	4
206	в основе	6	4
207	с их	2	4
208	я не	2	4
209	либо в	2	4
210	у нас	2	4
211	времени и	2	4
212	и другие	2	4
213	в пределах	5	4
214	не случайно	5	4
215	далеко не	4	4
216	их в	3	4
217	дома и	2	4
218	мог бы	3	4
219	в той	2	4
220	перед ним	2	4
221	не следует	4	4
222	в себя	5	4
223	если мы	2	3
224	в соответствии	3	3
225	следует признать	2	3
226	и потому	3	3
227	не могут	2	3
228	всего лишь	8	3
229	при всей	2	3
230	и притом	3	3
231	как к	5	3
232	для себя	3	3
233	должен быть	2	3
234	казалось бы	2	3
235	от своего	2	3
236	в году	2	3
237	только на	2	3
238	а с	3	3
239	на две	3	3
240	мы в	2	3
241	для понимания	2	3
242	состоит в	22	3
243	с ними	2	3
244	одну из	2	3
245	о ней	3	3
246	принадлежит к	3	3
247	между двумя	3	3
248	в рамках	13	3
249	числе и	2	3
250	могла бы	2	3
251	право на	2	3
252	в финале	3	3
253	конечном счете	6	3
254	сам же	2	3
255	и одновременно	5	3
256	не с	3	3
257	отношения к	4	3
258	за пределами	5	3
259	более или	6	3
260	в самой	2	3
261	в большинстве	2	3
262	в диалоге	2	3
263	соответствии с	2	3
264	по себе	2	3
265	в присутствии	2	3
266	в таком	3	3
267	в нашем	4	3
268	этих двух	2	3
269	образом и	2	2
270	еще и	2	2
271	в каком	2	2
272	перед нами	3	2
273	к одному	2	2
274	тем самым	6	2
275	я на	3	2
276	человека и	2	2
277	свою жизнь	2	2
278	в конечном	6	2
279	в произведениях	2	2
280	к более	2	2
281	не могли	2	2
282	от себя	3	2
283	во времени	4	2
284	того что	5	2
285	в душе	9	2
286	как уже	2	2
287	могло быть	2	2
288	была бы	3	2
289	во втором	3	2
290	в стихе	2	2
291	не входит	2	2
292	этой точки	2	2
293	в известном	2	2
294	в состав	6	2
295	здесь не	2	2
296	к внутреннему	2	2
297	все эти	3	2
298	себя и	2	2
299	текста не	2	2
300	известной степени	3	2
301	для обозначения	2	2
302	чем это	2	2
303	имеет в	2	2
304	то в	2	2
305	а напротив	2	2
306	с другими	6	2
307	в литературе	4	2
308	не все	3	2
309	ни был	2	2
310	в противоположность	3	2
311	дело не	2	2
312	этом что	2	2
313	в порядке	3	2
314	с ее	4	2
315	я и	2	2
316	превращается в	2	2
317	это делает	2	2
318	жизни в	2	2
319	а для	2	2
320	отношении к	4	2
321	с человеком	2	2
322	для него	5	2
323	в жизни	3	2
324	человека с	3	2
325	и является	2	2
326	подобно тому	3	2
327	ее в	2	2
328	от всех	2	2
329	не будет	3	2
330	не вполне	2	2
331	аналогичным образом	4	2
332	имеем в	3	2
333	этом смысле	3	2
334	тому как	3	2
335	к жизни	2	2
336	в случае	2	2
337	сводится к	12	2
338	к другому	2	2
339	основе своей	2	2
340	в форме	4	2
341	на фоне	2	2
