N	2gram	Potebnia_M	EvropaiC
339	во внимание	4	2
340	что многие	2	2
341	из него	3	2
342	себя и	3	2
343	не более	4	2
344	и его	7	2
345	сходство с	2	2
346	в сущности	2	2
347	же время	4	2
348	и только	6	2
349	с ее	2	2
350	из одного	3	2
351	которой мы	3	2
352	не следует	6	2
353	заключает в	6	2
354	и весь	3	2
355	и более	3	2
356	этого слова	5	2
357	в себя	2	2
358	о которой	2	2
359	но с	3	2
360	только один	3	2
361	той же	3	2
362	все в	2	2
363	имеет место	4	2
364	для всякого	3	2
365	вовсе не	13	2
366	к таким	2	2
367	тем же	4	2
368	многих других	2	2
