N	2gram	Propp_Morf	Literetu
245	что они	5	2
246	и ее	5	2
247	из таких	2	2
248	и более	2	2
249	этом случае	10	2
250	в бою	3	2
251	и другим	3	2
252	так называемых	2	2
253	здесь мы	3	2
254	сказать что	4	2
255	с этого	2	2
256	герой не	2	2
257	не от	2	2
258	бы в	2	2
259	с другими	2	2
260	в результате	8	2
261	из этих	2	2
262	и наоборот	4	2
263	потому не	2	2
264	в последнем	3	2
265	лишь на	2	2
266	для этой	3	2
267	та же	3	2
268	из двух	3	2
269	на нем	3	2
270	между собою	2	2
271	не означает	2	2
272	например с	2	2
273	если это	3	2
274	оно не	2	2
275	в большинстве	3	2
276	вопрос что	3	2
277	начинается с	5	2
278	можно назвать	3	2
279	в поле	5	2
280	в совершенно	2	2
281	на первый	3	2
282	мы имеем	19	2
