N	2gram	Ircho_Kome	Vvedenie
188	такого рода	6	3
189	мы видели	2	3
190	материал для	2	3
191	к нему	5	3
192	и на	9	3
193	гораздо более	2	3
194	того же	4	3
195	может служить	2	3
196	за собой	3	3
197	времени в	2	3
198	в ней	2	3
199	и к	2	3
200	на этом	3	3
201	однако в	4	3
202	из которых	5	3
203	то это	3	3
204	в известном	2	3
205	в в	8	3
206	что же	2	3
207	нуждается в	2	3
208	совсем не	2	3
209	греции и	3	3
210	же как	3	3
211	при этом	5	3
212	и уже	2	3
213	наряду с	7	3
214	связи с	3	3
215	этой области	2	3
216	и сам	5	3
217	как будто	3	3
218	не следует	2	3
219	же самое	2	3
220	в этой	9	3
221	чем же	2	3
222	по содержанию	5	3
223	и других	7	3
224	того как	3	3
225	собой в	2	2
226	это еще	2	2
227	ничего не	4	2
228	ко времени	3	2
229	о которых	6	2
230	у нас	3	2
231	из того	2	2
232	во всех	4	2
233	государства и	2	2
234	все время	2	2
235	в до	4	2
236	это однако	2	2
237	каждый из	3	2
238	бы в	3	2
239	само собой	2	2
240	в обоих	3	2
241	в форме	2	2
242	из числа	6	2
243	iv в	36	2
244	в соответствии	2	2
245	не могли	2	2
246	в следующем	4	2
247	в разной	2	2
248	второй половине	3	2
249	конце концов	4	2
250	что именно	3	2
251	говоря уже	4	2
252	в связи	3	2
253	казалось бы	3	2
254	при жизни	2	2
255	и другие	3	2
256	после этого	3	2
257	должна была	3	2
258	так и	17	2
259	меньшей мере	2	2
260	чаще всего	3	2
261	после того	3	2
262	на протяжении	14	2
263	философии и	2	2
264	надо было	3	2
265	что к	2	2
266	в наиболее	4	2
267	тому что	4	2
268	это уже	2	2
269	на то	3	2
270	если это	2	2
271	мог бы	3	2
272	в своих	2	2
273	ни одна	2	2
274	которые были	2	2
275	и без	3	2
276	будто бы	2	2
277	в свою	2	2
278	и с	8	2
279	не говоря	4	2
280	соответствии с	2	2
281	но это	2	2
282	по меньшей	2	2
283	и из	2	2
284	мы можем	6	2
285	речь идет	6	2
286	себя в	2	2
287	несмотря на	5	2
288	для них	2	2
289	жизни и	4	2
290	к числу	2	2
291	а затем	4	2
292	мы не	4	2
293	в тех	5	2
294	по его	2	2
295	что они	4	2
296	именно на	2	2
297	не мог	4	2
298	из которой	2	2
299	не к	2	2
300	из его	6	2
301	этому времени	3	2
302	в число	3	2
