N	2gram	Propp_Morf	StatiiOP
351	ответить на	2	2
352	иных случаях	2	2
353	но вот	2	2
354	сам он	3	2
355	отдельных случаях	3	2
356	в одну	2	2
357	тех же	4	2
358	в наши	2	2
359	которой есть	2	2
360	из другой	3	2
361	в середине	2	2
362	превращается в	2	2
363	д и	2	2
364	ни было	2	2
365	между собою	2	2
366	это положение	2	2
367	не означает	2	2
368	чаще всего	11	2
369	по их	5	2
370	или с	3	2
371	в пределах	3	2
372	в ином	3	2
373	обоих случаях	2	2
374	сюда относятся	2	2
375	далеко не	5	2
376	он может	2	2
377	сразу же	2	2
378	входит в	4	2
379	что там	2	2
380	имеем в	8	2
381	на нем	3	2
382	к другу	2	2
383	роль в	2	2
384	в поле	5	2
385	здесь только	2	2
386	собой в	2	2
387	быть и	2	2
