N	2gram	Tiupa_Disk	VeschiIm
198	тогда как	28	3
199	и во	2	3
200	то с	2	3
201	заключается в	3	3
202	той или	6	3
203	было в	4	3
204	и может	3	3
205	в истории	5	3
206	могла бы	2	3
207	не нужно	2	3
208	в науке	2	3
209	то чтобы	2	3
210	но уже	3	3
211	жизни в	4	3
212	как в	16	3
213	ни к	11	3
214	нас в	2	3
215	с одной	12	3
216	но все	2	3
217	сами по	2	3
218	в своих	6	3
219	я в	2	3
220	свидетельствует о	2	3
221	однако это	3	3
222	к другому	3	3
223	однако в	3	3
224	или в	2	3
225	как нечто	2	3
226	отношения к	2	3
227	не к	3	3
228	имеем дело	3	3
229	не о	2	2
230	данном случае	6	2
231	чтобы не	2	2
232	свое время	3	2
233	тем самым	6	2
234	о чем	4	2
235	общения и	4	2
236	не как	5	2
237	то есть	29	2
238	едва ли	2	2
239	в одно	2	2
240	и прежде	2	2
241	в виду	2	2
242	в свое	3	2
243	смысл в	2	2
244	то она	2	2
245	просто как	2	2
246	одно из	4	2
247	уже в	2	2
248	по природе	6	2
249	своей собственной	3	2
250	что на	3	2
251	из субъекта	2	2
252	всяком случае	2	2
253	к такому	2	2
254	чего не	3	2
255	же касается	4	2
256	и вне	2	2
257	между собой	2	2
258	не столько	3	2
259	связи с	4	2
260	не на	3	2
261	того и	2	2
262	в первом	4	2
263	но зато	2	2
264	к его	5	2
265	он ничего	2	2
266	а также	15	2
267	не сможет	2	2
268	в начале	2	2
269	в особом	2	2
270	его как	3	2
271	всем что	2	2
272	к этому	4	2
273	не обязательно	4	2
274	с ней	3	2
275	о котором	2	2
276	по преимуществу	2	2
277	это было	2	2
278	в данной	3	2
279	переход от	2	2
280	стороны и	3	2
281	как не	3	2
282	природе своей	6	2
283	человека в	6	2
284	этом отношении	4	2
285	ибо это	2	2
286	чем не	3	2
287	одного из	5	2
288	но они	3	2
289	в сферу	3	2
290	том чтобы	2	2
291	из наиболее	2	2
292	не случайно	2	2
293	далеко не	10	2
294	можно говорить	2	2
295	поэтому в	2	2
296	этом в	2	2
297	именно в	5	2
298	зависит от	2	2
299	и другой	2	2
300	слова в	2	2
301	когда он	3	2
302	и к	4	2
303	но для	2	2
304	приводит к	4	2
305	к чему	2	2
306	и на	8	2
307	ближе к	2	2
308	и того	6	2
309	он сам	2	2
310	является не	2	2
311	только о	2	2
312	как будто	3	2
313	во всем	2	2
314	той же	2	2
315	во втором	5	2
316	с его	9	2
317	основе своей	4	2
