N	2gram	Medvedev_V	Formalny
257	искусство как	2	4
258	что для	4	4
259	каждой из	2	4
260	что такое	2	4
261	такое понимание	2	4
262	зависит от	2	4
263	знаем что	2	4
264	этот вопрос	3	4
265	является не	4	4
266	данного произведения	3	4
267	все они	2	3
268	перед нами	5	3
269	в плане	5	3
270	или иной	2	3
271	всех других	3	3
272	к этим	2	3
273	том как	3	3
274	действительности на	2	3
275	противном случае	2	3
276	это только	4	3
277	не всегда	2	3
278	в науке	2	3
279	в году	7	3
280	и при	5	3
281	они должны	2	3
282	к сожалению	2	3
283	от них	2	3
284	но как	3	3
285	и этот	2	3
286	в точном	2	3
287	ни одна	2	3
288	в различных	2	3
289	смысле слова	2	3
290	а н	3	3
291	ни одного	2	3
292	и через	2	3
293	и заключается	2	3
294	числе и	2	3
295	было в	2	3
296	в качестве	12	3
297	е в	2	3
298	основные тенденции	2	3
299	никак не	3	3
300	если они	2	3
301	в сознании	4	3
302	образом не	3	3
303	из своих	2	3
304	порою и	2	3
305	следующим образом	4	3
306	том числе	2	3
307	бы не	2	3
308	в чем	2	3
309	в известной	2	3
310	в форме	3	3
311	от характера	2	3
312	сюжета и	2	3
313	не с	2	3
314	том чтобы	2	3
315	на то	2	3
316	он может	2	3
317	когда он	4	3
318	в которых	3	3
319	из себя	2	3
320	он пишет	9	3
321	в одном	5	3
322	внимание на	2	3
323	в системе	2	3
324	ту же	2	3
325	не об	2	3
326	в противном	2	3
327	же самое	2	3
328	что при	2	3
329	в работе	3	3
330	художественного творчества	19	3
331	оно является	2	3
332	человека в	2	2
333	не прав	2	2
334	о чем	2	2
335	можно утверждать	4	2
336	человека и	3	2
337	в другом	2	2
338	в конкретной	2	2
339	с нею	2	2
340	что говорит	3	2
341	эти явления	2	2
342	при помощи	3	2
343	от различных	2	2
344	говорить не	3	2
345	что ни	2	2
346	справедливо говорит	2	2
347	этом процессе	2	2
348	эта теория	2	2
349	к ним	2	2
350	только с	2	2
351	ее как	2	2
352	мира и	3	2
353	своем творчестве	3	2
354	мы имеем	3	2
355	и социальной	2	2
356	этой точки	2	2
357	естественно что	3	2
358	искусстве и	2	2
359	или иная	3	2
360	значит что	2	2
361	по этому	10	2
362	та или	3	2
363	и просто	2	2
364	как целого	3	2
365	в силу	14	2
366	отметить что	2	2
367	с ними	4	2
368	у тургенева	3	2
369	при всем	3	2
370	заключается в	2	2
371	и некоторые	2	2
372	из его	4	2
373	который в	2	2
374	также что	2	2
375	и мир	3	2
376	нет никаких	2	2
377	творчество как	3	2
378	а порою	3	2
379	можно было	2	2
380	как особый	2	2
381	что она	2	2
382	искусства не	2	2
383	с реальной	2	2
384	явления в	2	2
385	в философии	4	2
386	как у	2	2
387	отдельных элементов	2	2
388	что его	2	2
389	действующих лиц	5	2
390	а для	2	2
391	самый факт	2	2
392	так называемые	3	2
393	как известно	2	2
394	ни с	2	2
395	далеко не	3	2
396	видели что	3	2
397	он говорит	5	2
398	художник не	2	2
399	в стихах	2	2
400	не отрицает	2	2
401	их и	4	2
402	иметь в	2	2
403	что мы	2	2
404	начинается с	2	2
405	и художественное	3	2
406	само собою	2	2
407	говорит о	7	2
408	и отдельных	3	2
409	и есть	5	2
410	из элементов	3	2
411	но с	2	2
412	пишет в	4	2
413	эти вопросы	2	2
414	процессе художественного	3	2
415	момент в	3	2
