N	2gram	Bakhtin_sl	VeschiIm
353	его как	3	2
354	к этому	3	2
355	с ней	2	2
356	по преимуществу	5	2
357	это было	2	2
358	поэтому и	7	2
359	предмету и	2	2
360	друг с	2	2
361	стороны и	3	2
362	этого предмета	2	2
363	человека в	5	2
364	этом отношении	2	2
365	они как	2	2
366	и другие	3	2
367	самого же	2	2
368	одного из	2	2
369	лишь как	3	2
370	же и	4	2
371	связан с	2	2
372	конечно и	3	2
373	далеко не	7	2
374	можно говорить	2	2
375	именно в	5	2
376	в слове	11	2
377	в последние	2	2
378	слова в	19	2
379	и к	9	2
380	приводит к	2	2
381	о которых	2	2
382	в более	2	2
383	образом на	2	2
384	для нас	7	2
385	и на	17	2
386	не знаем	3	2
387	только как	2	2
388	степени и	2	2
389	конечно не	7	2
390	бы его	2	2
391	есть для	2	2
392	только о	2	2
393	во всем	3	2
394	той же	3	2
395	мы говорили	2	2
396	с его	8	2
