N	2gram	Vinokur_Ku	FransuaR
648	может и	2	2
649	лицом к	2	2
650	речь идет	4	2
651	к слову	2	2
652	к сожалению	2	2
653	можно ли	6	2
654	в такой	2	2
655	прав он	2	2
656	всего что	2	2
657	нет в	2	2
658	что если	4	2
659	в науке	4	2
660	проблемы как	2	2
661	а главное	3	2
662	своим языком	2	2
663	совершенно справедливо	2	2
664	не приходится	2	2
665	слова с	2	2
666	это положение	2	2
667	в какой	7	2
668	это по	2	2
669	как с	2	2
670	после чего	2	2
671	часто и	2	2
672	la langue	7	2
673	все дело	3	2
674	в первую	5	2
675	однако он	2	2
676	в силах	2	2
677	в память	3	2
678	вообще и	2	2
679	и наглядно	2	2
680	в современном	3	2
681	то оно	2	2
682	может иметь	3	2
683	общего с	2	2
684	гораздо более	6	2
685	к формам	3	2
686	но вот	3	2
687	должны быть	4	2
688	широком смысле	5	2
689	чтобы в	2	2
690	любовь к	2	2
691	в нашей	4	2
692	на такие	2	2
693	широкое распространение	3	2
694	таких случаях	3	2
695	что вся	2	2
696	только к	2	2
697	оно совершается	2	2
698	в которые	2	2
699	отличается от	2	2
700	фактов и	2	2
701	и сделали	2	2
702	же образом	2	2
703	что теперь	2	2
704	языка на	2	2
705	свое выражение	2	2
706	том и	3	2
707	можно встретить	2	2
708	на почве	2	2
709	в сторону	2	2
710	языка к	2	2
711	этой книге	3	2
712	оно также	2	2
713	в конечном	3	2
714	исторической жизни	2	2
715	но зато	2	2
716	это все	2	2
717	о власти	2	2
718	наконец еще	2	2
719	не нов	2	2
720	если б	2	2
721	что оно	6	2
722	этом случае	4	2
723	не все	4	2
724	себе представить	2	2
725	конечном счете	2	2
726	бы на	4	2
727	но также	6	2
728	только о	3	2
729	на те	3	2
730	нашем смысле	2	2
731	как только	2	2
732	не с	4	2
733	с историей	2	2
734	и говорит	2	2
735	и является	4	2
736	с общей	2	2
737	более широкое	2	2
738	лишь к	2	2
739	смысле и	2	2
740	только как	3	2
741	языка в	14	2
742	ничего общего	2	2
743	со словом	3	2
744	однако не	9	2
