N	2gram	Nazirov_Tv	Analitik
333	в рассказе	4	3
334	ни к	2	3
335	сами по	2	3
336	на этот	3	3
337	человека с	2	3
338	что у	5	3
339	сам автор	2	3
340	когда он	4	3
341	и с	9	3
342	если не	4	3
343	жизни и	3	3
344	он сам	8	3
345	по нашему	9	3
346	в сюжете	2	3
347	всякий раз	2	3
348	не к	2	3
349	и без	2	3
350	но он	3	3
351	все более	2	2
352	к одному	2	2
353	начиная с	2	2
354	при помощи	4	2
355	характер в	2	2
356	для человека	3	2
357	слова не	2	2
358	представляет собою	2	2
359	так же	6	2
360	в процессе	3	2
361	не имеют	4	2
362	в одной	5	2
363	на эту	4	2
364	человек и	2	2
365	ю м	8	2
366	лицо его	2	2
367	как было	2	2
368	у читателя	2	2
369	герой в	3	2
370	свободе воли	2	2
371	и должно	2	2
372	и мире	2	2
373	к которому	3	2
374	сюжета в	2	2
375	ее и	2	2
376	по сути	6	2
377	том же	3	2
378	сама жизнь	2	2
379	имеет в	2	2
380	одном из	2	2
381	в одно	2	2
382	это как	4	2
383	у а	2	2
384	от других	2	2
385	так например	3	2
386	любви к	2	2
387	иными словами	2	2
388	времени как	4	2
389	тому что	2	2
390	только с	3	2
391	этом он	2	2
392	в ту	4	2
393	жизнь в	2	2
394	что этот	2	2
395	евгения онегина	3	2
396	просто не	3	2
397	и др	2	2
398	однако этот	4	2
399	для автора	4	2
400	что с	2	2
401	одновременно и	2	2
402	героя к	2	2
403	здесь мы	2	2
404	во всей	2	2
405	в литературу	2	2
406	в литературном	2	2
407	в которую	2	2
408	но эта	3	2
409	но зато	3	2
410	мы видим	3	2
411	событий и	2	2
412	в мир	2	2
413	это еще	2	2
414	других людей	2	2
415	в стихах	2	2
416	из повести	3	2
417	время в	3	2
418	намек на	2	2
419	с лизой	2	2
420	и авторской	2	2
421	было показано	2	2
422	собой в	2	2
423	в глаза	2	2
424	о свободе	3	2
425	своего собственного	2	2
426	и та	2	2
427	в пространстве	2	2
428	значение в	2	2
429	только через	2	2
430	автора в	2	2
431	в статье	2	2
432	та же	4	2
433	и вот	2	2
434	должен был	2	2
435	но ведь	2	2
436	человека как	2	2
437	но без	2	2
438	маленького человека	5	2
439	у нас	2	2
440	то у	3	2
441	со всеми	3	2
442	не по	3	2
443	от всех	2	2
444	не означает	4	2
445	но если	4	2
446	и приводит	2	2
447	второй части	2	2
448	на протяжении	3	2
449	культуры и	2	2
450	по словам	2	2
451	не имеет	2	2
452	в дальнейшем	7	2
453	самое время	2	2
454	утверждал что	3	2
455	зависит от	4	2
456	здравого смысла	2	2
457	же году	2	2
458	героев в	2	2
459	еще более	3	2
460	жизни не	2	2
461	этот вопрос	4	2
462	так ли	2	2
463	если он	4	2
464	не могу	2	2
465	в литературной	2	2
466	которой он	2	2
467	может не	2	2
468	от жизни	2	2
469	и только	2	2
470	о которой	2	2
