N	2gram	Vinokur_Ku	slovoVRo
350	смысл и	5	3
351	этого процесса	2	3
352	которых мы	2	3
353	лишь как	3	3
354	не должно	2	3
355	не есть	4	3
356	в этой	8	3
357	потому что	40	3
358	целый ряд	8	3
359	если мы	5	3
360	и это	3	3
361	п все	2	3
362	в устах	3	3
363	лингвистики и	2	3
364	исторической жизни	2	3
365	в стороне	2	3
366	язык это	4	3
367	в форме	3	3
368	языка на	2	3
369	и тем	7	3
370	без всякого	2	3
371	же слово	2	3
372	чем в	3	3
373	на самом	3	2
374	п и	2	2
375	в таких	7	2
376	во все	2	2
377	о которых	2	2
378	слова но	3	2
379	чаще всего	2	2
380	в определенных	2	2
381	этого рода	6	2
382	или поздно	2	2
383	материалом для	2	2
384	на правах	2	2
385	к себе	4	2
386	что язык	7	2
387	и у	3	2
388	и есть	3	2
389	есть не	2	2
390	речи не	3	2
391	слов в	5	2
392	и эти	3	2
393	это и	6	2
394	в язык	2	2
395	это как	2	2
396	так что	5	2
397	своего времени	2	2
398	есть в	6	2
399	в прямом	2	2
400	а с	3	2
401	то что	14	2
402	что все	6	2
403	языка который	3	2
404	рано или	2	2
405	к ним	2	2
406	мы наблюдаем	2	2
407	могли бы	4	2
408	жизнь в	2	2
409	на себе	10	2
410	в сторону	2	2
411	этого не	5	2
412	с общей	2	2
413	этой точки	4	2
414	к такому	2	2
415	между ними	2	2
416	связанная с	2	2
417	в известном	2	2
418	науки о	3	2
419	что не	10	2
420	для них	2	2
421	в ее	2	2
422	только как	3	2
423	что они	5	2
424	указать на	5	2
425	был бы	4	2
426	значение и	2	2
427	живет и	5	2
428	на ту	3	2
429	того как	6	2
430	да и	5	2
431	очень часто	2	2
432	меньше чем	2	2
433	языковых форм	2	2
434	как например	3	2
435	с такими	2	2
436	то и	4	2
437	утверждать что	2	2
438	и что	11	2
439	время в	2	2
440	можно было	14	2
441	что она	5	2
442	своим языком	2	2
443	наоборот в	2	2
444	же в	5	2
445	в последнем	2	2
446	в области	15	2
447	то или	3	2
448	к одному	2	2
449	язык для	2	2
450	об этом	4	2
451	как о	2	2
452	вместе со	2	2
453	тем не	10	2
454	у нас	19	2
455	совершенно не	4	2
456	как у	2	2
457	а именно	4	2
458	стилистика в	2	2
459	речь в	7	2
460	мы можем	2	2
461	в какой	7	2
462	заключается в	3	2
463	том и	3	2
464	на то	6	2
465	можно говорить	4	2
466	что для	3	2
467	мы увидим	3	2
468	столь же	2	2
469	в котором	4	2
470	в своих	2	2
471	или иначе	4	2
472	в сфере	3	2
473	как с	2	2
474	и становится	3	2
475	приводит к	3	2
476	где нет	2	2
477	главным образом	3	2
478	на язык	4	2
479	не знают	2	2
480	несмотря на	6	2
481	не для	2	2
482	или иное	2	2
483	не просто	7	2
484	он есть	3	2
485	только о	3	2
486	и только	2	2
487	в плоскости	2	2
488	в нашем	8	2
489	не значит	2	2
490	однако не	9	2
491	этих случаях	2	2
492	а следовательно	2	2
