N	2gram	Tiupa_Lite	Myslijsy
228	из того	3	5
229	для нее	2	5
230	но даже	2	5
231	эта мысль	2	5
232	от своего	3	5
233	а с	2	5
234	можно было	3	5
235	общего с	3	5
236	состоит в	18	5
237	не говоря	3	5
238	однако в	7	5
239	если в	2	5
240	одна из	8	5
241	нет ничего	2	5
242	но только	3	5
243	мысль в	2	5
244	в нашем	2	5
245	даже в	6	5
246	отношения между	3	5
247	в области	5	5
248	этого не	2	5
249	на том	3	5
250	не столько	8	5
251	все то	2	5
252	но при	2	5
253	мы имеем	2	5
254	а к	2	5
255	в начале	4	5
256	сравнении с	2	5
257	человека в	5	5
258	одним из	8	5
259	не по	2	5
260	отношении к	2	5
261	в какой	2	5
262	но уже	2	5
263	субъекта и	3	5
264	не к	3	5
265	данном случае	6	4
266	с чем	3	4
267	в другом	3	4
268	от сознания	2	4
269	в разговоре	2	4
270	от слова	2	4
271	здесь как	2	4
272	к своему	2	4
273	в поэзии	4	4
274	ту же	4	4
275	становится для	2	4
276	не на	2	4
277	дело в	3	4
278	мы сами	2	4
279	та же	2	4
280	все они	2	4
281	если оно	2	4
282	более чем	4	4
283	не мог	3	4
284	эти слова	2	4
285	из этого	2	4
286	но с	3	4
287	чтобы не	2	4
288	ничего не	3	4
289	который бы	2	4
290	не знает	3	4
291	к общему	3	4
292	ему в	2	4
293	одного из	4	4
294	пока не	2	4
295	этой точки	3	4
296	по этому	2	4
297	в связи	4	4
298	так называемых	2	4
299	с его	5	4
300	нашего времени	2	4
301	только то	3	4
302	мы чувствуем	2	4
303	и вполне	3	4
304	этом отношении	5	4
305	но без	2	4
306	такой же	3	4
307	ведет к	5	4
308	так или	8	4
309	он говорит	2	4
310	того кто	2	4
311	на этом	3	4
312	со своим	2	4
313	я и	10	4
314	что ему	4	3
315	различие между	3	3
316	в отношении	2	3
317	именно так	3	3
318	например и	2	3
319	должен быть	2	3
320	и прежде	4	3
321	из тех	2	3
322	и всегда	2	3
323	от себя	2	3
324	в формах	4	3
325	отличие от	6	3
326	и др	4	3
327	одной из	2	3
328	а если	2	3
329	для них	2	3
330	и состоит	2	3
331	к новым	2	3
332	для этого	5	3
333	человека а	2	3
334	в нашей	2	3
335	которая не	2	3
336	и наконец	2	3
337	говоря словами	3	3
338	себе и	2	3
339	их не	2	3
340	искусства и	6	3
341	по которым	2	3
342	этой цели	2	3
343	на свою	3	3
344	я в	12	3
345	как будто	2	3
346	в себя	5	3
347	о которой	2	3
348	как теперь	2	3
349	я вижу	2	3
350	как это	9	3
351	к этой	2	3
352	а то	2	3
353	уже о	2	3
354	его я	2	3
355	говоря уже	3	3
356	и я	7	3
357	нас самих	2	3
358	в результате	2	3
359	из своих	2	3
360	в первый	2	3
361	ничего кроме	2	3
362	пор пока	2	3
363	или иначе	9	3
364	жизни не	2	3
365	он сам	2	3
366	однако не	2	3
367	существование в	2	3
368	еще и	3	2
369	не знали	3	2
370	сознание есть	2	2
371	себе как	2	2
372	роль в	2	2
373	духовной жизни	4	2
374	следующим образом	2	2
375	для своего	2	2
376	которая в	3	2
377	произведение в	2	2
378	исходя из	3	2
379	то с	2	2
380	и самого	2	2
381	первый раз	2	2
382	нами не	2	2
383	от тех	2	2
384	который в	2	2
385	тех же	3	2
386	по выражению	2	2
387	целый мир	2	2
388	с их	3	2
389	время не	2	2
390	каждого из	2	2
391	во второй	2	2
392	сознания в	14	2
393	по своей	3	2
394	как представляется	2	2
395	есть лишь	2	2
396	от всех	2	2
397	есть свобода	2	2
398	тому же	2	2
399	этом в	3	2
400	деятельности в	4	2
401	другого в	4	2
402	со своей	3	2
403	пример в	2	2
404	раз и	2	2
405	с образом	2	2
406	к своей	2	2
407	в сфере	7	2
408	при всей	5	2
409	слов но	2	2
410	каждый из	4	2
411	могло быть	2	2
412	нуждается в	3	2
413	не видит	2	2
414	в пути	3	2
415	едва ли	5	2
416	как совокупность	3	2
417	нам представляется	3	2
418	и за	2	2
419	я от	2	2
420	искусства то	2	2
421	бы на	2	2
422	сознания не	2	2
423	а скорее	2	2
424	и говорит	2	2
425	же как	3	2
426	из его	2	2
427	обращается к	5	2
428	я не	8	2
429	и нет	4	2
430	существования в	2	2
431	же это	3	2
432	ведь мы	2	2
433	с действительностью	2	2
434	в противоположность	2	2
435	чего бы	2	2
436	себя в	7	2
437	дело не	2	2
438	с ее	3	2
439	как я	3	2
440	на наш	7	2
441	от самого	2	2
442	никем не	2	2
443	и сам	6	2
444	всей своей	2	2
445	занимающего нас	2	2
446	произведения искусства	4	2
447	из которых	3	2
448	у тютчева	4	2
449	не для	2	2
450	имеем дело	2	2
