N	2gram	Vinokur_Ku	Stilisti
143	и без	2	4
144	тем же	2	4
145	сказать что	5	3
146	на самом	3	3
147	язык не	2	3
148	это не	13	3
149	слова но	3	3
150	том что	30	3
151	содержание и	5	3
152	нуждается в	5	3
153	в тех	4	3
154	но для	4	3
155	перед нами	4	3
156	об этом	4	3
157	и даже	5	3
158	этого слова	8	3
159	от того	5	3
160	то мы	4	3
161	и здесь	8	3
162	целый ряд	8	3
163	социальной жизни	3	3
164	в устах	3	3
165	роль в	6	3
166	конце концов	3	3
167	в виду	7	3
168	в том	47	3
169	он должен	2	3
170	в частности	6	3
171	еще не	10	3
172	совершенно не	4	3
173	как в	6	3
174	и вот	4	3
175	чаще всего	2	3
176	свое выражение	2	3
177	не знает	4	3
178	в разных	2	3
179	для него	2	3
180	не с	4	3
181	не так	2	3
182	и для	3	3
183	что у	3	3
184	в котором	4	3
185	ответ на	2	3
186	что оно	6	3
187	как таковой	2	3
188	выражение в	4	3
189	если не	4	3
190	между ними	2	3
191	из которых	3	3
192	главным образом	3	3
193	но что	3	3
194	из них	4	3
195	для нас	6	3
196	хотя и	7	3
197	несмотря на	6	3
198	что и	5	3
199	в ее	2	3
200	мы в	3	3
201	и уже	2	3
202	все эти	17	3
203	конечно не	3	3
204	связи с	8	3
205	что было	2	3
206	до того	2	3
207	но вот	3	3
208	отношения к	2	3
209	что эти	4	3
210	этом случае	4	3
211	между тем	11	3
212	вряд ли	5	3
213	не мог	2	3
214	здесь мы	2	3
215	что иное	2	2
216	еще и	7	2
217	до конца	3	2
218	в каком	6	2
219	в отношении	2	2
220	для этого	6	2
221	вопрос о	11	2
222	речи не	3	2
223	очевидно что	4	2
224	и потому	6	2
225	как например	3	2
226	которые в	2	2
227	с этим	6	2
228	слова не	2	2
229	относится к	3	2
230	в нашей	4	2
231	мы имеем	11	2
232	из этих	5	2
233	но как	2	2
234	на эту	2	2
235	бы и	6	2
236	но даже	3	2
237	должно быть	6	2
238	к этому	4	2
239	по отношению	9	2
240	иное как	3	2
241	отношение к	2	2
242	ли не	4	2
243	есть не	2	2
244	должен быть	8	2
245	к которому	3	2
246	слово в	2	2
247	а на	3	2
248	кроме того	2	2
249	тем что	9	2
250	в языке	16	2
251	этом отношении	8	2
252	речи но	2	2
253	в их	3	2
254	том же	3	2
255	не всегда	4	2
256	это например	2	2
257	разве не	2	2
258	и при	3	2
259	в этих	5	2
260	что он	7	2
261	связано с	3	2
262	отношению к	9	2
263	себе и	3	2
264	наш язык	2	2
265	сих пор	5	2
266	в пределах	8	2
267	в какой	7	2
268	нужно было	3	2
269	подойти к	3	2
270	о языке	8	2
271	себе в	3	2
272	чуть ли	3	2
273	ведь и	2	2
274	который мы	2	2
275	только тогда	4	2
276	увидим что	2	2
277	на этот	4	2
278	только потому	13	2
279	но не	11	2
280	также и	7	2
281	не должно	2	2
282	тому же	2	2
283	гораздо более	6	2
284	слово это	11	2
285	связанные с	3	2
286	в своих	2	2
287	даже и	5	2
288	ту же	6	2
289	тех случаях	2	2
290	не есть	4	2
291	говорить и	2	2
292	этот вопрос	7	2
293	в которых	8	2
294	не говоря	3	2
295	однако в	2	2
296	иными словами	10	2
297	и он	4	2
298	о чем	2	2
299	для них	2	2
300	не было	6	2
301	смысле этого	5	2
302	как не	4	2
303	и когда	2	2
304	здесь не	5	2
305	языка в	14	2
306	но это	4	2
307	культурного развития	3	2
308	что вся	2	2
309	в своей	4	2
310	или даже	2	2
311	и тогда	4	2
312	или в	5	2
313	в связи	4	2
314	был бы	4	2
315	он не	4	2
316	значение и	2	2
317	случаях когда	2	2
318	с ним	5	2
319	тот же	7	2
320	вовсе не	18	2
321	же слово	2	2
322	именно с	3	2
323	как с	2	2
324	ясно что	7	2
325	это слово	7	2
