N	2gram	Bakhtin_KF	FransuaR
131	во всей	4	12
132	менее всего	6	12
133	жизни в	5	12
134	и ее	2	12
135	та же	3	12
136	но здесь	3	12
137	место в	6	12
138	о нем	4	12
139	но этот	2	12
140	это уже	2	11
141	уже не	7	11
142	момент в	7	11
143	и т.д	4	11
144	с ними	4	11
145	той или	3	11
146	мы здесь	3	10
147	или иной	2	10
148	все остальные	2	10
149	в процессе	2	10
150	человека и	3	10
151	его как	5	10
152	по отношению	26	10
153	в целом	10	10
154	что не	3	9
155	именно на	2	9
156	но как	5	9
157	вся эта	2	9
158	и то	2	9
159	отношению к	22	9
160	для нас	4	9
161	как к	2	9
162	для этой	3	9
163	не имеет	6	9
164	ведь это	2	9
165	но конечно	3	9
166	конечно в	2	9
167	от него	3	8
168	людей и	3	8
169	здесь мы	4	8
170	с тем	2	8
171	от этого	2	8
172	со всем	5	8
173	для этого	2	8
174	если бы	8	8
175	включает в	2	8
176	но эта	6	8
177	и ни	3	8
178	в это	2	8
179	в него	2	8
180	и она	2	8
181	его целом	10	8
182	не менее	3	8
183	дело не	2	8
184	ко всему	5	8
185	а как	2	7
186	и та	3	7
187	не как	4	7
188	себе и	3	7
189	в свою	3	7
190	должен быть	7	7
191	и за	2	7
192	только с	3	7
193	в виде	2	7
194	мир в	12	7
195	жить и	2	7
196	себя в	8	7
197	к ним	4	7
198	где он	3	7
199	из которых	2	7
200	как его	4	7
201	был бы	3	7
202	эти моменты	3	7
203	всех его	2	7
204	думать что	2	7
205	что значит	2	7
206	к себе	2	7
207	нет и	3	7
208	и этим	3	7
209	и под	2	6
210	первом плане	2	6
211	и тот	3	6
212	он может	2	6
213	входит в	4	6
214	что эта	2	6
215	не дает	3	6
216	жизни как	5	6
217	могут быть	3	6
218	котором мы	3	6
219	совершенно не	7	6
220	его на	2	6
221	его и	2	6
222	и эти	2	6
223	истины и	2	6
224	события и	2	6
225	этого слова	2	6
226	хотя бы	5	6
227	от того	3	6
228	имеем в	2	6
229	мысль и	2	6
230	основе своей	2	6
231	не остается	2	6
232	в корне	3	6
233	и пр	3	6
234	говорить о	2	6
235	него и	2	6
236	тем самым	4	5
237	тогда когда	3	5
238	быть только	8	5
239	нисколько не	4	5
240	должна быть	4	5
241	проникает в	5	5
242	из его	3	5
243	и весь	4	5
244	из него	4	5
245	для выражения	2	5
246	места в	4	5
247	в едином	10	5
248	и момент	4	5
249	совсем не	2	5
250	и когда	2	5
251	на язык	3	5
252	должно быть	6	5
253	и этот	3	5
254	одного и	2	5
255	ни было	4	5
256	смысл и	6	5
257	дело здесь	2	5
258	слова в	2	5
259	бы и	3	5
260	и только	7	5
261	а следовательно	3	5
262	на основе	7	5
263	бы не	3	5
264	от его	5	5
265	всех других	2	5
266	себя и	5	5
267	отсюда и	3	5
268	на волю	2	5
269	раз и	2	5
270	нем не	2	5
271	на первом	2	5
272	независимо от	3	5
273	мы имеем	5	5
274	этот мир	2	5
275	в акте	3	5
276	ему в	2	5
277	для которого	3	4
278	в каждом	3	4
279	этого мира	3	4
280	что этот	3	4
281	ее от	2	4
282	что только	2	4
283	стороны в	3	4
284	что за	2	4
285	необходимый момент	2	4
286	которой он	2	4
287	я не	6	4
288	существенную связь	2	4
289	чтобы не	2	4
290	кажется что	2	4
291	в контексте	5	4
292	дело с	2	4
293	это есть	2	4
294	ее как	2	4
295	есть именно	2	4
296	нигде не	3	4
297	но ведь	5	4
298	но для	3	4
299	и именно	2	4
300	это мир	4	4
301	даны в	2	4
302	и само	2	4
303	быть и	3	4
304	культура в	2	4
305	знает и	2	4
306	его жизни	3	4
307	оно не	2	4
308	это целое	2	4
309	что я	5	4
310	один и	3	4
311	свою жизнь	2	4
312	и тем	3	4
313	нем и	3	4
314	и смысл	2	4
315	нами в	2	4
316	не по	4	4
317	не должно	3	4
318	на нем	2	4
319	в смысле	6	4
320	есть на	2	4
321	время и	5	4
322	по себе	2	4
323	в каком	4	3
324	бы оно	2	3
325	это только	2	3
326	места и	4	3
327	она не	2	3
328	положения и	3	3
329	смысла и	2	3
330	не о	2	3
331	чем не	4	3
332	ни к	2	3
333	было и	2	3
334	смыслу и	2	3
335	мы говорим	2	3
336	место и	2	3
337	ближе к	3	3
338	и того	2	3
339	чтобы стать	2	3
340	не потому	2	3
341	со стороны	8	3
342	в современной	3	3
343	смысл в	3	3
344	тому что	2	3
345	быть в	4	3
346	видения и	2	3
347	и совершенно	3	3
348	и мир	2	3
349	знать что	2	3
350	бы то	2	3
351	в мир	2	3
352	из нее	2	3
353	и конечно	2	3
354	прошлое и	3	3
355	вследствие этого	2	3
356	которого и	2	3
357	лишь как	3	3
358	и будущее	2	3
359	не из	2	3
360	человек не	2	3
361	лежат в	3	3
362	для нее	9	3
363	где этот	2	3
364	вошли в	2	3
365	а с	2	3
366	а для	2	3
367	не будет	2	3
368	то ни	2	3
369	где она	2	3
370	на своем	3	3
371	ясно что	3	3
372	этом смысле	3	3
373	вокруг него	2	3
374	но есть	2	3
375	тем как	3	3
376	бы он	2	3
377	котором он	3	3
378	и может	3	3
379	с этого	2	3
380	и мы	2	3
381	могла бы	4	3
382	действительности в	2	3
383	жизни но	3	3
384	всей своей	2	3
385	не есть	22	3
386	сознания в	2	3
387	ее целом	3	3
388	живы в	2	3
389	целом не	2	2
390	ни одно	5	2
391	за свое	4	2
392	этим не	2	2
393	от своей	5	2
394	если ты	3	2
395	нечто вроде	2	2
396	события так	2	2
397	и должна	3	2
398	я уже	2	2
399	его с	2	2
400	бы быть	5	2
401	и единый	2	2
402	вне ее	4	2
403	и я	6	2
404	определенного и	2	2
405	мир где	5	2
406	всей его	2	2
407	и единственного	12	2
408	из себя	11	2
409	соответствии с	2	2
410	если не	2	2
411	это можно	2	2
412	но ни	2	2
413	единого и	9	2
414	единой и	3	2
415	выход в	2	2
416	одна и	2	2
417	можно ли	2	2
418	этих моментов	2	2
419	мира но	5	2
420	нет в	4	2
421	и действительно	6	2
422	акта в	2	2
423	же с	2	2
424	пространства и	2	2
425	что есть	2	2
426	и свой	2	2
427	во главе	2	2
428	и всех	2	2
429	выхода в	2	2
430	правду и	2	2
431	ее и	6	2
432	дан в	2	2
433	бытие но	2	2
434	может иметь	2	2
435	не проникает	5	2
436	гораздо более	2	2
437	не должен	3	2
438	к которой	2	2
439	сознания и	3	2
440	это единство	3	2
441	но лишь	7	2
442	или как	2	2
443	всех своих	4	2
444	все остальное	2	2
445	приобщается к	2	2
446	мир как	6	2
447	оба эти	2	2
448	и делает	3	2
449	оба этих	2	2
450	мира не	3	2
451	ибо все	3	2
452	в единстве	8	2
453	подхода к	2	2
454	каждый отдельный	2	2
455	мышления и	2	2
456	и жизни	4	2
457	единая и	4	2
458	смысле в	2	2
459	теории и	3	2
460	есть его	2	2
461	смысле и	2	2
462	только как	4	2
463	ничего общего	2	2
464	моменты и	3	2
465	ни был	2	2
