N	2gram	Vinokur_Vv	RusskieA
140	тогда когда	4	5
141	что он	5	5
142	прежде всего	10	5
143	и др	2	5
144	в разных	7	5
145	в свою	2	5
146	с этим	3	5
147	в то	6	5
148	или вообще	5	5
149	в целом	5	5
150	для них	2	5
151	тогда как	2	5
152	в связи	2	5
153	не было	2	5
154	например в	2	5
155	в его	12	5
156	можно было	8	5
157	в особенности	4	5
158	стоит в	2	5
159	чаще всего	2	5
160	не с	3	5
161	и для	4	5
162	с другой	8	5
163	входит в	3	5
164	и к	3	5
165	связь между	5	5
166	мы уже	2	5
167	к таким	2	5
168	этих случаях	2	5
169	в таких	2	4
170	и ее	4	4
171	иное как	6	4
172	не что	5	4
173	у них	2	4
174	и при	2	4
175	в руки	6	4
176	своего рода	3	4
177	отличие от	4	4
178	не столько	2	4
179	могут быть	6	4
180	и до	2	4
181	и тогда	3	4
182	этого слова	2	4
183	во всяком	5	4
184	по своему	5	4
185	дело не	5	4
186	несмотря на	2	4
187	и здесь	3	4
188	не просто	5	4
189	природы и	2	4
190	что иное	5	4
191	в отличие	4	4
192	и из	2	4
193	ко времени	2	4
194	но все	4	4
195	для объяснения	2	4
196	именно в	8	4
197	в котором	4	4
198	в своих	2	4
199	этот вопрос	7	4
200	уже в	5	4
201	в ней	3	4
202	которое в	2	4
203	всяком случае	5	4
204	вряд ли	3	4
205	во всем	2	4
206	на этой	3	4
207	никогда не	3	3
208	в изучении	3	3
209	его к	2	3
210	каждый из	2	3
211	в форме	2	3
212	есть и	5	3
213	в виду	5	3
214	только по	3	3
215	к выводу	7	3
216	как он	6	3
217	раньше чем	3	3
218	и это	6	3
219	точки зрения	12	3
220	в различных	5	3
221	и те	2	3
222	в области	4	3
223	совсем не	3	3
224	в какой	6	3
225	в ее	11	3
226	но вместе	2	3
227	что с	3	3
228	в своей	4	3
229	до того	2	3
230	свою очередь	2	3
231	значение и	2	3
232	из таких	2	3
233	сомнений в	2	3
234	хотя и	5	3
235	увидим что	2	3
236	и то	7	3
237	выводу что	7	3
238	независимо от	5	3
239	это в	2	3
240	по отношению	4	3
241	и наоборот	3	3
242	которые не	2	3
243	от этого	5	3
244	из наиболее	4	3
245	если бы	3	3
246	так называемой	3	3
247	можно говорить	3	3
248	а именно	6	3
249	отношению к	4	3
250	сих пор	7	3
251	с одной	4	3
252	на этот	6	3
253	не к	2	3
254	на то	2	3
255	из которых	3	3
256	так чтобы	3	3
257	к числу	2	3
258	с точки	4	3
259	говорит о	3	3
260	здесь не	3	3
261	только как	7	3
262	и его	6	3
263	по его	2	3
264	как на	12	3
265	как только	2	3
266	что именно	2	3
267	по содержанию	3	3
268	быть и	2	3
269	до сих	7	3
270	следовательно и	2	2
271	могло бы	2	2
272	в себе	4	2
273	и вообще	3	2
274	само собой	2	2
275	не как	3	2
276	в силу	3	2
277	iv в	2	2
278	в конце	3	2
279	отношение к	3	2
280	относящиеся к	3	2
281	xx в	3	2
282	должен быть	4	2
283	одним из	5	2
284	и тем	5	2
285	а как	5	2
286	этой работы	3	2
287	между ними	3	2
288	так называемая	2	2
289	в частности	3	2
290	на основании	5	2
291	самом деле	7	2
292	т п	5	2
293	только с	4	2
294	в более	4	2
295	здесь все	3	2
296	ни одна	2	2
297	половине xix	2	2
298	и без	2	2
299	одной стороны	4	2
300	ответ на	4	2
301	так называемое	2	2
302	вот почему	3	2
303	те кто	2	2
304	случае не	2	2
305	в дальнейшем	2	2
306	можно сказать	4	2
307	значение в	2	2
308	что чем	2	2
309	этому времени	2	2
310	так называемых	4	2
311	сказать что	6	2
312	это еще	2	2
313	который по	2	2
314	что если	2	2
315	когда мы	2	2
316	другой стороны	5	2
317	как оно	3	2
318	в начале	3	2
319	тем более	2	2
320	дело в	5	2
321	в каждом	4	2
322	должно быть	2	2
323	собой в	2	2
324	время не	2	2
325	в прошлом	2	2
326	и даже	6	2
327	мы можем	2	2
328	ее от	2	2
329	этим в	3	2
330	этом отношении	4	2
331	нет надобности	3	2
332	с этой	5	2
333	смысле в	2	2
334	ни с	2	2
335	можно считать	2	2
336	и так	2	2
337	в чем	4	2
338	что такое	12	2
339	если это	2	2
340	уже знаем	2	2
341	в ряде	2	2
342	был в	2	2
343	о них	2	2
344	литературы в	3	2
345	но что	3	2
346	по себе	11	2
347	говорить о	5	2
348	о которой	2	2
349	направление в	3	2
350	однако не	4	2
