N	2gram	Losev_Prob	EvropaiC
264	во втором	2	2
265	в своих	3	2
266	в свою	4	2
267	одной стороны	5	2
268	но для	2	2
269	между прочим	2	2
270	отнюдь не	14	2
271	если он	4	2
272	по этому	5	2
273	в них	5	2
274	можно ли	2	2
275	совершенно ясно	2	2
276	всяком случае	6	2
277	жизни и	7	2
278	он тоже	2	2
279	от нее	2	2
280	во всяком	7	2
281	и уже	2	2
282	и дальше	2	2
283	и его	11	2
284	и только	4	2
285	и сам	5	2
286	заметим что	4	2
287	и весь	2	2
288	и более	3	2
289	образом как	2	2
290	только один	2	2
291	все в	3	2
292	я не	3	2
293	вовсе не	18	2
294	мы и	2	2
295	тем же	4	2
