N	2gram	Berdyaev_M	Narrotol
257	в смысл	2	2
258	русской литературы	5	2
259	могут быть	2	2
260	быть может	9	2
261	жизни это	4	2
262	можно ли	2	2
263	что же	2	2
264	живет в	2	2
265	для них	3	2
266	ли он	2	2
267	и во	5	2
268	было в	3	2
269	в сущности	2	2
270	личности в	4	2
271	никто не	3	2
272	принадлежит к	3	2
273	как для	2	2
274	к миру	3	2
275	если в	2	2
276	в мир	3	2
277	и мы	2	2
278	в россии	2	2
279	не до	2	2
280	и еще	3	2
281	нас в	3	2
282	должно быть	5	2
283	его как	2	2
284	бы в	3	2
285	также в	2	2
286	в этот	2	2
287	целый ряд	2	2
288	мысль о	2	2
289	тот кто	5	2
290	но также	2	2
291	истории он	2	2
292	принадлежат к	3	2
293	все это	6	2
294	тем что	7	2
295	та же	4	2
296	не есть	21	2
297	жизни то	2	2
298	человека как	3	2
299	и есть	21	2
300	одним из	2	2
301	бытия не	2	2
302	что иное	4	2
303	его и	2	2
304	себе и	4	2
305	во всех	3	2
306	должна быть	7	2
307	и более	2	2
308	он лишь	4	2
309	отношение к	9	2
310	о своих	2	2
311	есть в	3	2
312	ни с	4	2
313	а за	2	2
314	с другим	3	2
315	мир и	3	2
316	когда он	3	2
317	человеческого сознания	3	2
318	будто бы	3	2
319	в самую	5	2
320	мир не	2	2
321	чего же	2	2
322	выходя из	2	2
323	человеке в	2	2
324	со своим	2	2
325	с которым	2	2
326	том смысле	2	2
327	иное как	4	2
328	не для	2	2
329	еще более	3	2
330	более чем	3	2
331	к другому	4	2
332	это был	2	2
333	с собой	5	2
334	это и	7	2
335	для друга	2	2
336	человек и	7	2
337	но с	2	2
338	своих героев	2	2
339	и всякий	2	2
340	его собственной	2	2
