N	2gram	Medvedev_V	Dialekti
329	знаем что	2	3
330	по его	2	3
331	в слове	3	3
332	между тем	6	3
333	при всей	2	2
334	и формы	2	2
335	связанное с	2	2
336	роль в	4	2
337	сил и	3	2
338	они должны	2	2
339	к сожалению	2	2
340	рождается из	2	2
341	и др	10	2
342	то о	2	2
343	следует что	2	2
344	и просто	2	2
345	творчества как	4	2
346	ни одна	2	2
347	и заключается	2	2
348	идеи в	2	2
349	в образе	2	2
350	в процессе	17	2
351	ни одного	2	2
352	и дальше	2	2
353	относится к	2	2
354	также что	2	2
355	в нашей	4	2
356	мысль о	2	2
357	творчества и	3	2
358	гете и	2	2
359	и быть	2	2
360	искусства и	2	2
361	такое понимание	2	2
362	не вполне	2	2
363	этот вопрос	3	2
364	внимание на	2	2
365	не об	2	2
366	не рождается	2	2
367	можно указать	2	2
368	вот как	4	2
369	в различных	2	2
370	которые в	2	2
371	можно утверждать	4	2
372	вот что	12	2
373	а во-вторых	2	2
374	рассудок и	3	2
375	его от	2	2
376	образом в	3	2
377	от них	2	2
378	они и	2	2
379	в точном	2	2
380	говорит об	2	2
381	между ними	3	2
382	смысле слова	2	2
383	и мир	3	2
384	было в	2	2
385	ли на	2	2
386	некоторые из	3	2
387	только очень	2	2
388	в целом	5	2
389	на это	2	2
390	а о	2	2
391	в порядке	6	2
392	связана с	2	2
393	человека в	2	2
394	художественное произведение	7	2
395	а для	2	2
396	и подобных	4	2
397	до полного	2	2
398	и образы	3	2
399	к его	2	2
400	как видим	9	2
401	мы наблюдаем	2	2
402	их и	4	2
403	что например	3	2
404	и сам	2	2
405	в пользу	2	2
406	эта не	2	2
407	в системе	2	2
