N	2gram	Potebnia_M	Vvedenie
217	том виде	2	3
218	что даже	5	3
219	не с	4	3
220	мы видели	5	3
221	к нему	7	3
222	и на	5	3
223	невозможно но	3	3
224	того же	5	3
225	с понятием	3	3
226	зависит от	7	3
227	в известной	3	3
228	в ней	11	3
229	входит в	3	3
230	и к	5	3
231	вообще и	2	3
232	сливается с	2	3
233	мы говорим	2	3
234	между ними	4	3
235	то это	9	3
236	но что	4	3
237	по этому	2	3
238	что же	3	3
239	есть еще	4	3
240	совсем не	2	3
241	и того	2	3
242	вряд ли	4	3
243	при этом	6	3
244	он сам	2	3
245	в основании	2	3
246	что с	2	3
247	связи с	6	3
248	и тогда	4	3
249	и есть	4	3
250	не следует	6	3
251	же самое	3	3
252	в этой	3	3
253	в слове	41	3
254	собственном смысле	2	3
255	строгом смысле	2	3
256	от другой	2	3
257	по содержанию	2	3
258	и других	3	3
259	того как	10	3
260	чем в	2	3
261	одно и	7	2
262	в языке	19	2
263	но вместе	5	2
264	что чем	2	2
265	в таких	4	2
266	находятся в	3	2
267	следовательно и	2	2
268	таким путем	2	2
269	первом случае	2	2
270	у нас	2	2
271	и потому	9	2
272	в каждой	4	2
273	одно целое	3	2
274	из того	2	2
275	его к	2	2
276	мы должны	6	2
277	и до	2	2
278	время в	3	2
279	но как	2	2
280	и сама	2	2
281	с чем	3	2
282	тем более	9	2
283	это в	2	2
284	еще раз	2	2
285	есть только	9	2
286	хотя в	3	2
287	при всей	2	2
288	должно быть	9	2
289	бы в	3	2
290	деятельности и	2	2
291	не существует	5	2
292	в форме	2	2
293	мысли и	8	2
294	мы называем	2	2
295	что оно	12	2
296	как совокупность	2	2
297	нашего времени	2	2
298	ее от	2	2
299	в разной	2	2
300	что именно	5	2
301	подобно тому	3	2
302	том же	2	2
303	а с	4	2
304	одного и	2	2
305	этой стороны	2	2
306	имеет свою	2	2
307	свою очередь	6	2
308	что если	5	2
309	и при	5	2
310	этого не	3	2
311	когда мы	4	2
312	и чем	3	2
313	научного анализа	2	2
314	так и	17	2
315	том смысле	6	2
316	к своему	3	2
317	одной и	6	2
318	отношении к	3	2
319	после того	2	2
320	смысле в	3	2
321	на котором	4	2
322	каким образом	2	2
323	увидим что	2	2
324	своего содержания	2	2
325	искусства и	3	2
326	чем больше	3	2
327	но уже	2	2
328	что к	2	2
329	тому что	6	2
330	языка с	2	2
331	на то	6	2
332	могло бы	2	2
333	можно только	3	2
334	языков и	2	2
335	в своих	2	2
336	нам не	2	2
337	и без	9	2
338	пока не	2	2
339	в свою	6	2
340	и с	4	2
341	не говоря	3	2
342	которое в	2	2
343	но это	9	2
344	а между	6	2
345	и из	2	2
346	не столько	2	2
347	что мы	16	2
348	мы можем	13	2
349	тому как	6	2
350	точно так	15	2
351	несмотря на	2	2
352	жизни и	3	2
353	в ряду	7	2
354	не было	12	2
355	большей части	2	2
356	сам по	9	2
357	тогда как	8	2
358	из него	4	2
359	мы не	17	2
360	быть названы	2	2
361	природы и	2	2
362	только о	2	2
363	что они	2	2
364	до того	5	2
365	именно на	2	2
366	все равно	5	2
367	должна быть	2	2
368	например в	9	2
369	во всем	2	2
370	этого слова	14	2
371	них не	4	2
372	не к	4	2
373	рядом с	2	2
374	на языке	2	2
375	со словом	6	2
376	мы уже	5	2
