N	2gram	Tiupa_Vved	StatiiOP
264	если в	3	4
265	для этого	2	4
266	значительной степени	2	4
267	есть в	2	4
268	и он	4	4
269	бы и	4	4
270	которые не	2	4
271	в обоих	3	4
272	не имели	2	4
273	в значительной	2	4
274	в центре	4	4
275	на него	3	4
276	было не	2	4
277	все они	2	4
278	как о	2	4
279	а именно	3	4
280	тому же	6	4
281	как известно	2	4
282	могло бы	4	4
283	все что	3	4
284	это время	2	4
285	не существует	3	4
286	а на	4	4
287	или в	3	4
288	в таком	2	4
289	в основе	6	4
290	у которого	2	4
291	быть не	4	4
292	или иначе	2	4
293	будто бы	3	4
294	перед нами	13	3
295	или иной	5	3
296	не подлежит	2	3
297	о них	4	3
298	той мере	2	3
299	при всей	3	3
300	и наконец	2	3
301	котором он	2	3
302	оказывается в	3	3
303	но именно	3	3
304	к своему	2	3
305	и вся	3	3
306	а во	2	3
307	видно что	2	3
308	или менее	2	3
309	от них	2	3
310	о котором	5	3
311	это уже	2	3
312	может служить	4	3
313	заметить что	2	3
314	и как	2	3
315	в голову	2	3
316	так в	5	3
317	о жизни	2	3
318	здесь не	2	3
319	в заключительной	2	3
320	представляют собой	3	3
321	этот раз	3	3
322	и ее	2	3
323	эти слова	2	3
324	согласно которой	2	3
325	к его	5	3
326	не сумел	2	3
327	бы в	4	3
328	то и	2	3
329	в сознании	5	3
330	а к	3	3
331	однако и	3	3
332	особенно в	3	3
333	при таком	2	3
334	в данной	2	3
335	этом и	2	3
336	бы не	3	3
337	которая не	2	3
338	каждого из	2	3
339	судя по	3	3
340	в рассказе	15	3
341	не должен	2	3
342	для которого	4	3
343	их в	3	3
344	слова в	3	3
345	в свою	5	3
346	но на	2	3
347	представляет собой	18	3
348	что до	2	3
349	он и	2	3
350	более или	2	3
351	как его	2	3
352	не к	4	3
353	к своей	2	3
354	его собственной	2	3
355	на основе	2	3
356	через посредство	2	2
357	тем самым	6	2
358	ни о	2	2
359	в литературе	2	2
360	такова что	3	2
361	бы мы	2	2
362	них как	2	2
363	где в	3	2
364	в рамках	5	2
365	едва ли	4	2
366	ли не	2	2
367	от себя	2	2
368	от своего	2	2
369	свою очередь	5	2
370	у них	3	2
371	потому не	2	2
372	из жизни	3	2
373	в европейской	2	2
374	отличие от	11	2
375	всякий раз	2	2
376	по своему	3	2
377	мы видели	3	2
378	и оно	2	2
379	а только	3	2
380	этом не	2	2
381	с того	3	2
382	времени в	3	2
383	которая в	3	2
384	между собой	2	2
385	с языком	2	2
386	для них	3	2
387	столько в	2	2
388	в разных	2	2
389	большей части	4	2
390	тогда как	16	2
391	той или	5	2
392	было в	2	2
393	хотя в	2	2
394	событий и	2	2
395	и от	3	2
396	этот текст	2	2
397	никак не	2	2
398	в контексте	4	2
399	тут же	3	2
400	тех же	2	2
401	исключительно в	3	2
402	текста с	2	2
403	его с	2	2
404	не до	3	2
405	то он	2	2
406	так сказать	2	2
407	это особый	2	2
408	с ее	3	2
409	дело с	4	2
410	как правило	6	2
411	письма к	2	2
412	мысль о	2	2
413	так называемой	2	2
414	и вот	3	2
415	жизни в	5	2
416	рода в	2	2
417	как по	2	2
418	по мере	2	2
419	говорят о	2	2
420	было и	2	2
421	в пределах	3	2
422	в отличие	11	2
423	принадлежат к	4	2
424	он является	2	2
425	далеко не	5	2
426	всей его	2	2
427	по большей	4	2
428	к одной	2	2
429	своей жизни	3	2
430	входит в	2	2
431	соответствии с	8	2
432	те же	2	2
433	не могу	2	2
434	мог бы	2	2
435	роль в	2	2
436	свидетельствует о	5	2
437	в случае	4	2
438	с их	2	2
439	же самое	2	2
440	по своим	3	2
441	быть и	2	2
442	мы и	2	2
443	имеем дело	5	2
