N	2gram	Tiupa_Vved	Tvorches
227	можно сказать	6	3
228	заключается в	2	3
229	как мы	5	3
230	да и	3	3
231	если в	3	3
232	этого персонажа	2	3
233	его с	2	3
234	до этого	2	3
235	из этих	5	3
236	в начале	3	3
237	не все	2	3
238	с ее	3	3
239	в этот	3	3
240	мысль о	2	3
241	автора в	5	3
242	лишь в	4	3
243	и вот	3	3
244	не является	7	3
245	как по	2	3
246	у нас	4	3
247	году в	2	3
248	время у	2	3
249	на протяжении	2	3
250	не с	4	3
251	в жизни	7	3
252	на этот	2	3
253	что для	2	3
254	для которого	4	3
255	человеческих отношений	2	3
256	жизни не	2	3
257	и к	2	3
258	но на	2	3
259	не существует	3	3
260	он и	2	3
261	в настоящем	2	3
262	по себе	2	3
263	несмотря на	2	3
264	жизни и	8	3
265	сводится к	6	3
266	в направлении	2	3
267	и что	2	3
268	во всяком	3	3
269	или в	3	3
270	и только	2	3
271	тому же	6	3
272	в одном	5	3
273	данном случае	15	2
274	к одному	2	2
275	и притом	3	2
276	мира у	3	2
277	о чем	4	2
278	вслед за	3	2
279	нам о	2	2
280	в силу	2	2
281	по своей	4	2
282	с героями	2	2
283	тексте в	2	2
284	должен быть	3	2
285	начала и	2	2
286	свою очередь	5	2
287	начинается с	2	2
288	в современной	7	2
289	точку зрения	2	2
290	а во	2	2
291	связано с	3	2
292	теперь же	2	2
293	говорилось выше	2	2
294	действующих лиц	2	2
295	тому что	2	2
296	не могу	2	2
297	тоже не	2	2
298	точка зрения	3	2
299	которая в	3	2
300	ответ на	2	2
301	между собой	2	2
302	что же	6	2
303	для них	3	2
304	по бахтину	2	2
305	героя с	2	2
306	того чтобы	2	2
307	когда в	2	2
308	у тургенева	2	2
309	по выражению	3	2
310	это время	2	2
311	было бы	4	2
312	представляют собой	3	2
313	же в	3	2
314	связи с	2	2
315	в сущности	3	2
316	в качестве	18	2
317	во время	3	2
318	заключает в	4	2
319	мира а	2	2
320	и того	3	2
321	здесь мы	2	2
322	по поводу	5	2
323	но она	2	2
324	но при	7	2
325	в данном	22	2
326	ли это	2	2
327	а к	3	2
328	во всех	2	2
329	при таком	2	2
330	показалось что	2	2
331	высшей степени	2	2
332	с самим	2	2
333	по мере	2	2
334	тем не	3	2
335	в е	3	2
336	не сводится	7	2
337	событий и	2	2
338	войне и	2	2
339	мира в	8	2
340	должен был	2	2
341	в речи	3	2
342	как о	2	2
343	на смену	2	2
344	в результате	5	2
345	и о	4	2
346	указывает на	2	2
347	и вследствие	4	2
348	ни к	3	2
349	х гг	3	2
350	с одной	9	2
351	то он	2	2
352	не имеет	3	2
353	за пределами	3	2
354	столь же	3	2
355	и здесь	2	2
356	их в	3	2
357	человек в	4	2
358	все что	3	2
359	и мире	2	2
360	в сфере	7	2
361	входит в	2	2
362	ключ к	2	2
363	к его	5	2
364	и соответственно	4	2
365	к своей	2	2
366	всякий раз	2	2
367	мог бы	2	2
368	внимание на	4	2
369	с их	2	2
370	пока еще	6	2
371	или даже	2	2
372	не просто	2	2
373	в высшей	2	2
374	сюжета в	2	2
375	как его	2	2
376	не к	4	2
377	бытия но	2	2
378	о которой	4	2
379	событий в	2	2
380	как раз	5	2
381	ясно что	2	2
